[2023-08-07 13:10:06] [world] The Player <Funget114514> has placed SPRUCE_LOG at X= 841, Y= 206, Z= 545
[2023-08-07 13:12:27] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 840, Y= 203, Z= 548
[2023-08-07 13:12:28] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 840, Y= 203, Z= 547
[2023-08-07 13:12:39] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 836, Y= 203, Z= 547
[2023-08-07 13:12:44] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 836, Y= 203, Z= 548
[2023-08-07 13:12:45] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 836, Y= 203, Z= 549
[2023-08-07 13:12:45] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 836, Y= 203, Z= 550
[2023-08-07 13:12:47] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 838, Y= 203, Z= 550
[2023-08-07 13:12:48] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 837, Y= 203, Z= 550
[2023-08-07 13:12:48] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 837, Y= 203, Z= 549
[2023-08-07 13:12:50] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 840, Y= 203, Z= 546
[2023-08-07 13:12:51] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 840, Y= 203, Z= 546
[2023-08-07 13:12:51] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 839, Y= 203, Z= 546
[2023-08-07 13:12:52] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 838, Y= 203, Z= 546
[2023-08-07 13:12:53] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 838, Y= 203, Z= 547
[2023-08-07 13:12:53] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 839, Y= 203, Z= 547
[2023-08-07 13:12:54] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 839, Y= 203, Z= 548
[2023-08-07 13:12:55] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 839, Y= 203, Z= 551
[2023-08-07 13:12:56] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 838, Y= 203, Z= 551
[2023-08-07 13:13:03] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 840, Y= 203, Z= 546
[2023-08-07 13:13:13] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 840, Y= 203, Z= 547
[2023-08-07 13:13:20] [world] The Player <Funget114514> has placed SPRUCE_STAIRS at X= 834, Y= 204, Z= 545
[2023-08-07 13:13:21] [world] The Player <Funget114514> has placed SPRUCE_STAIRS at X= 834, Y= 205, Z= 545
[2023-08-07 13:13:36] [world] The Player <Funget114514> has placed SPRUCE_STAIRS at X= 833, Y= 204, Z= 546
[2023-08-07 13:13:37] [world] The Player <Funget114514> has placed SPRUCE_STAIRS at X= 833, Y= 205, Z= 546
[2023-08-07 13:13:41] [world] The Player <Funget114514> has placed SPRUCE_STAIRS at X= 833, Y= 206, Z= 546
[2023-08-07 13:13:43] [world] The Player <Funget114514> has placed SPRUCE_STAIRS at X= 833, Y= 205, Z= 546
[2023-08-07 13:14:01] [world] The Player <Funget114514> has placed SPRUCE_LOG at X= 833, Y= 207, Z= 545
[2023-08-07 13:14:02] [world] The Player <Funget114514> has placed SPRUCE_LOG at X= 833, Y= 208, Z= 545
[2023-08-07 13:14:09] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 833, Y= 204, Z= 546
[2023-08-07 13:14:10] [world] The Player <Funget114514> has placed SPRUCE_STAIRS at X= 833, Y= 205, Z= 546
[2023-08-07 13:14:18] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 833, Y= 204, Z= 546
[2023-08-07 13:14:19] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 833, Y= 205, Z= 546
[2023-08-07 13:14:20] [world] The Player <Funget114514> has placed SPRUCE_STAIRS at X= 833, Y= 206, Z= 546
[2023-08-07 13:14:32] [world] The Player <Funget114514> has placed SPRUCE_STAIRS at X= 833, Y= 205, Z= 546
[2023-08-07 13:14:37] [world] The Player <Funget114514> has placed SPRUCE_STAIRS at X= 833, Y= 205, Z= 546
[2023-08-07 13:14:43] [world] The Player <Funget114514> has placed SPRUCE_STAIRS at X= 833, Y= 204, Z= 546
[2023-08-07 13:14:47] [world] The Player <Funget114514> has placed SPRUCE_STAIRS at X= 833, Y= 204, Z= 546
[2023-08-07 13:14:50] [world] The Player <Funget114514> has placed SPRUCE_STAIRS at X= 833, Y= 204, Z= 547
[2023-08-07 13:14:51] [world] The Player <Funget114514> has placed SPRUCE_STAIRS at X= 833, Y= 204, Z= 548
[2023-08-07 13:14:52] [world] The Player <Funget114514> has placed SPRUCE_STAIRS at X= 833, Y= 204, Z= 549
[2023-08-07 13:14:53] [world] The Player <Funget114514> has placed SPRUCE_STAIRS at X= 833, Y= 204, Z= 550
[2023-08-07 13:14:54] [world] The Player <Funget114514> has placed SPRUCE_STAIRS at X= 833, Y= 204, Z= 551
[2023-08-07 13:14:55] [world] The Player <Funget114514> has placed SPRUCE_STAIRS at X= 833, Y= 204, Z= 552
[2023-08-07 13:14:56] [world] The Player <Funget114514> has placed SPRUCE_STAIRS at X= 833, Y= 206, Z= 547
[2023-08-07 13:14:58] [world] The Player <Funget114514> has placed SPRUCE_STAIRS at X= 833, Y= 205, Z= 547
[2023-08-07 13:14:59] [world] The Player <Funget114514> has placed SPRUCE_STAIRS at X= 833, Y= 206, Z= 548
[2023-08-07 13:15:06] [world] The Player <Funget114514> has placed SPRUCE_STAIRS at X= 833, Y= 206, Z= 547
[2023-08-07 13:15:11] [world] The Player <Funget114514> has placed SPRUCE_STAIRS at X= 833, Y= 205, Z= 547
[2023-08-07 13:15:13] [world] The Player <Funget114514> has placed SPRUCE_STAIRS at X= 833, Y= 206, Z= 548
[2023-08-07 13:15:14] [world] The Player <Funget114514> has placed SPRUCE_STAIRS at X= 833, Y= 205, Z= 548
[2023-08-07 13:15:15] [world] The Player <Funget114514> has placed SPRUCE_STAIRS at X= 833, Y= 206, Z= 549
[2023-08-07 13:15:16] [world] The Player <Funget114514> has placed SPRUCE_STAIRS at X= 833, Y= 205, Z= 549
[2023-08-07 13:15:17] [world] The Player <Funget114514> has placed SPRUCE_STAIRS at X= 833, Y= 206, Z= 550
[2023-08-07 13:15:18] [world] The Player <Funget114514> has placed SPRUCE_STAIRS at X= 833, Y= 205, Z= 550
[2023-08-07 13:15:19] [world] The Player <Funget114514> has placed SPRUCE_STAIRS at X= 833, Y= 206, Z= 551
[2023-08-07 13:15:20] [world] The Player <Funget114514> has placed SPRUCE_STAIRS at X= 833, Y= 206, Z= 552
[2023-08-07 13:15:20] [world] The Player <Funget114514> has placed SPRUCE_STAIRS at X= 833, Y= 205, Z= 552
[2023-08-07 13:15:21] [world] The Player <Funget114514> has placed SPRUCE_STAIRS at X= 833, Y= 205, Z= 551
[2023-08-07 18:12:49] [world] The Player <Funget114514> has placed FIRE at X= -16, Y= 63, Z= -285
[2023-08-07 18:12:56] [world] The Player <Funget114514> has placed FIRE at X= -16, Y= 63, Z= -284
[2023-08-07 18:12:58] [world] The Player <Funget114514> has placed FIRE at X= -15, Y= 63, Z= -284
[2023-08-07 18:12:58] [world] The Player <Funget114514> has placed FIRE at X= -15, Y= 62, Z= -285
[2023-08-07 18:16:54] [world_the_end] The Player <Funget114514> has placed SMITHING_TABLE at X= -16, Y= 1, Z= -276
