[2023-08-09 14:29:06] [world] The Player <Enderlava> has placed CHORUS_FLOWER at X= -17, Y= 64, Z= -296
[2023-08-09 14:51:55] [world_the_end] The Player <Enderlava> has placed SLIME_BLOCK at X= 0, Y= 61, Z= -5
[2023-08-09 14:51:56] [world_the_end] The Player <Enderlava> has placed SLIME_BLOCK at X= -1, Y= 61, Z= -5
[2023-08-09 14:51:58] [world_the_end] The Player <Enderlava> has placed SLIME_BLOCK at X= 1, Y= 61, Z= -5
[2023-08-09 14:52:08] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 0, Y= 56, Z= 0
[2023-08-09 14:52:28] [world_the_end] The Player <Enderlava> has placed SAND at X= 3, Y= 61, Z= 1
[2023-08-09 14:52:28] [world_the_end] The Player <Enderlava> has placed SAND at X= 3, Y= 61, Z= 0
[2023-08-09 14:52:30] [world_the_end] The Player <Enderlava> has placed SAND at X= 3, Y= 61, Z= -1
[2023-08-09 14:52:44] [world_the_end] The Player <Enderlava> has placed SAND at X= 0, Y= 61, Z= -3
[2023-08-09 14:52:45] [world_the_end] The Player <Enderlava> has placed SAND at X= 1, Y= 61, Z= -3
[2023-08-09 14:52:46] [world_the_end] The Player <Enderlava> has placed SAND at X= -1, Y= 61, Z= -3
[2023-08-09 14:52:51] [world_the_end] The Player <Enderlava> has placed SAND at X= -3, Y= 61, Z= -1
[2023-08-09 14:52:52] [world_the_end] The Player <Enderlava> has placed SAND at X= -3, Y= 61, Z= 0
[2023-08-09 14:52:52] [world_the_end] The Player <Enderlava> has placed SAND at X= -3, Y= 61, Z= 1
[2023-08-09 14:53:08] [world_the_end] The Player <Enderlava> has placed SAND at X= -1, Y= 61, Z= 3
[2023-08-09 14:53:08] [world_the_end] The Player <Enderlava> has placed SAND at X= 0, Y= 61, Z= 3
[2023-08-09 14:53:09] [world_the_end] The Player <Enderlava> has placed SAND at X= 1, Y= 61, Z= 3
[2023-08-09 14:53:10] [world_the_end] The Player <Enderlava> has placed SAND at X= 3, Y= 62, Z= 9
[2023-08-09 14:53:11] [world_the_end] The Player <Enderlava> has placed SAND at X= 5, Y= 62, Z= 9
[2023-08-09 14:53:11] [world_the_end] The Player <Enderlava> has placed SAND at X= 6, Y= 62, Z= 9
[2023-08-09 14:53:11] [world_the_end] The Player <Enderlava> has placed SAND at X= 9, Y= 63, Z= 9
[2023-08-09 14:53:12] [world_the_end] The Player <Enderlava> has placed SAND at X= 14, Y= 63, Z= 9
[2023-08-09 14:53:13] [world_the_end] The Player <Enderlava> has placed SAND at X= 15, Y= 64, Z= 8
[2023-08-09 14:53:13] [world_the_end] The Player <Enderlava> has placed SAND at X= 18, Y= 64, Z= 8
[2023-08-09 14:53:13] [world_the_end] The Player <Enderlava> has placed SAND at X= 19, Y= 64, Z= 8
[2023-08-09 14:55:04] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1362, Y= -5, Z= 978
[2023-08-09 14:55:06] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1362, Y= -5, Z= 979
[2023-08-09 14:55:08] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1361, Y= -5, Z= 978
[2023-08-09 14:55:11] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1361, Y= -5, Z= 979
[2023-08-09 14:55:12] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1363, Y= -4, Z= 978
[2023-08-09 14:55:12] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1363, Y= -4, Z= 979
[2023-08-09 14:55:15] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1363, Y= -4, Z= 980
[2023-08-09 14:55:16] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1362, Y= -4, Z= 980
[2023-08-09 14:55:41] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1360, Y= -5, Z= 978
[2023-08-09 14:55:42] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1361, Y= -5, Z= 977
[2023-08-09 14:55:42] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1360, Y= -5, Z= 977
[2023-08-09 14:56:40] [world] The Player <Enderlava> has placed SNOW_BLOCK at X= 1360, Y= -6, Z= 979
[2023-08-09 14:56:41] [world] The Player <Enderlava> has placed SNOW_BLOCK at X= 1360, Y= -5, Z= 979
[2023-08-09 14:56:48] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1359, Y= -5, Z= 977
[2023-08-09 14:56:49] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1359, Y= -5, Z= 978
[2023-08-09 14:56:50] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1360, Y= -5, Z= 979
[2023-08-09 14:56:50] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1359, Y= -5, Z= 979
[2023-08-09 14:56:53] [world] The Player <Enderlava> has placed SNOW_BLOCK at X= 1359, Y= -4, Z= 979
[2023-08-09 14:56:53] [world] The Player <Enderlava> has placed SNOW_BLOCK at X= 1359, Y= -3, Z= 979
[2023-08-09 14:56:54] [world] The Player <Enderlava> has placed CARVED_PUMPKIN at X= 1359, Y= -2, Z= 979
[2023-08-09 14:57:09] [world] The Player <Enderlava> has placed ANVIL at X= 1359, Y= -5, Z= 981
[2023-08-09 14:58:30] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1365, Y= -4, Z= 981
[2023-08-09 14:58:31] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1365, Y= -4, Z= 982
[2023-08-09 14:59:39] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1365, Y= -3, Z= 982
[2023-08-09 14:59:52] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1365, Y= -3, Z= 982
[2023-08-09 14:59:53] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1365, Y= -3, Z= 982
[2023-08-09 14:59:56] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1365, Y= -3, Z= 982
[2023-08-09 15:00:00] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1366, Y= -3, Z= 982
[2023-08-09 15:00:01] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1367, Y= -3, Z= 982
[2023-08-09 15:00:14] [world] The Player <Enderlava> has placed RAIL at X= 1365, Y= -2, Z= 982
[2023-08-09 15:00:14] [world] The Player <Enderlava> has placed RAIL at X= 1366, Y= -2, Z= 982
[2023-08-09 15:00:19] [world] The Player <Enderlava> has placed OAK_TRAPDOOR at X= 1366, Y= -3, Z= 981
[2023-08-09 15:00:20] [world] The Player <Enderlava> has placed OAK_TRAPDOOR at X= 1365, Y= -2, Z= 981
[2023-08-09 15:00:23] [world] The Player <Enderlava> has placed OAK_TRAPDOOR at X= 1364, Y= -2, Z= 982
[2023-08-09 15:00:29] [world] The Player <Enderlava> has placed OAK_TRAPDOOR at X= 1364, Y= -1, Z= 982
[2023-08-09 15:01:34] [world] The Player <Enderlava> has placed OAK_TRAPDOOR at X= 1365, Y= -1, Z= 981
[2023-08-09 15:01:43] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1365, Y= -3, Z= 983
[2023-08-09 15:01:43] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1365, Y= -2, Z= 983
[2023-08-09 15:01:44] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1365, Y= -2, Z= 983
[2023-08-09 15:01:45] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1365, Y= -1, Z= 983
[2023-08-09 15:01:46] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1365, Y= -1, Z= 983
[2023-08-09 15:02:27] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1365, Y= -2, Z= 985
[2023-08-09 15:02:29] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1366, Y= -2, Z= 985
[2023-08-09 15:02:30] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1367, Y= -2, Z= 985
[2023-08-09 15:02:31] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1365, Y= -4, Z= 985
[2023-08-09 15:02:32] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1365, Y= -5, Z= 985
[2023-08-09 15:02:34] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1364, Y= -3, Z= 985
[2023-08-09 15:02:34] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1364, Y= -3, Z= 984
[2023-08-09 15:02:35] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1365, Y= -3, Z= 985
[2023-08-09 15:02:36] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1366, Y= -3, Z= 985
[2023-08-09 15:02:37] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1367, Y= -3, Z= 985
[2023-08-09 15:02:38] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1365, Y= -1, Z= 985
[2023-08-09 15:02:38] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1366, Y= -1, Z= 985
[2023-08-09 15:02:39] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1367, Y= -1, Z= 985
[2023-08-09 15:02:40] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1365, Y= -3, Z= 982
[2023-08-09 15:02:43] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1366, Y= -3, Z= 982
[2023-08-09 15:02:45] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1367, Y= -3, Z= 982
[2023-08-09 15:02:50] [world] The Player <Enderlava> has placed RAIL at X= 1366, Y= -2, Z= 982
[2023-08-09 15:02:51] [world] The Player <Enderlava> has placed RAIL at X= 1365, Y= -2, Z= 982
[2023-08-09 15:02:57] [world] The Player <Enderlava> has placed OAK_TRAPDOOR at X= 1364, Y= -2, Z= 982
[2023-08-09 15:03:01] [world] The Player <Enderlava> has placed OAK_TRAPDOOR at X= 1364, Y= -1, Z= 982
[2023-08-09 15:03:07] [world] The Player <Enderlava> has placed OAK_TRAPDOOR at X= 1365, Y= -2, Z= 981
[2023-08-09 15:03:12] [world] The Player <Enderlava> has placed OAK_TRAPDOOR at X= 1365, Y= -1, Z= 981
[2023-08-09 15:03:32] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1365, Y= -2, Z= 984
[2023-08-09 15:03:32] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1365, Y= -2, Z= 983
[2023-08-09 15:03:33] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1365, Y= -2, Z= 983
[2023-08-09 15:03:34] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1365, Y= -1, Z= 983
[2023-08-09 15:03:36] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1365, Y= -1, Z= 983
[2023-08-09 15:04:26] [world] The Player <Enderlava> has placed ANVIL at X= 1368, Y= -3, Z= 984
[2023-08-09 15:04:51] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1366, Y= -1, Z= 983
[2023-08-09 15:04:52] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1366, Y= -1, Z= 982
[2023-08-09 15:04:54] [world] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1366, Y= -1, Z= 981
[2023-08-09 15:09:14] [world_the_end] The Player <Enderlava> has placed SMOOTH_STONE at X= 103, Y= 50, Z= 2
[2023-08-09 15:09:14] [world_the_end] The Player <Enderlava> has placed SMOOTH_STONE at X= 103, Y= 51, Z= 2
[2023-08-09 15:09:15] [world_the_end] The Player <Enderlava> has placed SMOOTH_STONE at X= 103, Y= 50, Z= 3
[2023-08-09 15:09:15] [world_the_end] The Player <Enderlava> has placed SMOOTH_STONE at X= 103, Y= 51, Z= 3
[2023-08-09 15:09:16] [world_the_end] The Player <Enderlava> has placed SMOOTH_STONE at X= 103, Y= 50, Z= 4
[2023-08-09 15:09:17] [world_the_end] The Player <Enderlava> has placed SMOOTH_STONE at X= 103, Y= 51, Z= 4
