[2023-07-21 15:17:07] [world] The Player <Funget114514> has placed SUGAR_CANE at X= -995, Y= 63, Z= -978
[2023-07-21 16:35:02] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 14, Z= 222
[2023-07-21 16:35:23] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 13, Z= 239
[2023-07-21 16:35:26] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 13, Z= 234
[2023-07-21 16:35:43] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -30, Y= 15, Z= 66
[2023-07-21 16:35:50] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -31, Y= 14, Z= 69
[2023-07-21 16:35:51] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -30, Y= 14, Z= 68
[2023-07-21 16:35:51] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -29, Y= 14, Z= 68
[2023-07-21 16:35:56] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -32, Y= 16, Z= 66
[2023-07-21 16:36:00] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -32, Y= 16, Z= 65
[2023-07-21 16:36:06] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 12, Z= 249
[2023-07-21 16:36:09] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -34, Y= 14, Z= 68
[2023-07-21 16:36:10] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -33, Y= 14, Z= 68
[2023-07-21 16:36:13] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -35, Y= 15, Z= 66
[2023-07-21 16:36:13] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -34, Y= 15, Z= 65
[2023-07-21 16:36:14] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -34, Y= 15, Z= 66
[2023-07-21 16:36:15] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -33, Y= 16, Z= 65
[2023-07-21 16:36:16] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -33, Y= 16, Z= 66
[2023-07-21 16:36:16] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -32, Y= 16, Z= 65
[2023-07-21 16:36:18] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -33, Y= 15, Z= 66
[2023-07-21 16:36:18] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -32, Y= 15, Z= 66
[2023-07-21 16:36:19] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -34, Y= 14, Z= 66
[2023-07-21 16:36:19] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 15, Z= 261
[2023-07-21 16:36:19] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -34, Y= 14, Z= 67
[2023-07-21 16:36:19] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -33, Y= 14, Z= 66
[2023-07-21 16:36:20] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -33, Y= 14, Z= 67
[2023-07-21 16:37:05] [world_nether] The Player <Funget114514> has placed TNT at X= -52, Y= 14, Z= 75
[2023-07-21 16:37:05] [world_nether] The Player <Funget114514> has placed TNT at X= -51, Y= 14, Z= 75
[2023-07-21 16:37:06] [world_nether] The Player <Funget114514> has placed TNT at X= -51, Y= 14, Z= 74
[2023-07-21 16:37:06] [world_nether] The Player <Funget114514> has placed TNT at X= -52, Y= 14, Z= 74
[2023-07-21 16:37:06] [world_nether] The Player <Funget114514> has placed TNT at X= -52, Y= 15, Z= 74
[2023-07-21 16:37:06] [world_nether] The Player <Funget114514> has placed TNT at X= -51, Y= 15, Z= 74
[2023-07-21 16:37:07] [world_nether] The Player <Funget114514> has placed TNT at X= -51, Y= 15, Z= 73
[2023-07-21 16:37:09] [world_nether] The Player <Funget114514> has placed TNT at X= -51, Y= 15, Z= 75
[2023-07-21 16:37:14] [world_nether] The Player <Funget114514> has placed TNT at X= -51, Y= 14, Z= 73
[2023-07-21 16:37:15] [world_nether] The Player <Funget114514> has placed TNT at X= -50, Y= 14, Z= 73
[2023-07-21 16:37:15] [world_nether] The Player <Funget114514> has placed TNT at X= -49, Y= 14, Z= 73
[2023-07-21 16:37:16] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 17, Z= 281
[2023-07-21 16:37:30] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 16, Z= 291
[2023-07-21 16:37:31] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -54, Y= 16, Z= 76
[2023-07-21 16:37:38] [world_nether] The Player <Funget114514> has placed TNT at X= -54, Y= 17, Z= 81
[2023-07-21 16:37:46] [world_nether] The Player <Enderlava> has placed TNT at X= -63, Y= 15, Z= 298
[2023-07-21 16:37:59] [world_nether] The Player <Enderlava> has placed TNT at X= -64, Y= 15, Z= 307
[2023-07-21 16:38:03] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -65, Y= 5, Z= 86
[2023-07-21 16:38:04] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -65, Y= 6, Z= 86
[2023-07-21 16:38:04] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -65, Y= 7, Z= 86
[2023-07-21 16:38:04] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -65, Y= 8, Z= 86
[2023-07-21 16:38:04] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -65, Y= 9, Z= 86
[2023-07-21 16:38:04] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -65, Y= 10, Z= 86
[2023-07-21 16:38:04] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -65, Y= 11, Z= 86
[2023-07-21 16:38:07] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -65, Y= 12, Z= 86
[2023-07-21 16:38:11] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -65, Y= 13, Z= 86
[2023-07-21 16:38:18] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -66, Y= 12, Z= 86
[2023-07-21 16:39:04] [world_nether] The Player <Funget114514> has placed TNT at X= -109, Y= 17, Z= 88
[2023-07-21 16:39:28] [world_nether] The Player <Funget114514> has placed TNT at X= -116, Y= 16, Z= 92
[2023-07-21 16:39:38] [world_nether] The Player <Enderlava> has placed TNT at X= -64, Y= 16, Z= 315
[2023-07-21 16:39:43] [world_nether] The Player <Funget114514> has placed TNT at X= -125, Y= 15, Z= 87
[2023-07-21 16:39:49] [world_nether] The Player <Funget114514> has placed TNT at X= -129, Y= 15, Z= 87
[2023-07-21 16:39:52] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 17, Z= 322
[2023-07-21 16:40:05] [world_nether] The Player <Funget114514> has placed TNT at X= -131, Y= 14, Z= 86
[2023-07-21 16:40:09] [world_nether] The Player <Funget114514> has placed TNT at X= -133, Y= 14, Z= 86
[2023-07-21 16:40:11] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 16, Z= 329
[2023-07-21 16:40:13] [world_nether] The Player <Funget114514> has placed TNT at X= -135, Y= 14, Z= 86
[2023-07-21 16:40:15] [world_nether] The Player <Funget114514> has placed TNT at X= -139, Y= 14, Z= 86
[2023-07-21 16:40:18] [world_nether] The Player <Funget114514> has placed TNT at X= -143, Y= 14, Z= 86
[2023-07-21 16:40:23] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 16, Z= 338
[2023-07-21 16:40:27] [world_nether] The Player <Funget114514> has placed TNT at X= -146, Y= 14, Z= 86
[2023-07-21 16:40:35] [world_nether] The Player <Enderlava> has placed TNT at X= -64, Y= 16, Z= 346
[2023-07-21 16:40:46] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 16, Z= 354
[2023-07-21 16:40:58] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 15, Z= 363
[2023-07-21 16:41:12] [world_nether] The Player <Enderlava> has placed ANCIENT_DEBRIS at X= -67, Y= 12, Z= 363
[2023-07-21 16:41:21] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 15, Z= 371
[2023-07-21 16:41:30] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 15, Z= 379
[2023-07-21 16:41:39] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 15, Z= 388
[2023-07-21 16:41:53] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 14, Z= 396
[2023-07-21 16:42:07] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 15, Z= 405
[2023-07-21 16:42:17] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 16, Z= 415
[2023-07-21 16:42:48] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 16, Z= 420
[2023-07-21 16:43:13] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 15, Z= 428
[2023-07-21 16:43:28] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 15, Z= 433
[2023-07-21 16:43:41] [world_nether] The Player <Enderlava> has placed TNT at X= -64, Y= 13, Z= 438
[2023-07-21 16:43:46] [world_nether] The Player <Funget114514> has placed TNT at X= -165, Y= 9, Z= 75
[2023-07-21 16:44:13] [world_nether] The Player <Enderlava> has placed TNT at X= -64, Y= 13, Z= 445
[2023-07-21 16:44:24] [world_nether] The Player <Enderlava> has placed TNT at X= -64, Y= 12, Z= 452
[2023-07-21 16:44:27] [world_nether] The Player <Enderlava> has placed TNT at X= -67, Y= 13, Z= 443
[2023-07-21 16:44:44] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 12, Z= 461
[2023-07-21 16:44:47] [world_nether] The Player <Funget114514> has placed TNT at X= -168, Y= 16, Z= 32
[2023-07-21 16:44:51] [world_nether] The Player <Funget114514> has placed FIRE at X= -168, Y= 15, Z= 36
[2023-07-21 16:45:09] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 12, Z= 464
[2023-07-21 16:45:11] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 14, Z= 465
[2023-07-21 16:45:25] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 11, Z= 473
[2023-07-21 16:45:35] [world_nether] The Player <Funget114514> has placed TNT at X= -167, Y= 16, Z= -2
[2023-07-21 16:45:39] [world_nether] The Player <Funget114514> has placed TNT at X= -167, Y= 16, Z= 1
[2023-07-21 16:45:40] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 10, Z= 481
[2023-07-21 16:45:47] [world_nether] The Player <Funget114514> has placed TNT at X= -167, Y= 16, Z= 14
[2023-07-21 16:45:48] [world_nether] The Player <Funget114514> has placed TNT at X= -167, Y= 16, Z= 12
[2023-07-21 16:45:51] [world_nether] The Player <Enderlava> has placed TNT at X= -56, Y= 10, Z= 479
[2023-07-21 16:45:51] [world_nether] The Player <Funget114514> has placed TNT at X= -167, Y= 16, Z= 9
[2023-07-21 16:45:52] [world_nether] The Player <Funget114514> has placed TNT at X= -167, Y= 16, Z= 7
[2023-07-21 16:45:53] [world_nether] The Player <Funget114514> has placed TNT at X= -167, Y= 16, Z= 5
[2023-07-21 16:45:57] [world_nether] The Player <Enderlava> has placed TNT at X= -75, Y= 9, Z= 480
[2023-07-21 16:46:01] [world_nether] The Player <Funget114514> has placed TNT at X= -167, Y= 16, Z= 2
[2023-07-21 16:46:08] [world_nether] The Player <Funget114514> has placed TNT at X= -167, Y= 16, Z= -4
[2023-07-21 16:46:09] [world_nether] The Player <Funget114514> has placed TNT at X= -167, Y= 16, Z= -6
[2023-07-21 16:46:12] [world_nether] The Player <Funget114514> has placed TNT at X= -167, Y= 16, Z= -8
[2023-07-21 16:46:20] [world_nether] The Player <Enderlava> has placed TNT at X= -64, Y= 9, Z= 490
[2023-07-21 16:46:26] [world_nether] The Player <Funget114514> has placed TNT at X= -167, Y= 16, Z= 17
[2023-07-21 16:46:30] [world_nether] The Player <Funget114514> has placed TNT at X= -167, Y= 16, Z= 21
[2023-07-21 16:46:37] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 10, Z= 495
[2023-07-21 16:46:48] [world_nether] The Player <Enderlava> has placed TNT at X= -64, Y= 10, Z= 502
[2023-07-21 16:47:02] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 15, Z= 512
[2023-07-21 16:47:10] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 15, Z= 506
[2023-07-21 16:47:15] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 15, Z= 518
[2023-07-21 16:47:29] [world_nether] The Player <Enderlava> has placed TNT at X= -64, Y= 16, Z= 525
[2023-07-21 16:47:36] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -180, Y= 10, Z= -5
[2023-07-21 16:47:50] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -192, Y= 15, Z= -6
[2023-07-21 16:47:52] [world_nether] The Player <Enderlava> has placed TNT at X= -64, Y= 16, Z= 531
[2023-07-21 16:47:52] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -193, Y= 15, Z= -6
[2023-07-21 16:47:53] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -191, Y= 15, Z= -6
[2023-07-21 16:48:02] [world_nether] The Player <Funget114514> has placed TNT at X= -193, Y= 17, Z= -4
[2023-07-21 16:48:03] [world_nether] The Player <Enderlava> has placed TNT at X= -64, Y= 17, Z= 543
[2023-07-21 16:48:04] [world_nether] The Player <Funget114514> has placed TNT at X= -194, Y= 17, Z= -8
[2023-07-21 16:48:05] [world_nether] The Player <Funget114514> has placed TNT at X= -196, Y= 17, Z= -6
[2023-07-21 16:48:05] [world_nether] The Player <Enderlava> has placed TNT at X= -64, Y= 16, Z= 538
[2023-07-21 16:48:06] [world_nether] The Player <Funget114514> has placed TNT at X= -196, Y= 17, Z= -4
[2023-07-21 16:48:08] [world_nether] The Player <Funget114514> has placed TNT at X= -196, Y= 17, Z= -8
[2023-07-21 16:48:21] [world_nether] The Player <Enderlava> has placed TNT at X= -64, Y= 15, Z= 550
[2023-07-21 16:48:35] [world_nether] The Player <Enderlava> has placed TNT at X= -64, Y= 18, Z= 558
[2023-07-21 16:48:52] [world_nether] The Player <Enderlava> has placed TNT at X= -64, Y= 16, Z= 563
[2023-07-21 16:49:02] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 16, Z= 571
[2023-07-21 16:49:02] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 16, Z= 570
[2023-07-21 16:49:15] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 13, Z= 579
[2023-07-21 16:49:26] [world_nether] The Player <Enderlava> has placed TNT at X= -64, Y= 12, Z= 587
[2023-07-21 16:49:29] [world_nether] The Player <Funget114514> has placed TNT at X= -212, Y= 12, Z= 15
[2023-07-21 16:49:40] [world_nether] The Player <Funget114514> has placed TNT at X= -212, Y= 12, Z= 18
[2023-07-21 16:49:50] [world_nether] The Player <Funget114514> has placed TNT at X= -212, Y= 12, Z= 21
[2023-07-21 16:49:55] [world_nether] The Player <Funget114514> has placed TNT at X= -212, Y= 12, Z= 24
[2023-07-21 16:50:01] [world_nether] The Player <Funget114514> has placed TNT at X= -212, Y= 12, Z= 27
[2023-07-21 16:50:06] [world_nether] The Player <Funget114514> has placed TNT at X= -212, Y= 12, Z= 30
[2023-07-21 16:50:07] [world_nether] The Player <Enderlava> has placed TNT at X= -49, Y= 11, Z= 594
[2023-07-21 16:50:10] [world_nether] The Player <Enderlava> has placed TNT at X= -49, Y= 11, Z= 590
[2023-07-21 16:50:12] [world_nether] The Player <Funget114514> has placed TNT at X= -212, Y= 12, Z= 34
[2023-07-21 16:50:16] [world_nether] The Player <Funget114514> has placed TNT at X= -212, Y= 12, Z= 36
[2023-07-21 16:50:19] [world_nether] The Player <Funget114514> has placed TNT at X= -212, Y= 12, Z= 38
[2023-07-21 16:50:29] [world_nether] The Player <Enderlava> has placed TNT at X= -50, Y= 12, Z= 601
[2023-07-21 16:50:39] [world_nether] The Player <Enderlava> has placed TNT at X= -49, Y= 11, Z= 610
[2023-07-21 16:50:50] [world_nether] The Player <Enderlava> has placed TNT at X= -49, Y= 11, Z= 621
[2023-07-21 16:51:37] [world_nether] The Player <Funget114514> has placed TNT at X= -210, Y= 13, Z= 94
[2023-07-21 16:51:39] [world_nether] The Player <Funget114514> has placed TNT at X= -210, Y= 13, Z= 91
[2023-07-21 16:51:41] [world_nether] The Player <Funget114514> has placed TNT at X= -210, Y= 13, Z= 88
[2023-07-21 16:51:44] [world_nether] The Player <Funget114514> has placed TNT at X= -210, Y= 13, Z= 85
[2023-07-21 16:51:46] [world_nether] The Player <Funget114514> has placed TNT at X= -210, Y= 13, Z= 82
[2023-07-21 16:51:51] [world_nether] The Player <Funget114514> has placed TNT at X= -210, Y= 13, Z= 79
[2023-07-21 16:51:53] [world_nether] The Player <Enderlava> has placed TNT at X= -72, Y= 12, Z= 587
[2023-07-21 16:51:54] [world_nether] The Player <Funget114514> has placed TNT at X= -210, Y= 13, Z= 76
[2023-07-21 16:51:56] [world_nether] The Player <Funget114514> has placed TNT at X= -210, Y= 13, Z= 73
[2023-07-21 16:52:06] [world_nether] The Player <Enderlava> has placed TNT at X= -79, Y= 11, Z= 587
[2023-07-21 16:52:23] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -213, Y= 7, Z= 85
[2023-07-21 16:52:24] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -213, Y= 8, Z= 85
[2023-07-21 16:52:24] [world_nether] The Player <Enderlava> has placed TNT at X= -84, Y= 13, Z= 584
[2023-07-21 16:52:24] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -213, Y= 9, Z= 85
[2023-07-21 16:52:24] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -213, Y= 10, Z= 85
[2023-07-21 16:52:25] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -213, Y= 11, Z= 85
[2023-07-21 16:52:42] [world_nether] The Player <Enderlava> has placed TNT at X= -91, Y= 14, Z= 584
[2023-07-21 16:53:09] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -211, Y= 10, Z= 111
[2023-07-21 16:53:12] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -211, Y= 10, Z= 112
[2023-07-21 16:53:22] [world_nether] The Player <Enderlava> has placed TNT at X= -103, Y= 13, Z= 591
[2023-07-21 16:53:27] [world_nether] The Player <Enderlava> has placed TNT at X= -103, Y= 13, Z= 588
[2023-07-21 16:53:36] [world_nether] The Player <Funget114514> has placed TNT at X= -211, Y= 16, Z= 153
[2023-07-21 16:53:37] [world_nether] The Player <Funget114514> has placed TNT at X= -211, Y= 16, Z= 150
[2023-07-21 16:53:39] [world_nether] The Player <Enderlava> has placed TNT at X= -111, Y= 14, Z= 591
[2023-07-21 16:53:41] [world_nether] The Player <Funget114514> has placed TNT at X= -211, Y= 16, Z= 147
[2023-07-21 16:53:43] [world_nether] The Player <Funget114514> has placed TNT at X= -211, Y= 16, Z= 144
[2023-07-21 16:53:47] [world_nether] The Player <Funget114514> has placed TNT at X= -211, Y= 16, Z= 141
