[2023-07-11 08:39:14] [world] The Player <Funget114514> has placed SAND at X= -27, Y= 62, Z= -288
[2023-07-11 09:33:09] [world_the_end] The Player <Enderlava> has placed OAK_LEAVES at X= 330, Y= 8, Z= 7
[2023-07-11 09:33:10] [world_the_end] The Player <Enderlava> has placed OAK_LEAVES at X= 331, Y= 8, Z= 7
[2023-07-11 09:33:11] [world_the_end] The Player <Enderlava> has placed OAK_LEAVES at X= 330, Y= 8, Z= 8
[2023-07-11 09:33:12] [world_the_end] The Player <Enderlava> has placed OAK_LEAVES at X= 330, Y= 8, Z= 6
[2023-07-11 09:33:17] [world_the_end] The Player <Enderlava> has placed STRIPPED_JUNGLE_WOOD at X= 330, Y= 7, Z= 7
[2023-07-11 09:33:22] [world_the_end] The Player <Enderlava> has placed RAIL at X= 330, Y= 8, Z= 7
[2023-07-11 09:34:23] [world_the_end] The Player <Enderlava> has placed STRIPPED_JUNGLE_WOOD at X= 329, Y= 7, Z= 7
[2023-07-11 09:34:27] [world_the_end] The Player <Enderlava> has placed RAIL at X= 329, Y= 8, Z= 7
[2023-07-11 09:35:14] [world_the_end] The Player <Enderlava> has placed WHITE_CARPET at X= 331, Y= 6, Z= 8
[2023-07-11 09:35:14] [world_the_end] The Player <Enderlava> has placed WHITE_CARPET at X= 331, Y= 6, Z= 7
[2023-07-11 09:35:15] [world_the_end] The Player <Enderlava> has placed WHITE_CARPET at X= 331, Y= 6, Z= 6
[2023-07-11 09:35:16] [world_the_end] The Player <Enderlava> has placed WHITE_CARPET at X= 331, Y= 4, Z= 5
[2023-07-11 09:35:16] [world_the_end] The Player <Enderlava> has placed WHITE_CARPET at X= 331, Y= 5, Z= 5
[2023-07-11 09:35:16] [world_the_end] The Player <Enderlava> has placed WHITE_CARPET at X= 331, Y= 6, Z= 5
[2023-07-11 09:35:18] [world_the_end] The Player <Enderlava> has placed WHITE_CARPET at X= 331, Y= 4, Z= 9
[2023-07-11 09:35:18] [world_the_end] The Player <Enderlava> has placed WHITE_CARPET at X= 331, Y= 5, Z= 9
[2023-07-11 09:35:18] [world_the_end] The Player <Enderlava> has placed WHITE_CARPET at X= 331, Y= 6, Z= 9
[2023-07-11 09:35:22] [world_the_end] The Player <Enderlava> has placed WHITE_CARPET at X= 330, Y= 6, Z= 8
[2023-07-11 09:35:23] [world_the_end] The Player <Enderlava> has placed WHITE_CARPET at X= 329, Y= 6, Z= 8
[2023-07-11 09:35:23] [world_the_end] The Player <Enderlava> has placed WHITE_CARPET at X= 329, Y= 6, Z= 7
[2023-07-11 09:35:24] [world_the_end] The Player <Enderlava> has placed WHITE_CARPET at X= 329, Y= 6, Z= 6
[2023-07-11 09:35:24] [world_the_end] The Player <Enderlava> has placed WHITE_CARPET at X= 330, Y= 6, Z= 6
[2023-07-11 09:35:26] [world_the_end] The Player <Enderlava> has placed WHITE_CARPET at X= 330, Y= 6, Z= 7
[2023-07-11 09:54:13] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -17, Y= 129, Z= -17
[2023-07-11 09:54:16] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -18, Y= 133, Z= -17
[2023-07-11 09:54:16] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -18, Y= 134, Z= -17
[2023-07-11 09:54:17] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -18, Y= 135, Z= -17
[2023-07-11 09:54:17] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -18, Y= 136, Z= -17
[2023-07-11 09:54:17] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -18, Y= 137, Z= -17
[2023-07-11 09:54:17] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -18, Y= 138, Z= -17
[2023-07-11 09:54:17] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -18, Y= 139, Z= -17
[2023-07-11 09:54:18] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -18, Y= 140, Z= -17
[2023-07-11 09:54:18] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -18, Y= 141, Z= -17
[2023-07-11 09:54:18] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -18, Y= 142, Z= -17
[2023-07-11 09:54:19] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -18, Y= 143, Z= -17
[2023-07-11 09:54:19] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -18, Y= 144, Z= -17
[2023-07-11 09:54:20] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -18, Y= 145, Z= -17
[2023-07-11 09:54:20] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -18, Y= 146, Z= -17
[2023-07-11 09:54:22] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -18, Y= 147, Z= -17
[2023-07-11 09:54:23] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -18, Y= 148, Z= -17
[2023-07-11 09:54:24] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -18, Y= 149, Z= -17
[2023-07-11 09:54:24] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -18, Y= 150, Z= -17
[2023-07-11 09:54:27] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -18, Y= 151, Z= -17
[2023-07-11 09:54:48] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -18, Y= 152, Z= -17
[2023-07-11 09:54:48] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -18, Y= 153, Z= -17
[2023-07-11 09:54:49] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -18, Y= 154, Z= -17
[2023-07-11 09:54:49] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -18, Y= 155, Z= -17
[2023-07-11 09:54:49] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -18, Y= 156, Z= -17
[2023-07-11 09:54:49] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -18, Y= 157, Z= -17
[2023-07-11 09:55:19] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -17, Y= 156, Z= -17
[2023-07-11 09:55:22] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -18, Y= 154, Z= -16
[2023-07-11 09:55:26] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -18, Y= 154, Z= -15
[2023-07-11 09:55:26] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -18, Y= 154, Z= -14
[2023-07-11 09:55:27] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -18, Y= 154, Z= -13
[2023-07-11 09:55:31] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -17, Y= 154, Z= -15
[2023-07-11 09:55:31] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -16, Y= 154, Z= -15
[2023-07-11 09:55:32] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -15, Y= 154, Z= -15
[2023-07-11 09:55:32] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -14, Y= 154, Z= -15
[2023-07-11 09:55:33] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -13, Y= 154, Z= -15
[2023-07-11 09:55:35] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -12, Y= 154, Z= -15
[2023-07-11 09:55:36] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -11, Y= 154, Z= -15
[2023-07-11 09:56:06] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -11, Y= 128, Z= -11
[2023-07-11 09:56:06] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -11, Y= 129, Z= -11
[2023-07-11 09:56:07] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -11, Y= 130, Z= -11
[2023-07-11 09:56:08] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -11, Y= 131, Z= -11
[2023-07-11 09:56:09] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -11, Y= 132, Z= -11
[2023-07-11 09:56:10] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -11, Y= 133, Z= -11
[2023-07-11 09:56:10] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -11, Y= 134, Z= -11
[2023-07-11 10:00:38] [world] The Player <Enderlava> has placed END_STONE at X= 20, Y= 62, Z= -283
[2023-07-11 10:00:38] [world] The Player <Enderlava> has placed END_STONE at X= 19, Y= 62, Z= -283
[2023-07-11 10:00:39] [world] The Player <Enderlava> has placed END_STONE at X= 18, Y= 62, Z= -283
[2023-07-11 10:00:41] [world] The Player <Enderlava> has placed END_STONE at X= 19, Y= 62, Z= -284
[2023-07-11 10:00:42] [world] The Player <Enderlava> has placed END_STONE at X= 19, Y= 62, Z= -285
[2023-07-11 10:00:43] [world] The Player <Enderlava> has placed END_STONE at X= 20, Y= 62, Z= -284
[2023-07-11 10:00:43] [world] The Player <Enderlava> has placed END_STONE at X= 20, Y= 62, Z= -285
[2023-07-11 10:00:44] [world] The Player <Enderlava> has placed END_STONE at X= 18, Y= 62, Z= -284
[2023-07-11 10:00:44] [world] The Player <Enderlava> has placed END_STONE at X= 18, Y= 62, Z= -285
[2023-07-11 10:00:47] [world] The Player <Enderlava> has placed END_STONE at X= 19, Y= 62, Z= -286
[2023-07-11 10:00:48] [world] The Player <Enderlava> has placed END_STONE at X= 20, Y= 62, Z= -286
[2023-07-11 10:05:32] [world_nether] The Player <Enderlava> has placed END_STONE at X= -10, Y= 128, Z= -15
[2023-07-11 10:05:32] [world_nether] The Player <Enderlava> has placed END_STONE at X= -10, Y= 129, Z= -15
[2023-07-11 10:05:33] [world_nether] The Player <Enderlava> has placed END_STONE at X= -10, Y= 130, Z= -15
[2023-07-11 10:05:33] [world_nether] The Player <Enderlava> has placed END_STONE at X= -10, Y= 131, Z= -15
[2023-07-11 10:05:34] [world_nether] The Player <Enderlava> has placed END_STONE at X= -10, Y= 132, Z= -15
[2023-07-11 10:05:34] [world_nether] The Player <Enderlava> has placed END_STONE at X= -10, Y= 133, Z= -15
[2023-07-11 10:05:37] [world_nether] The Player <Enderlava> has placed END_STONE at X= -10, Y= 134, Z= -15
[2023-07-11 10:05:37] [world_nether] The Player <Enderlava> has placed END_STONE at X= -10, Y= 135, Z= -15
[2023-07-11 10:05:38] [world_nether] The Player <Enderlava> has placed END_STONE at X= -10, Y= 136, Z= -15
[2023-07-11 10:05:39] [world_nether] The Player <Enderlava> has placed END_STONE at X= -10, Y= 137, Z= -15
[2023-07-11 10:05:41] [world_nether] The Player <Enderlava> has placed END_STONE at X= -10, Y= 137, Z= -14
[2023-07-11 10:05:52] [world_nether] The Player <Enderlava> has placed END_STONE at X= -10, Y= 138, Z= -15
[2023-07-11 10:05:53] [world_nether] The Player <Enderlava> has placed END_STONE at X= -10, Y= 139, Z= -15
[2023-07-11 10:06:13] [world_nether] The Player <Enderlava> has placed END_STONE at X= -11, Y= 139, Z= -15
[2023-07-11 10:06:22] [world_nether] The Player <Enderlava> has placed END_STONE at X= -10, Y= 137, Z= -13
[2023-07-11 10:06:24] [world_nether] The Player <Enderlava> has placed END_STONE at X= -9, Y= 137, Z= -13
[2023-07-11 10:06:25] [world_nether] The Player <Enderlava> has placed END_STONE at X= -9, Y= 138, Z= -13
[2023-07-11 10:06:25] [world_nether] The Player <Enderlava> has placed END_STONE at X= -9, Y= 139, Z= -13
[2023-07-11 10:06:30] [world_nether] The Player <Enderlava> has placed END_STONE at X= -10, Y= 137, Z= -12
[2023-07-11 10:06:31] [world_nether] The Player <Enderlava> has placed END_STONE at X= -10, Y= 137, Z= -11
[2023-07-11 10:06:32] [world_nether] The Player <Enderlava> has placed END_STONE at X= -10, Y= 137, Z= -10
[2023-07-11 10:06:33] [world_nether] The Player <Enderlava> has placed END_STONE at X= -10, Y= 138, Z= -10
[2023-07-11 10:06:34] [world_nether] The Player <Enderlava> has placed END_STONE at X= -10, Y= 139, Z= -10
[2023-07-11 10:06:39] [world_nether] The Player <Enderlava> has placed END_STONE at X= -11, Y= 137, Z= -11
[2023-07-11 10:06:40] [world_nether] The Player <Enderlava> has placed END_STONE at X= -12, Y= 137, Z= -11
[2023-07-11 10:06:42] [world_nether] The Player <Enderlava> has placed END_STONE at X= -12, Y= 137, Z= -10
[2023-07-11 10:06:43] [world_nether] The Player <Enderlava> has placed END_STONE at X= -12, Y= 137, Z= -9
[2023-07-11 10:06:44] [world_nether] The Player <Enderlava> has placed END_STONE at X= -12, Y= 137, Z= -8
[2023-07-11 10:06:45] [world_nether] The Player <Enderlava> has placed END_STONE at X= -12, Y= 138, Z= -8
[2023-07-11 10:06:46] [world_nether] The Player <Enderlava> has placed END_STONE at X= -12, Y= 139, Z= -8
[2023-07-11 10:08:16] [world_nether] The Player <Enderlava> has placed END_STONE at X= -13, Y= 137, Z= -11
[2023-07-11 10:08:17] [world_nether] The Player <Enderlava> has placed END_STONE at X= -14, Y= 137, Z= -11
[2023-07-11 10:08:18] [world_nether] The Player <Enderlava> has placed END_STONE at X= -15, Y= 137, Z= -11
[2023-07-11 10:08:21] [world_nether] The Player <Enderlava> has placed END_STONE at X= -15, Y= 137, Z= -10
[2023-07-11 10:08:21] [world_nether] The Player <Enderlava> has placed END_STONE at X= -15, Y= 137, Z= -9
[2023-07-11 10:08:23] [world_nether] The Player <Enderlava> has placed END_STONE at X= -15, Y= 138, Z= -9
[2023-07-11 10:08:24] [world_nether] The Player <Enderlava> has placed END_STONE at X= -15, Y= 139, Z= -9
[2023-07-11 10:08:30] [world_nether] The Player <Enderlava> has placed END_STONE at X= -16, Y= 137, Z= -11
[2023-07-11 10:08:31] [world_nether] The Player <Enderlava> has placed END_STONE at X= -17, Y= 137, Z= -11
[2023-07-11 10:08:32] [world_nether] The Player <Enderlava> has placed END_STONE at X= -17, Y= 138, Z= -11
[2023-07-11 10:08:33] [world_nether] The Player <Enderlava> has placed END_STONE at X= -17, Y= 139, Z= -11
[2023-07-11 10:10:27] [world_nether] The Player <Enderlava> has placed SAND at X= -11, Y= 128, Z= -16
[2023-07-11 10:10:27] [world_nether] The Player <Enderlava> has placed SAND at X= -11, Y= 129, Z= -16
[2023-07-11 10:10:28] [world_nether] The Player <Enderlava> has placed SAND at X= -11, Y= 130, Z= -16
[2023-07-11 10:10:28] [world_nether] The Player <Enderlava> has placed SAND at X= -11, Y= 131, Z= -16
[2023-07-11 10:10:29] [world_nether] The Player <Enderlava> has placed SAND at X= -11, Y= 132, Z= -16
[2023-07-11 10:10:29] [world_nether] The Player <Enderlava> has placed SAND at X= -11, Y= 133, Z= -16
[2023-07-11 10:10:34] [world_nether] The Player <Enderlava> has placed GLASS at X= -12, Y= 133, Z= -16
[2023-07-11 10:10:36] [world_nether] The Player <Enderlava> has placed GLASS at X= -13, Y= 133, Z= -16
[2023-07-11 10:10:37] [world_nether] The Player <Enderlava> has placed GLASS at X= -14, Y= 133, Z= -16
[2023-07-11 10:10:38] [world_nether] The Player <Enderlava> has placed GLASS at X= -15, Y= 133, Z= -16
[2023-07-11 10:10:39] [world_nether] The Player <Enderlava> has placed GLASS at X= -16, Y= 133, Z= -16
[2023-07-11 10:10:40] [world_nether] The Player <Enderlava> has placed GLASS at X= -17, Y= 133, Z= -16
[2023-07-11 10:10:42] [world_nether] The Player <Enderlava> has placed GLASS at X= -17, Y= 133, Z= -15
[2023-07-11 10:10:42] [world_nether] The Player <Enderlava> has placed GLASS at X= -17, Y= 133, Z= -14
[2023-07-11 10:10:43] [world_nether] The Player <Enderlava> has placed GLASS at X= -17, Y= 133, Z= -13
[2023-07-11 10:10:43] [world_nether] The Player <Enderlava> has placed GLASS at X= -17, Y= 133, Z= -12
[2023-07-11 10:10:44] [world_nether] The Player <Enderlava> has placed GLASS at X= -17, Y= 133, Z= -11
[2023-07-11 10:10:45] [world_nether] The Player <Enderlava> has placed GLASS at X= -17, Y= 133, Z= -10
[2023-07-11 10:10:46] [world_nether] The Player <Enderlava> has placed GLASS at X= -17, Y= 133, Z= -9
[2023-07-11 10:10:46] [world_nether] The Player <Enderlava> has placed GLASS at X= -17, Y= 133, Z= -8
[2023-07-11 10:10:47] [world_nether] The Player <Enderlava> has placed GLASS at X= -17, Y= 133, Z= -7
[2023-07-11 10:10:52] [world_nether] The Player <Enderlava> has placed GLASS at X= -16, Y= 133, Z= -8
[2023-07-11 10:10:53] [world_nether] The Player <Enderlava> has placed GLASS at X= -15, Y= 133, Z= -8
[2023-07-11 10:10:53] [world_nether] The Player <Enderlava> has placed GLASS at X= -14, Y= 133, Z= -8
[2023-07-11 10:10:54] [world_nether] The Player <Enderlava> has placed GLASS at X= -13, Y= 133, Z= -8
[2023-07-11 10:10:55] [world_nether] The Player <Enderlava> has placed GLASS at X= -12, Y= 133, Z= -8
[2023-07-11 10:40:55] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -10, Y= 128, Z= -16
[2023-07-11 10:40:56] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -10, Y= 129, Z= -16
[2023-07-11 10:40:56] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -10, Y= 130, Z= -16
[2023-07-11 10:40:56] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -10, Y= 131, Z= -16
[2023-07-11 10:40:56] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -10, Y= 132, Z= -16
[2023-07-11 10:40:57] [world_nether] The Player <Enderlava> has placed COBBLESTONE at X= -10, Y= 133, Z= -16
[2023-07-11 10:41:00] [world_nether] The Player <Enderlava> has placed GLASS at X= -11, Y= 133, Z= -16
[2023-07-11 10:41:00] [world_nether] The Player <Enderlava> has placed GLASS at X= -12, Y= 133, Z= -16
[2023-07-11 10:41:01] [world_nether] The Player <Enderlava> has placed GLASS at X= -13, Y= 133, Z= -16
[2023-07-11 10:41:02] [world_nether] The Player <Enderlava> has placed GLASS at X= -14, Y= 133, Z= -16
[2023-07-11 10:41:03] [world_nether] The Player <Enderlava> has placed GLASS at X= -15, Y= 133, Z= -16
[2023-07-11 10:41:04] [world_nether] The Player <Enderlava> has placed GLASS at X= -16, Y= 133, Z= -16
[2023-07-11 10:41:04] [world_nether] The Player <Enderlava> has placed GLASS at X= -17, Y= 133, Z= -16
[2023-07-11 10:41:06] [world_nether] The Player <Enderlava> has placed GLASS at X= -17, Y= 133, Z= -15
[2023-07-11 10:41:07] [world_nether] The Player <Enderlava> has placed GLASS at X= -17, Y= 133, Z= -14
[2023-07-11 10:41:07] [world_nether] The Player <Enderlava> has placed GLASS at X= -17, Y= 133, Z= -13
[2023-07-11 10:41:08] [world_nether] The Player <Enderlava> has placed GLASS at X= -17, Y= 133, Z= -12
[2023-07-11 10:41:08] [world_nether] The Player <Enderlava> has placed GLASS at X= -17, Y= 133, Z= -11
[2023-07-11 10:41:09] [world_nether] The Player <Enderlava> has placed GLASS at X= -17, Y= 133, Z= -10
[2023-07-11 10:41:10] [world_nether] The Player <Enderlava> has placed GLASS at X= -17, Y= 133, Z= -9
[2023-07-11 10:41:10] [world_nether] The Player <Enderlava> has placed GLASS at X= -17, Y= 133, Z= -8
[2023-07-11 10:41:13] [world_nether] The Player <Enderlava> has placed GLASS at X= -16, Y= 133, Z= -8
[2023-07-11 10:41:14] [world_nether] The Player <Enderlava> has placed GLASS at X= -15, Y= 133, Z= -8
[2023-07-11 10:41:14] [world_nether] The Player <Enderlava> has placed GLASS at X= -14, Y= 133, Z= -8
[2023-07-11 10:41:15] [world_nether] The Player <Enderlava> has placed GLASS at X= -13, Y= 133, Z= -8
[2023-07-11 10:41:16] [world_nether] The Player <Enderlava> has placed GLASS at X= -12, Y= 133, Z= -8
[2023-07-11 10:41:16] [world_nether] The Player <Enderlava> has placed GLASS at X= -11, Y= 133, Z= -8
[2023-07-11 10:41:17] [world_nether] The Player <Enderlava> has placed GLASS at X= -10, Y= 133, Z= -8
[2023-07-11 10:41:17] [world_nether] The Player <Enderlava> has placed GLASS at X= -9, Y= 133, Z= -8
[2023-07-11 10:41:19] [world_nether] The Player <Enderlava> has placed GLASS at X= -9, Y= 133, Z= -9
[2023-07-11 10:41:20] [world_nether] The Player <Enderlava> has placed GLASS at X= -9, Y= 133, Z= -10
[2023-07-11 10:41:21] [world_nether] The Player <Enderlava> has placed GLASS at X= -9, Y= 133, Z= -11
[2023-07-11 10:41:21] [world_nether] The Player <Enderlava> has placed GLASS at X= -9, Y= 133, Z= -12
[2023-07-11 10:41:22] [world_nether] The Player <Enderlava> has placed GLASS at X= -9, Y= 133, Z= -13
[2023-07-11 10:41:23] [world_nether] The Player <Enderlava> has placed GLASS at X= -9, Y= 133, Z= -14
[2023-07-11 10:41:24] [world_nether] The Player <Enderlava> has placed GLASS at X= -9, Y= 133, Z= -15
[2023-07-11 10:41:24] [world_nether] The Player <Enderlava> has placed GLASS at X= -9, Y= 133, Z= -16
[2023-07-11 10:41:49] [world_nether] The Player <Enderlava> has placed GLASS at X= -13, Y= 133, Z= -15
[2023-07-11 10:41:50] [world_nether] The Player <Enderlava> has placed GLASS at X= -12, Y= 133, Z= -15
[2023-07-11 10:41:51] [world_nether] The Player <Enderlava> has placed GLASS at X= -11, Y= 133, Z= -15
[2023-07-11 10:41:53] [world_nether] The Player <Enderlava> has placed GLASS at X= -11, Y= 133, Z= -14
[2023-07-11 10:41:54] [world_nether] The Player <Enderlava> has placed GLASS at X= -10, Y= 133, Z= -14
[2023-07-11 10:43:17] [world] The Player <Enderlava> has placed SHULKER_BOX at X= -29, Y= 66, Z= -286
