[2023-07-07 08:28:34] [world] The Player <Funget114514> has placed GRINDSTONE at X= -25, Y= 70, Z= -284
[2023-07-07 09:03:48] [world] The Player <wqe123420> has placed STICKY_PISTON at X= -25, Y= -54, Z= -246
[2023-07-07 09:03:49] [world] The Player <wqe123420> has placed SLIME_BLOCK at X= -24, Y= -54, Z= -246
[2023-07-07 09:03:51] [world] The Player <wqe123420> has placed PISTON at X= -24, Y= -53, Z= -246
[2023-07-07 09:03:53] [world] The Player <wqe123420> has placed SLIME_BLOCK at X= -25, Y= -53, Z= -246
[2023-07-07 09:03:56] [world] The Player <wqe123420> has placed PISTON at X= -26, Y= -53, Z= -246
[2023-07-07 09:04:00] [world] The Player <wqe123420> has placed NOTE_BLOCK at X= -26, Y= -52, Z= -246
[2023-07-07 09:04:09] [world] The Player <wqe123420> has placed OBSERVER at X= -25, Y= -52, Z= -246
[2023-07-07 09:04:26] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -27, Y= -54, Z= -246
[2023-07-07 09:04:27] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -28, Y= -54, Z= -246
[2023-07-07 09:04:36] [world] The Player <wqe123420> has placed SLIME_BLOCK at X= -28, Y= -53, Z= -246
[2023-07-07 09:04:41] [world] The Player <wqe123420> has placed SLIME_BLOCK at X= -29, Y= -54, Z= -246
[2023-07-07 09:04:54] [world] The Player <wqe123420> has placed CRAFTING_TABLE at X= -31, Y= -55, Z= -243
[2023-07-07 09:05:11] [world] The Player <wqe123420> has placed COBBLESTONE_SLAB at X= -29, Y= -55, Z= -246
[2023-07-07 09:05:12] [world] The Player <wqe123420> has placed COBBLESTONE_SLAB at X= -29, Y= -56, Z= -245
[2023-07-07 09:05:12] [world] The Player <wqe123420> has placed COBBLESTONE_SLAB at X= -29, Y= -56, Z= -245
[2023-07-07 09:05:43] [world] The Player <wqe123420> has placed COBBLESTONE_WALL at X= -30, Y= -55, Z= -246
[2023-07-07 09:09:54] [world] The Player <wqe123420> has placed OBSERVER at X= -31, Y= -55, Z= -246
[2023-07-07 09:09:59] [world] The Player <wqe123420> has placed PISTON at X= -32, Y= -55, Z= -246
[2023-07-07 09:10:04] [world] The Player <wqe123420> has placed TNT at X= -30, Y= -54, Z= -246
[2023-07-07 09:10:32] [world] The Player <wqe123420> has placed COBBLESTONE_SLAB at X= -30, Y= -53, Z= -246
[2023-07-07 09:10:35] [world] The Player <wqe123420> has placed COBBLESTONE_SLAB at X= -29, Y= -53, Z= -246
[2023-07-07 09:10:35] [world] The Player <wqe123420> has placed COBBLESTONE_SLAB at X= -29, Y= -53, Z= -246
[2023-07-07 09:10:40] [world] The Player <wqe123420> has placed COBBLESTONE_SLAB at X= -30, Y= -53, Z= -246
[2023-07-07 09:10:52] [world] The Player <wqe123420> has placed SLIME_BLOCK at X= -31, Y= -53, Z= -246
[2023-07-07 09:10:59] [world] The Player <wqe123420> has placed HORN_CORAL_FAN at X= -31, Y= -54, Z= -246
[2023-07-07 09:11:10] [world] The Player <wqe123420> has placed RAIL at X= -29, Y= -53, Z= -246
[2023-07-07 09:11:17] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -29, Y= -55, Z= -245
[2023-07-07 09:11:17] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -29, Y= -54, Z= -245
[2023-07-07 09:11:18] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -29, Y= -55, Z= -244
[2023-07-07 09:11:18] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -29, Y= -54, Z= -244
[2023-07-07 09:11:20] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -30, Y= -54, Z= -245
[2023-07-07 09:11:21] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -30, Y= -54, Z= -244
[2023-07-07 09:11:36] [world] The Player <wqe123420> has placed TNT at X= -30, Y= -54, Z= -246
[2023-07-07 09:11:40] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -28, Y= -54, Z= -245
[2023-07-07 09:11:41] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -28, Y= -54, Z= -244
[2023-07-07 09:11:53] [world] The Player <wqe123420> has placed RAIL at X= -29, Y= -53, Z= -245
[2023-07-07 09:12:17] [world] The Player <wqe123420> has placed STICKY_PISTON at X= -29, Y= -53, Z= -244
[2023-07-07 09:12:37] [world] The Player <wqe123420> has placed REDSTONE_BLOCK at X= -29, Y= -53, Z= -243
[2023-07-07 09:13:00] [world] The Player <Xw114> has placed END_ROD at X= -26, Y= -55, Z= -244
[2023-07-07 09:13:09] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -34, Y= -55, Z= -246
[2023-07-07 09:13:10] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -36, Y= -55, Z= -245
[2023-07-07 09:13:10] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -35, Y= -55, Z= -246
[2023-07-07 09:13:16] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -36, Y= -55, Z= -246
[2023-07-07 09:14:11] [world] The Player <wqe123420> has placed ANCIENT_DEBRIS at X= -37, Y= -55, Z= -246
[2023-07-07 09:14:12] [world] The Player <wqe123420> has placed ANCIENT_DEBRIS at X= -38, Y= -55, Z= -246
[2023-07-07 09:14:13] [world] The Player <wqe123420> has placed ANCIENT_DEBRIS at X= -39, Y= -55, Z= -246
[2023-07-07 09:14:54] [world] The Player <wqe123420> has placed TNT at X= -32, Y= -54, Z= -246
[2023-07-07 09:16:25] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -30, Y= -54, Z= -246
[2023-07-07 09:16:51] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -31, Y= -54, Z= -246
[2023-07-07 09:17:20] [world] The Player <wqe123420> has placed SLIME_BLOCK at X= -31, Y= -53, Z= -246
[2023-07-07 09:17:31] [world] The Player <wqe123420> has placed SLIME_BLOCK at X= -32, Y= -54, Z= -246
[2023-07-07 09:17:39] [world] The Player <wqe123420> has placed COBBLESTONE_SLAB at X= -32, Y= -55, Z= -246
[2023-07-07 09:17:49] [world] The Player <wqe123420> has placed COBBLESTONE_WALL at X= -33, Y= -55, Z= -246
[2023-07-07 09:18:01] [world] The Player <wqe123420> has placed OBSERVER at X= -34, Y= -55, Z= -246
[2023-07-07 09:18:08] [world] The Player <wqe123420> has placed PISTON at X= -35, Y= -55, Z= -246
[2023-07-07 09:18:14] [world] The Player <wqe123420> has placed TNT at X= -33, Y= -54, Z= -246
[2023-07-07 09:18:24] [world] The Player <wqe123420> has placed COBBLESTONE_SLAB at X= -32, Y= -53, Z= -246
[2023-07-07 09:18:24] [world] The Player <wqe123420> has placed COBBLESTONE_SLAB at X= -33, Y= -53, Z= -246
[2023-07-07 09:18:32] [world] The Player <wqe123420> has placed SLIME_BLOCK at X= -34, Y= -53, Z= -246
[2023-07-07 09:18:44] [world] The Player <wqe123420> has placed HORN_CORAL_FAN at X= -34, Y= -54, Z= -246
[2023-07-07 09:18:52] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -32, Y= -54, Z= -245
[2023-07-07 09:18:52] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -31, Y= -54, Z= -245
[2023-07-07 09:18:53] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -31, Y= -54, Z= -244
[2023-07-07 09:18:53] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -32, Y= -54, Z= -244
[2023-07-07 09:18:56] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -32, Y= -54, Z= -243
[2023-07-07 09:18:59] [world] The Player <wqe123420> has placed STICKY_PISTON at X= -32, Y= -53, Z= -244
[2023-07-07 09:19:09] [world] The Player <wqe123420> has placed RAIL at X= -32, Y= -53, Z= -245
[2023-07-07 09:19:19] [world] The Player <wqe123420> has placed REDSTONE_BLOCK at X= -32, Y= -53, Z= -243
[2023-07-07 09:19:36] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -36, Y= -55, Z= -246
[2023-07-07 09:19:38] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -37, Y= -55, Z= -246
[2023-07-07 09:19:49] [world] The Player <Xw114> has placed SHULKER_BOX at X= -26, Y= 63, Z= -287
[2023-07-07 09:20:03] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -38, Y= -55, Z= -246
[2023-07-07 09:20:04] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -39, Y= -55, Z= -246
[2023-07-07 09:20:09] [world] The Player <wqe123420> has placed ANCIENT_DEBRIS at X= -40, Y= -55, Z= -246
[2023-07-07 09:20:09] [world] The Player <wqe123420> has placed ANCIENT_DEBRIS at X= -41, Y= -55, Z= -246
[2023-07-07 09:20:10] [world] The Player <wqe123420> has placed ANCIENT_DEBRIS at X= -42, Y= -55, Z= -246
[2023-07-07 09:29:52] [world] The Player <wegwe> has placed DIRT at X= -93, Y= 71, Z= -188
[2023-07-07 09:29:54] [world] The Player <wegwe> has placed DIRT at X= -97, Y= 71, Z= -186
[2023-07-07 09:32:28] [world] The Player <wegwe> has placed DIRT at X= -108, Y= 68, Z= -99
[2023-07-07 09:32:29] [world] The Player <wegwe> has placed DIRT at X= -107, Y= 66, Z= -101
[2023-07-07 09:32:30] [world] The Player <wegwe> has placed DIRT at X= -107, Y= 66, Z= -102
[2023-07-07 09:32:30] [world] The Player <wegwe> has placed DIRT at X= -107, Y= 66, Z= -103
[2023-07-07 09:39:03] [world] The Player <Xw114> has placed SHULKER_BOX at X= -28, Y= 63, Z= -287
[2023-07-07 09:39:10] [world] The Player <wegwe> has placed OAK_PLANKS at X= -18, Y= 63, Z= -288
[2023-07-07 09:40:17] [world] The Player <Xw114> has placed SHULKER_BOX at X= -19, Y= 63, Z= -294
[2023-07-07 09:40:27] [world] The Player <wegwe> has placed MANGROVE_ROOTS at X= -7, Y= 63, Z= -288
[2023-07-07 09:40:28] [world] The Player <wegwe> has placed MANGROVE_ROOTS at X= -7, Y= 64, Z= -288
[2023-07-07 09:40:37] [world] The Player <wegwe> has placed COBBLESTONE at X= -9, Y= 62, Z= -291
[2023-07-07 09:40:38] [world] The Player <wegwe> has placed COBBLESTONE at X= -8, Y= 62, Z= -291
[2023-07-07 09:40:40] [world] The Player <wegwe> has placed DIRT at X= -8, Y= 62, Z= -293
[2023-07-07 09:40:41] [world] The Player <wegwe> has placed DIRT at X= -9, Y= 62, Z= -293
[2023-07-07 09:40:46] [world] The Player <wegwe> has placed DIRT at X= -9, Y= 62, Z= -294
[2023-07-07 09:40:46] [world] The Player <wegwe> has placed DIRT at X= -8, Y= 62, Z= -294
[2023-07-07 09:40:47] [world] The Player <wegwe> has placed DIRT at X= -7, Y= 62, Z= -294
[2023-07-07 09:40:48] [world] The Player <wegwe> has placed DIRT at X= -6, Y= 61, Z= -293
[2023-07-07 09:41:00] [world] The Player <wegwe> has placed MANGROVE_ROOTS at X= -9, Y= 63, Z= -289
[2023-07-07 09:42:03] [world] The Player <wegwe> has placed SAND at X= 5, Y= 67, Z= -276
[2023-07-07 09:45:01] [world] The Player <wegwe> has placed MANGROVE_ROOTS at X= -33, Y= 68, Z= -298
[2023-07-07 09:45:50] [world] The Player <wegwe> has placed DIRT at X= -44, Y= 68, Z= -291
[2023-07-07 09:45:50] [world] The Player <wegwe> has placed DIRT at X= -44, Y= 69, Z= -290
[2023-07-07 09:47:08] [world] The Player <wegwe> has placed COBBLESTONE at X= -20, Y= 70, Z= -271
[2023-07-07 09:47:09] [world] The Player <wegwe> has placed COBBLESTONE at X= -16, Y= 67, Z= -271
[2023-07-07 09:51:04] [world] The Player <wqe123420> has placed LIGHT_GRAY_SHULKER_BOX at X= -25, Y= 63, Z= -287
[2023-07-07 09:51:25] [world] The Player <wqe123420> has placed YELLOW_SHULKER_BOX at X= -27, Y= 66, Z= -285
[2023-07-07 09:55:19] [world] The Player <Funget114514> has placed DIRT at X= -497, Y= 63, Z= -479
[2023-07-07 09:55:43] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -497, Y= 63, Z= -471
[2023-07-07 09:55:43] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -497, Y= 64, Z= -471
[2023-07-07 09:55:43] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -498, Y= 63, Z= -471
[2023-07-07 09:55:43] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -497, Y= 63, Z= -470
[2023-07-07 09:55:44] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -498, Y= 64, Z= -471
[2023-07-07 09:55:44] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -498, Y= 65, Z= -471
[2023-07-07 09:55:44] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -498, Y= 63, Z= -470
[2023-07-07 09:55:44] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -498, Y= 64, Z= -470
[2023-07-07 09:55:44] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -498, Y= 65, Z= -470
[2023-07-07 09:55:44] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -498, Y= 66, Z= -470
[2023-07-07 09:55:45] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -498, Y= 67, Z= -470
[2023-07-07 09:55:45] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -498, Y= 68, Z= -470
[2023-07-07 09:55:45] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -498, Y= 69, Z= -470
[2023-07-07 09:55:45] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -498, Y= 70, Z= -470
[2023-07-07 09:55:45] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -498, Y= 71, Z= -470
[2023-07-07 09:55:46] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -498, Y= 72, Z= -470
[2023-07-07 09:55:46] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -498, Y= 73, Z= -470
[2023-07-07 09:55:46] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -498, Y= 74, Z= -470
[2023-07-07 09:55:46] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -498, Y= 75, Z= -470
[2023-07-07 09:55:46] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -498, Y= 76, Z= -470
[2023-07-07 09:55:47] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -498, Y= 77, Z= -470
[2023-07-07 09:55:47] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -498, Y= 78, Z= -470
[2023-07-07 09:55:47] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -498, Y= 79, Z= -470
[2023-07-07 09:55:47] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -498, Y= 80, Z= -470
[2023-07-07 09:55:47] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -498, Y= 81, Z= -470
[2023-07-07 09:55:48] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -498, Y= 82, Z= -470
[2023-07-07 09:55:48] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -498, Y= 83, Z= -470
[2023-07-07 09:55:48] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -498, Y= 84, Z= -470
[2023-07-07 09:55:48] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -498, Y= 85, Z= -470
[2023-07-07 09:55:49] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -498, Y= 86, Z= -470
[2023-07-07 09:55:49] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -498, Y= 87, Z= -470
[2023-07-07 09:55:49] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -498, Y= 88, Z= -470
[2023-07-07 09:55:49] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -498, Y= 89, Z= -470
[2023-07-07 09:55:49] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -498, Y= 90, Z= -470
[2023-07-07 09:55:49] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -498, Y= 91, Z= -470
[2023-07-07 09:55:50] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -498, Y= 92, Z= -470
[2023-07-07 09:55:50] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -498, Y= 93, Z= -470
[2023-07-07 09:55:50] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -498, Y= 94, Z= -470
[2023-07-07 09:55:51] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -498, Y= 95, Z= -470
[2023-07-07 09:55:51] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -498, Y= 96, Z= -470
[2023-07-07 09:55:51] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -498, Y= 97, Z= -470
[2023-07-07 09:55:51] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -498, Y= 98, Z= -470
[2023-07-07 09:56:13] [world] The Player <Enderlava> has placed TRIPWIRE at X= -177, Y= 65, Z= -199
[2023-07-07 09:56:15] [world] The Player <Enderlava> has placed TRIPWIRE at X= -178, Y= 64, Z= -199
[2023-07-07 09:56:15] [world] The Player <Enderlava> has placed TRIPWIRE at X= -177, Y= 64, Z= -198
[2023-07-07 09:57:49] [world] The Player <wegwe> has placed COBBLESTONE at X= -156, Y= 69, Z= -184
[2023-07-07 09:57:50] [world] The Player <wegwe> has placed COBBLESTONE at X= -152, Y= 68, Z= -185
[2023-07-07 09:57:51] [world] The Player <wegwe> has placed COBBLESTONE at X= -146, Y= 61, Z= -187
[2023-07-07 09:57:51] [world] The Player <wegwe> has placed COBBLESTONE at X= -145, Y= 59, Z= -188
[2023-07-07 09:58:03] [world] The Player <wegwe> has placed COBBLESTONE at X= -121, Y= 70, Z= -206
[2023-07-07 09:58:04] [world] The Player <wegwe> has placed COBBLESTONE at X= -119, Y= 70, Z= -208
[2023-07-07 09:58:05] [world] The Player <wegwe> has placed COBBLESTONE at X= -116, Y= 69, Z= -209
[2023-07-07 09:58:06] [world] The Player <wegwe> has placed COBBLESTONE at X= -114, Y= 69, Z= -211
[2023-07-07 09:58:07] [world] The Player <wegwe> has placed COBBLESTONE at X= -111, Y= 66, Z= -212
[2023-07-07 09:58:08] [world] The Player <wegwe> has placed COBBLESTONE at X= -109, Y= 67, Z= -214
[2023-07-07 09:58:09] [world] The Player <wegwe> has placed COBBLESTONE at X= -106, Y= 69, Z= -215
[2023-07-07 09:58:17] [world] The Player <wegwe> has placed COBBLESTONE at X= -94, Y= 71, Z= -221
[2023-07-07 09:58:18] [world] The Player <wegwe> has placed COBBLESTONE at X= -92, Y= 71, Z= -222
[2023-07-07 09:58:19] [world] The Player <wegwe> has placed COBBLESTONE at X= -89, Y= 71, Z= -223
[2023-07-07 09:58:20] [world] The Player <wegwe> has placed COBBLESTONE at X= -86, Y= 72, Z= -224
[2023-07-07 10:01:02] [world] The Player <Funget114514> has placed SHULKER_BOX at X= -28, Y= 63, Z= -288
[2023-07-07 10:01:19] [world_nether] The Player <wegwe> has placed COBBLESTONE at X= 165, Y= 130, Z= -23
[2023-07-07 10:01:20] [world_nether] The Player <wegwe> has placed COBBLESTONE at X= 165, Y= 130, Z= -24
[2023-07-07 10:02:18] [world_nether] The Player <wegwe> has placed RAIL at X= 162, Y= 128, Z= 25
[2023-07-07 10:03:31] [world_the_end] The Player <wqe123420> has placed DARK_OAK_SLAB at X= 104, Y= 0, Z= 5
[2023-07-07 10:06:43] [world] The Player <Funget114514> has placed SHULKER_BOX at X= -28, Y= 63, Z= -288
[2023-07-07 10:14:47] [world] The Player <wegwe> has placed COBBLESTONE at X= 9, Y= 62, Z= -272
[2023-07-07 10:15:50] [world] The Player <wegwe> has placed CRAFTING_TABLE at X= 36, Y= 63, Z= -291
[2023-07-07 10:18:51] [world] The Player <Enderlava> has placed SHULKER_BOX at X= -29, Y= 65, Z= -287
[2023-07-07 10:19:22] [world] The Player <Enderlava> has placed SHULKER_BOX at X= -26, Y= 62, Z= -286
[2023-07-07 10:19:58] [world] The Player <Enderlava> has placed SUGAR_CANE at X= 2, Y= 63, Z= -292
[2023-07-07 10:19:59] [world] The Player <Enderlava> has placed SUGAR_CANE at X= 3, Y= 63, Z= -292
[2023-07-07 10:20:03] [world] The Player <Enderlava> has placed SUGAR_CANE at X= 10, Y= 63, Z= -304
[2023-07-07 10:20:03] [world] The Player <Enderlava> has placed SUGAR_CANE at X= 9, Y= 63, Z= -304
[2023-07-07 10:21:16] [world] The Player <wegwe> has placed COBBLESTONE at X= -25, Y= 60, Z= -285
[2023-07-07 10:21:22] [world] The Player <wegwe> has placed COBBLESTONE at X= -25, Y= 60, Z= -286
[2023-07-07 10:21:23] [world] The Player <wegwe> has placed COBBLESTONE at X= -25, Y= 61, Z= -286
[2023-07-07 10:21:26] [world] The Player <wegwe> has placed COBBLESTONE at X= -26, Y= 62, Z= -286
[2023-07-07 10:21:28] [world] The Player <wegwe> has placed COBBLESTONE at X= -25, Y= 62, Z= -286
[2023-07-07 10:22:39] [world] The Player <Xw114> has placed WHITE_BANNER at X= -13, Y= 74, Z= -235
[2023-07-07 10:22:52] [world] The Player <wegwe> has placed CHORUS_FLOWER at X= -17, Y= 64, Z= -296
[2023-07-07 10:23:08] [world] The Player <Enderlava> has placed FIRE at X= -30, Y= 77, Z= -216
[2023-07-07 10:23:15] [world] The Player <Enderlava> has placed REDSTONE_WIRE at X= -20, Y= 79, Z= -213
[2023-07-07 10:27:44] [world] The Player <wegwe> has placed CRAFTING_TABLE at X= 36, Y= 63, Z= -268
[2023-07-07 10:28:00] [world] The Player <wegwe> has placed WALL_TORCH at X= 39, Y= 63, Z= -265
[2023-07-07 10:28:02] [world] The Player <wegwe> has placed TORCH at X= 38, Y= 63, Z= -257
[2023-07-07 10:28:03] [world] The Player <wegwe> has placed TORCH at X= 38, Y= 63, Z= -249
[2023-07-07 10:28:05] [world] The Player <wegwe> has placed TORCH at X= 38, Y= 63, Z= -242
[2023-07-07 10:28:07] [world] The Player <wegwe> has placed TORCH at X= 38, Y= 63, Z= -228
[2023-07-07 10:28:11] [world] The Player <wegwe> has placed TORCH at X= 38, Y= 63, Z= -217
[2023-07-07 10:28:12] [world] The Player <wegwe> has placed TORCH at X= 38, Y= 63, Z= -216
[2023-07-07 10:28:35] [world] The Player <wegwe> has placed WALL_TORCH at X= 41, Y= 61, Z= -260
[2023-07-07 10:28:50] [world] The Player <wegwe> has placed COBBLESTONE at X= 39, Y= 62, Z= -260
[2023-07-07 10:28:50] [world] The Player <wegwe> has placed COBBLESTONE at X= 39, Y= 62, Z= -259
[2023-07-07 10:28:51] [world] The Player <wegwe> has placed COBBLESTONE at X= 39, Y= 62, Z= -258
[2023-07-07 10:28:51] [world] The Player <wegwe> has placed COBBLESTONE at X= 39, Y= 62, Z= -257
[2023-07-07 10:28:58] [world] The Player <wegwe> has placed MOSSY_STONE_BRICKS at X= 39, Y= 63, Z= -251
[2023-07-07 10:29:52] [world] The Player <wegwe> has placed WALL_TORCH at X= 41, Y= 63, Z= -221
[2023-07-07 10:30:59] [world] The Player <wqe123420> has placed ANCIENT_DEBRIS at X= -44, Y= 72, Z= -261
[2023-07-07 10:30:59] [world] The Player <wqe123420> has placed ANCIENT_DEBRIS at X= -44, Y= 73, Z= -261
[2023-07-07 10:31:16] [world] The Player <wqe123420> has placed DIRT_PATH at X= -44, Y= 71, Z= -259
[2023-07-07 10:33:15] [world] The Player <wegwe> has placed NETHERRACK at X= -34, Y= 69, Z= -249
[2023-07-07 10:35:12] [world_nether] The Player <wegwe> has placed CRAFTING_TABLE at X= 13, Y= 128, Z= -21
[2023-07-07 10:35:18] [world] The Player <Enderlava> has placed SAND at X= 37, Y= 60, Z= -188
[2023-07-07 10:36:36] [world] The Player <Enderlava> has placed SAND at X= 30, Y= 74, Z= -190
[2023-07-07 10:36:36] [world] The Player <Enderlava> has placed SAND at X= 29, Y= 74, Z= -189
[2023-07-07 10:36:37] [world] The Player <Enderlava> has placed SAND at X= 29, Y= 75, Z= -189
[2023-07-07 10:36:37] [world] The Player <Enderlava> has placed SAND at X= 29, Y= 76, Z= -189
[2023-07-07 10:42:20] [world] The Player <wegwe> has placed CHEST at X= 38, Y= 61, Z= -272
