[2023-07-07 08:29:17] [world] The Player <Funget114514> has picked 3 of STICK at X= -28, Y= 63, Z= -288 | 
[2023-07-07 09:12:59] [world] The Player <wqe123420> has picked 1 of COBBLED_DEEPSLATE at X= -34, Y= -53, Z= -246 | 
[2023-07-07 09:13:07] [world] The Player <wqe123420> has picked 1 of COBBLED_DEEPSLATE at X= -35, Y= -54, Z= -250 | 
[2023-07-07 09:13:15] [world] The Player <Xw114> has picked 18 of COBBLED_DEEPSLATE at X= -36, Y= -57, Z= -247 | 
[2023-07-07 09:13:18] [world_the_end] The Player <Funget114514> has picked 1 of ENDER_PEARL at X= 331, Y= 1, Z= 6 | 
[2023-07-07 09:13:21] [world] The Player <wqe123420> has picked 1 of COBBLED_DEEPSLATE at X= -36, Y= -55, Z= -245 | 
[2023-07-07 09:13:23] [world] The Player <Xw114> has picked 1 of RAIL at X= -29, Y= -55, Z= -247 | 
[2023-07-07 09:13:24] [world_the_end] The Player <Funget114514> has picked 1 of ENDER_PEARL at X= 331, Y= 1, Z= 7 | 
[2023-07-07 09:13:26] [world] The Player <wqe123420> has picked 1 of COBBLED_DEEPSLATE at X= -34, Y= -53, Z= -245 | 
[2023-07-07 09:13:27] [world] The Player <wqe123420> has picked 1 of COBBLED_DEEPSLATE at X= -34, Y= -52, Z= -246 | 
[2023-07-07 09:13:27] [world_the_end] The Player <Funget114514> has picked 7 of ENDER_PEARL at X= 331, Y= 1, Z= 6 | 
[2023-07-07 09:13:35] [world] The Player <wqe123420> has picked 1 of COBBLED_DEEPSLATE at X= -34, Y= -53, Z= -249 | 
[2023-07-07 09:13:36] [world] The Player <wqe123420> has picked 8 of COBBLED_DEEPSLATE at X= -34, Y= -55, Z= -248 | 
[2023-07-07 09:13:39] [world] The Player <wqe123420> has picked 9 of COBBLED_DEEPSLATE at X= -35, Y= -55, Z= -250 | 
[2023-07-07 09:13:41] [world] The Player <Xw114> has picked 4 of COBBLED_DEEPSLATE at X= -35, Y= -55, Z= -250 | 
[2023-07-07 09:13:42] [world] The Player <wqe123420> has picked 2 of COBBLED_DEEPSLATE at X= -35, Y= -53, Z= -248 | 
[2023-07-07 09:13:47] [world] The Player <wqe123420> has picked 2 of COBBLED_DEEPSLATE at X= -36, Y= -55, Z= -244 | 
[2023-07-07 09:13:48] [world] The Player <wqe123420> has picked 2 of COBBLED_DEEPSLATE at X= -36, Y= -53, Z= -244 | 
[2023-07-07 09:13:49] [world] The Player <wqe123420> has picked 2 of COBBLED_DEEPSLATE at X= -36, Y= -55, Z= -245 | 
[2023-07-07 09:13:53] [world] The Player <wqe123420> has picked 50 of COBBLED_DEEPSLATE at X= -36, Y= -56, Z= -245 | 
[2023-07-07 09:13:56] [world] The Player <Xw114> has picked 1 of COBBLED_DEEPSLATE at X= -31, Y= -54, Z= -251 | 
[2023-07-07 09:13:56] [world] The Player <Xw114> has picked 1 of COBBLED_DEEPSLATE at X= -32, Y= -55, Z= -251 | 
[2023-07-07 09:13:57] [world] The Player <Xw114> has picked 1 of COBBLED_DEEPSLATE at X= -31, Y= -54, Z= -251 | 
[2023-07-07 09:13:58] [world] The Player <Xw114> has picked 3 of COBBLED_DEEPSLATE at X= -30, Y= -55, Z= -251 | 
[2023-07-07 09:14:02] [world] The Player <wqe123420> has picked 2 of COBBLED_DEEPSLATE at X= -38, Y= -55, Z= -245 | 
[2023-07-07 09:14:02] [world] The Player <wqe123420> has picked 5 of COBBLED_DEEPSLATE at X= -38, Y= -55, Z= -245 | 
[2023-07-07 09:14:04] [world] The Player <wqe123420> has picked 10 of COBBLED_DEEPSLATE at X= -36, Y= -55, Z= -244 | 
[2023-07-07 09:14:06] [world] The Player <wqe123420> has picked 3 of COBBLED_DEEPSLATE at X= -36, Y= -55, Z= -244 | 
[2023-07-07 09:14:10] [world] The Player <wqe123420> has picked 1 of COBBLED_DEEPSLATE at X= -39, Y= -55, Z= -246 | 
[2023-07-07 09:14:14] [world] The Player <Xw114> has picked 32 of COBBLED_DEEPSLATE at X= -31, Y= -56, Z= -247 | 
[2023-07-07 09:14:25] [world] The Player <wqe123420> has picked 1 of COBBLED_DEEPSLATE at X= -34, Y= -55, Z= -245 | 
[2023-07-07 09:14:25] [world] The Player <wqe123420> has picked 1 of COBBLED_DEEPSLATE at X= -35, Y= -55, Z= -247 | 
[2023-07-07 09:14:26] [world] The Player <wqe123420> has picked 1 of COBBLED_DEEPSLATE at X= -36, Y= -55, Z= -246 | 
[2023-07-07 09:14:27] [world] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= -36, Y= -55, Z= -246 | 
[2023-07-07 09:14:30] [world] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= -38, Y= -55, Z= -245 | 
[2023-07-07 09:14:31] [world] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= -39, Y= -55, Z= -246 | 
[2023-07-07 09:14:50] [world] The Player <Xw114> has picked 1 of COBBLED_DEEPSLATE at X= -20, Y= -54, Z= -243 | 
[2023-07-07 09:14:51] [world] The Player <Xw114> has picked 1 of COBBLED_DEEPSLATE at X= -20, Y= -54, Z= -244 | 
[2023-07-07 09:14:51] [world] The Player <Xw114> has picked 1 of COBBLED_DEEPSLATE at X= -20, Y= -55, Z= -244 | 
[2023-07-07 09:14:52] [world] The Player <Xw114> has picked 1 of COBBLED_DEEPSLATE at X= -21, Y= -55, Z= -243 | 
[2023-07-07 09:14:53] [world] The Player <Xw114> has picked 3 of COBBLED_DEEPSLATE at X= -21, Y= -55, Z= -245 | 
[2023-07-07 09:14:54] [world] The Player <Xw114> has picked 1 of COBBLED_DEEPSLATE at X= -20, Y= -55, Z= -246 | 
[2023-07-07 09:14:55] [world] The Player <Xw114> has picked 1 of COBBLED_DEEPSLATE at X= -20, Y= -55, Z= -247 | 
[2023-07-07 09:14:55] [world] The Player <Xw114> has picked 1 of COBBLED_DEEPSLATE at X= -20, Y= -55, Z= -248 | 
[2023-07-07 09:14:56] [world] The Player <Xw114> has picked 1 of COBBLED_DEEPSLATE at X= -20, Y= -55, Z= -249 | 
[2023-07-07 09:15:28] [world] The Player <Xw114> has picked 9 of COBBLED_DEEPSLATE at X= -39, Y= -59, Z= -247 | 
[2023-07-07 09:15:30] [world] The Player <wqe123420> has picked 1 of TNT at X= -32, Y= -55, Z= -250 | 
[2023-07-07 09:15:30] [world] The Player <Xw114> has picked 1 of COBBLED_DEEPSLATE at X= -41, Y= -61, Z= -248 | 
[2023-07-07 09:15:30] [world] The Player <Xw114> has picked 1 of COBBLED_DEEPSLATE at X= -42, Y= -60, Z= -248 | 
[2023-07-07 09:15:31] [world] The Player <Xw114> has picked 1 of COBBLED_DEEPSLATE at X= -41, Y= -60, Z= -247 | 
[2023-07-07 09:15:32] [world] The Player <Xw114> has picked 1 of COBBLED_DEEPSLATE at X= -40, Y= -60, Z= -246 | 
[2023-07-07 09:15:33] [world] The Player <Xw114> has picked 1 of COBBLED_DEEPSLATE at X= -41, Y= -59, Z= -246 | 
[2023-07-07 09:15:35] [world] The Player <wqe123420> has picked 1 of TNT at X= -33, Y= -54, Z= -246 | 
[2023-07-07 09:15:36] [world] The Player <Xw114> has picked 6 of COBBLED_DEEPSLATE at X= -40, Y= -60, Z= -245 | 
[2023-07-07 09:15:36] [world] The Player <wqe123420> has picked 1 of COBBLESTONE_SLAB at X= -32, Y= -53, Z= -246 | 
[2023-07-07 09:15:37] [world] The Player <wqe123420> has picked 2 of SLIME_BLOCK at X= -32, Y= -55, Z= -247 | 
[2023-07-07 09:15:42] [world] The Player <Xw114> has picked 1 of COBBLED_DEEPSLATE at X= -24, Y= -55, Z= -243 | 
[2023-07-07 09:15:42] [world] The Player <Xw114> has picked 2 of COBBLED_DEEPSLATE at X= -23, Y= -55, Z= -243 | 
[2023-07-07 09:15:43] [world] The Player <Xw114> has picked 1 of COBBLED_DEEPSLATE at X= -25, Y= -54, Z= -242 | 
[2023-07-07 09:15:44] [world] The Player <wqe123420> has picked 1 of COBBLED_DEEPSLATE at X= -31, Y= -55, Z= -246 | 
[2023-07-07 09:15:44] [world] The Player <Xw114> has picked 1 of COBBLED_DEEPSLATE at X= -26, Y= -55, Z= -242 | 
[2023-07-07 09:15:44] [world] The Player <Xw114> has picked 1 of COBBLED_DEEPSLATE at X= -26, Y= -55, Z= -242 | 
[2023-07-07 09:15:44] [world] The Player <wqe123420> has picked 1 of HOPPER_MINECART at X= -31, Y= -55, Z= -247 | 
[2023-07-07 09:15:44] [world] The Player <wqe123420> has picked 1 of SLIME_BLOCK at X= -31, Y= -55, Z= -246 | 
[2023-07-07 09:15:44] [world] The Player <Xw114> has picked 1 of COBBLED_DEEPSLATE at X= -26, Y= -55, Z= -242 | 
[2023-07-07 09:15:45] [world] The Player <Xw114> has picked 1 of COBBLED_DEEPSLATE at X= -27, Y= -55, Z= -242 | 
[2023-07-07 09:15:45] [world] The Player <wqe123420> has picked 1 of COBBLESTONE_SLAB at X= -33, Y= -55, Z= -247 | 
[2023-07-07 09:15:46] [world] The Player <wqe123420> has picked 1 of COBBLESTONE_WALL at X= -33, Y= -55, Z= -245 | 
[2023-07-07 09:15:46] [world] The Player <Xw114> has picked 1 of COBBLED_DEEPSLATE at X= -28, Y= -55, Z= -243 | 
[2023-07-07 09:15:46] [world] The Player <Xw114> has picked 1 of COBBLED_DEEPSLATE at X= -28, Y= -55, Z= -243 | 
[2023-07-07 09:15:46] [world] The Player <Xw114> has picked 1 of COBBLED_DEEPSLATE at X= -28, Y= -55, Z= -242 | 
[2023-07-07 09:15:47] [world] The Player <Xw114> has picked 1 of COBBLED_DEEPSLATE at X= -30, Y= -54, Z= -242 | 
[2023-07-07 09:15:48] [world] The Player <Xw114> has picked 1 of COBBLED_DEEPSLATE at X= -31, Y= -55, Z= -242 | 
[2023-07-07 09:15:48] [world] The Player <Xw114> has picked 1 of COBBLED_DEEPSLATE at X= -30, Y= -55, Z= -242 | 
[2023-07-07 09:15:48] [world] The Player <Xw114> has picked 1 of COBBLED_DEEPSLATE at X= -32, Y= -55, Z= -243 | 
