[2023-07-22 12:58:00] [world] The Player <wqe123420> has picked 2 of DIAMOND at X= -77, Y= -53, Z= -201 | 
[2023-07-22 13:06:28] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= 5, Y= 98, Z= -41 | 
[2023-07-22 13:06:30] [world_nether] The Player <Funget114514> has picked 17 of NETHERRACK at X= 5, Y= 95, Z= -46 | 
[2023-07-22 13:06:30] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= 6, Y= 96, Z= -45 | 
[2023-07-22 13:06:31] [world_nether] The Player <Funget114514> has picked 7 of NETHERRACK at X= 6, Y= 96, Z= -46 | 
[2023-07-22 13:06:33] [world_nether] The Player <Funget114514> has picked 19 of NETHERRACK at X= 5, Y= 96, Z= -47 | 
[2023-07-22 13:06:33] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= 5, Y= 96, Z= -50 | 
[2023-07-22 13:06:35] [world_nether] The Player <Funget114514> has picked 7 of NETHERRACK at X= 5, Y= 96, Z= -53 | 
[2023-07-22 13:06:36] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= 5, Y= 96, Z= -54 | 
[2023-07-22 13:06:46] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= 2, Y= 96, Z= -59 | 
[2023-07-22 13:06:46] [world_nether] The Player <Funget114514> has picked 41 of NETHERRACK at X= 1, Y= 94, Z= -60 | 
[2023-07-22 13:07:12] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= -33, Y= 58, Z= -45 | 
[2023-07-22 13:07:23] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= -55, Y= 64, Z= -48 | 
[2023-07-22 13:07:26] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= -54, Y= 64, Z= -48 | 
[2023-07-22 13:07:26] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= -54, Y= 63, Z= -49 | 
[2023-07-22 13:07:31] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= -51, Y= 63, Z= -49 | 
[2023-07-22 13:07:33] [world_nether] The Player <Funget114514> has picked 19 of GOLD_NUGGET at X= -51, Y= 63, Z= -49 | 
[2023-07-22 13:07:45] [world_nether] The Player <Funget114514> has picked 4 of GOLD_NUGGET at X= -47, Y= 68, Z= -41 | 
[2023-07-22 13:07:46] [world_nether] The Player <Funget114514> has picked 6 of GOLD_NUGGET at X= -47, Y= 68, Z= -41 | 
[2023-07-22 13:07:55] [world_nether] The Player <Funget114514> has picked 5 of NETHERRACK at X= -49, Y= 60, Z= -41 | 
[2023-07-22 13:07:56] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= -49, Y= 60, Z= -41 | 
[2023-07-22 13:08:21] [world_nether] The Player <Funget114514> has picked 3 of ARROW at X= 150, Y= 33, Z= -550 | 
[2023-07-22 13:08:46] [world_nether] The Player <Funget114514> has picked 7 of GOLD_NUGGET at X= 137, Y= 58, Z= -568 | 
[2023-07-22 13:08:49] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= 136, Y= 57, Z= -569 | 
[2023-07-22 13:09:04] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= 121, Y= 66, Z= -579 | 
[2023-07-22 13:09:04] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= 121, Y= 66, Z= -579 | 
[2023-07-22 13:09:05] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= 120, Y= 66, Z= -579 | 
[2023-07-22 13:09:06] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= 121, Y= 66, Z= -580 | 
[2023-07-22 13:09:08] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= 120, Y= 66, Z= -581 | 
[2023-07-22 13:09:08] [world_nether] The Player <Funget114514> has picked 2 of NETHER_GOLD_ORE at X= 121, Y= 66, Z= -581 | 
[2023-07-22 13:09:08] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= 120, Y= 66, Z= -581 | 
[2023-07-22 13:09:08] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= 120, Y= 65, Z= -580 | 
[2023-07-22 13:09:10] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= 120, Y= 64, Z= -580 | 
[2023-07-22 13:09:11] [world_nether] The Player <Funget114514> has picked 10 of NETHERRACK at X= 119, Y= 63, Z= -580 | 
[2023-07-22 13:09:11] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= 119, Y= 64, Z= -581 | 
[2023-07-22 13:09:31] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= 119, Y= 63, Z= -580 | 
[2023-07-22 13:09:36] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= 120, Y= 63, Z= -580 | 
[2023-07-22 13:09:37] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= 121, Y= 64, Z= -580 | 
[2023-07-22 13:09:37] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= 120, Y= 63, Z= -580 | 
[2023-07-22 13:09:37] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= 122, Y= 63, Z= -580 | 
[2023-07-22 13:09:38] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= 121, Y= 63, Z= -580 | 
[2023-07-22 13:09:38] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= 121, Y= 63, Z= -581 | 
[2023-07-22 13:09:40] [world_nether] The Player <Funget114514> has picked 2 of NETHER_GOLD_ORE at X= 122, Y= 63, Z= -580 | 
[2023-07-22 13:09:40] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= 122, Y= 63, Z= -581 | 
[2023-07-22 13:09:40] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= 122, Y= 62, Z= -581 | 
[2023-07-22 13:09:42] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= 122, Y= 64, Z= -581 | 
[2023-07-22 13:09:43] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= 123, Y= 62, Z= -581 | 
[2023-07-22 13:09:43] [world_nether] The Player <Funget114514> has picked 2 of NETHERRACK at X= 123, Y= 62, Z= -581 | 
[2023-07-22 13:09:44] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= -74, Y= 11, Z= -112 | 
[2023-07-22 13:09:47] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= -74, Y= 13, Z= -114 | 
[2023-07-22 13:09:49] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= -74, Y= 13, Z= -114 | 
[2023-07-22 13:10:00] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= 116, Y= 63, Z= -580 | 
[2023-07-22 13:10:01] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= 116, Y= 62, Z= -580 | 
[2023-07-22 13:10:01] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= 115, Y= 62, Z= -580 | 
[2023-07-22 13:10:01] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= 115, Y= 61, Z= -580 | 
[2023-07-22 13:10:01] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= 114, Y= 61, Z= -580 | 
[2023-07-22 13:10:29] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= -96, Y= 17, Z= -109 | 
[2023-07-22 13:10:31] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= -96, Y= 18, Z= -109 | 
[2023-07-22 13:11:57] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= -11, Y= 23, Z= -129 | 
[2023-07-22 13:12:14] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= 114, Y= 63, Z= -582 | 
[2023-07-22 13:12:14] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= -7, Y= 11, Z= -121 | 
[2023-07-22 13:12:14] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= -7, Y= 11, Z= -121 | 
[2023-07-22 13:12:14] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= 115, Y= 63, Z= -582 | 
[2023-07-22 13:12:15] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= 114, Y= 63, Z= -582 | 
[2023-07-22 13:12:16] [world_nether] The Player <Funget114514> has picked 2 of NETHER_GOLD_ORE at X= 115, Y= 63, Z= -582 | 
[2023-07-22 13:12:16] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= 115, Y= 63, Z= -583 | 
[2023-07-22 13:12:17] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= 114, Y= 63, Z= -583 | 
[2023-07-22 13:12:17] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= 115, Y= 64, Z= -583 | 
[2023-07-22 13:12:29] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= 10, Y= 14, Z= -123 | 
[2023-07-22 13:12:43] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= 125, Y= 61, Z= -579 | 
[2023-07-22 13:12:44] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= 124, Y= 61, Z= -579 | 
[2023-07-22 13:12:50] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= 10, Y= 25, Z= -132 | 
[2023-07-22 13:12:52] [world_nether] The Player <wqe123420> has picked 2 of ANCIENT_DEBRIS at X= 10, Y= 24, Z= -131 | 
[2023-07-22 13:13:01] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= 130, Y= 61, Z= -573 | 
[2023-07-22 13:13:13] [world_nether] The Player <wqe123420> has picked 2 of ANCIENT_DEBRIS at X= 19, Y= 24, Z= -139 | 
[2023-07-22 13:13:16] [world_nether] The Player <wqe123420> has picked 2 of ANCIENT_DEBRIS at X= 20, Y= 23, Z= -139 | 
[2023-07-22 13:13:30] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= 132, Y= 59, Z= -575 | 
[2023-07-22 13:13:30] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= 20, Y= 21, Z= -149 | 
[2023-07-22 13:13:30] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= 132, Y= 59, Z= -575 | 
[2023-07-22 13:13:34] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= 20, Y= 20, Z= -150 | 
[2023-07-22 13:13:41] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= 22, Y= 21, Z= -149 | 
[2023-07-22 13:13:55] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= 133, Y= 60, Z= -576 | 
[2023-07-22 13:13:55] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= 133, Y= 59, Z= -576 | 
[2023-07-22 13:13:59] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= 14, Y= 17, Z= -162 | 
[2023-07-22 13:14:00] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= 14, Y= 15, Z= -162 | 
[2023-07-22 13:14:10] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= 8, Y= 8, Z= -161 | 
[2023-07-22 13:14:24] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= 133, Y= 59, Z= -634 | 
[2023-07-22 13:14:32] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= 126, Y= 58, Z= -636 | 
[2023-07-22 13:14:32] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= 126, Y= 59, Z= -636 | 
[2023-07-22 13:14:33] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= 35, Y= 10, Z= -169 | 
[2023-07-22 13:14:33] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= 35, Y= 10, Z= -169 | 
[2023-07-22 13:14:35] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= 35, Y= 11, Z= -169 | 
[2023-07-22 13:14:41] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= 37, Y= 11, Z= -166 | 
[2023-07-22 13:14:43] [world_nether] The Player <wqe123420> has picked 2 of ANCIENT_DEBRIS at X= 38, Y= 11, Z= -166 | 
[2023-07-22 13:14:47] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= 39, Y= 11, Z= -166 | 
[2023-07-22 13:15:02] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= 37, Y= 13, Z= -177 | 
[2023-07-22 13:15:11] [world_nether] The Player <Funget114514> has picked 2 of NETHERRACK at X= 124, Y= 38, Z= -649 | 
[2023-07-22 13:15:12] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= 31, Y= 11, Z= -185 | 
[2023-07-22 13:15:14] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= 29, Y= 11, Z= -186 | 
[2023-07-22 13:15:51] [world_nether] The Player <Funget114514> has picked 5 of GOLD_NUGGET at X= 110, Y= 39, Z= -695 | 
[2023-07-22 13:15:52] [world_nether] The Player <Funget114514> has picked 8 of GOLD_NUGGET at X= 109, Y= 40, Z= -696 | 
[2023-07-22 13:15:54] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= 24, Y= 15, Z= -204 | 
[2023-07-22 13:16:07] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= 90, Y= 47, Z= -678 | 
[2023-07-22 13:16:08] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= 91, Y= 46, Z= -678 | 
[2023-07-22 13:16:08] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= 91, Y= 45, Z= -678 | 
[2023-07-22 13:16:09] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= 91, Y= 44, Z= -678 | 
[2023-07-22 13:16:09] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= 91, Y= 43, Z= -678 | 
[2023-07-22 13:16:09] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= 91, Y= 43, Z= -678 | 
[2023-07-22 13:16:09] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= 92, Y= 45, Z= -678 | 
[2023-07-22 13:16:10] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= 91, Y= 45, Z= -678 | 
[2023-07-22 13:16:11] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= 91, Y= 45, Z= -677 | 
[2023-07-22 13:16:11] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= 92, Y= 45, Z= -677 | 
[2023-07-22 13:16:12] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= 92, Y= 45, Z= -678 | 
[2023-07-22 13:16:12] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= 93, Y= 46, Z= -677 | 
[2023-07-22 13:16:13] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= 92, Y= 46, Z= -678 | 
[2023-07-22 13:16:23] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= 89, Y= 48, Z= -676 | 
[2023-07-22 13:16:23] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= 89, Y= 48, Z= -675 | 
[2023-07-22 13:16:24] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= -6, Y= 13, Z= -232 | 
[2023-07-22 13:16:24] [world_nether] The Player <Funget114514> has picked 2 of NETHER_GOLD_ORE at X= 89, Y= 47, Z= -675 | 
[2023-07-22 13:16:25] [world_nether] The Player <Funget114514> has picked 2 of NETHER_GOLD_ORE at X= 88, Y= 46, Z= -675 | 
[2023-07-22 13:16:28] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= 86, Y= 42, Z= -675 | 
[2023-07-22 13:16:28] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= 85, Y= 42, Z= -675 | 
[2023-07-22 13:16:29] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= 85, Y= 41, Z= -675 | 
[2023-07-22 13:16:30] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= 86, Y= 41, Z= -675 | 
[2023-07-22 13:16:31] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= 86, Y= 42, Z= -674 | 
[2023-07-22 13:16:31] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= 86, Y= 41, Z= -674 | 
[2023-07-22 13:16:31] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= 85, Y= 41, Z= -674 | 
[2023-07-22 13:16:32] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= 85, Y= 42, Z= -673 | 
[2023-07-22 13:16:33] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= 87, Y= 42, Z= -673 | 
[2023-07-22 13:16:33] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= 87, Y= 41, Z= -674 | 
[2023-07-22 13:16:37] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= -15, Y= 14, Z= -260 | 
[2023-07-22 13:17:00] [world_nether] The Player <wqe123420> has picked 1 of NETHERRACK at X= -11, Y= 11, Z= -276 | 
[2023-07-22 13:17:05] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= -10, Y= 13, Z= -276 | 
[2023-07-22 13:17:07] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= -11, Y= 13, Z= -277 | 
[2023-07-22 13:17:24] [world_nether] The Player <wqe123420> has picked 1 of NETHERRACK at X= -15, Y= 11, Z= -298 | 
[2023-07-22 13:17:24] [world_nether] The Player <wqe123420> has picked 1 of NETHERRACK at X= -16, Y= 12, Z= -298 | 
[2023-07-22 13:17:31] [world_nether] The Player <wqe123420> has picked 1 of BONE at X= -16, Y= 11, Z= -308 | 
[2023-07-22 13:17:38] [world_nether] The Player <wqe123420> has picked 1 of FLINT at X= -21, Y= 11, Z= -309 | 
[2023-07-22 13:17:39] [world_nether] The Player <wqe123420> has picked 11 of GRAVEL at X= -21, Y= 11, Z= -309 | 
[2023-07-22 13:17:45] [world_nether] The Player <wqe123420> has picked 1 of NETHERITE_SHOVEL at X= -21, Y= 11, Z= -309 | 
[2023-07-22 13:17:45] [world_nether] The Player <wqe123420> has picked 1 of FLINT at X= -21, Y= 11, Z= -309 | 
[2023-07-22 13:17:47] [world_nether] The Player <wqe123420> has picked 1 of NETHERITE_SHOVEL at X= -21, Y= 11, Z= -309 | 
[2023-07-22 13:18:12] [world_nether] The Player <wqe123420> has picked 1 of GRAVEL at X= -22, Y= 12, Z= -309 | 
[2023-07-22 13:18:25] [world_nether] The Player <wqe123420> has picked 1 of NETHERITE_SWORD at X= -22, Y= 12, Z= -309 | 
[2023-07-22 13:18:57] [world_nether] The Player <wqe123420> has picked 2 of ANCIENT_DEBRIS at X= -32, Y= 15, Z= -310 | 
[2023-07-22 13:19:13] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= -46, Y= 8, Z= -304 | 
[2023-07-22 13:19:15] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= -45, Y= 8, Z= -303 | 
[2023-07-22 13:19:17] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= -46, Y= 8, Z= -304 | 
[2023-07-22 13:19:30] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= -41, Y= 14, Z= -318 | 
[2023-07-22 13:19:37] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= -45, Y= 14, Z= -326 | 
[2023-07-22 13:19:47] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= -61, Y= 13, Z= -329 | 
[2023-07-22 13:19:53] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= -62, Y= 13, Z= -330 | 
[2023-07-22 13:20:44] [world] The Player <Funget114514> has picked 1 of STRING at X= -12, Y= 70, Z= -256 | 
[2023-07-22 13:21:58] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= -55, Y= 14, Z= -292 | 
[2023-07-22 13:22:00] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= -55, Y= 13, Z= -290 | 
[2023-07-22 13:22:16] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= -56, Y= 15, Z= -278 | 
[2023-07-22 13:22:18] [world_nether] The Player <wqe123420> has picked 40 of NETHERRACK at X= -56, Y= 13, Z= -278 | 
[2023-07-22 13:22:18] [world_nether] The Player <wqe123420> has picked 1 of NETHERRACK at X= -56, Y= 13, Z= -278 | 
[2023-07-22 13:22:21] [world_nether] The Player <wqe123420> has picked 64 of NETHERRACK at X= -56, Y= 13, Z= -278 | 
[2023-07-22 13:22:27] [world_nether] The Player <wqe123420> has picked 48 of NETHERRACK at X= -55, Y= 13, Z= -278 | 
[2023-07-22 13:22:28] [world_nether] The Player <wqe123420> has picked 2 of ANCIENT_DEBRIS at X= -54, Y= 14, Z= -278 | 
[2023-07-22 13:22:36] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= -56, Y= 11, Z= -269 | 
[2023-07-22 13:22:43] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= -56, Y= 12, Z= -258 | 
[2023-07-22 13:22:45] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= -56, Y= 13, Z= -258 | 
[2023-07-22 13:22:55] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= -78, Y= 14, Z= -258 | 
[2023-07-22 13:22:57] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= -77, Y= 14, Z= -258 | 
[2023-07-22 13:23:05] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= -87, Y= 9, Z= -263 | 
[2023-07-22 13:23:09] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= -88, Y= 8, Z= -263 | 
[2023-07-22 13:23:09] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= -88, Y= 8, Z= -264 | 
[2023-07-22 13:23:19] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= -96, Y= 7, Z= -276 | 
[2023-07-22 13:23:35] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= -87, Y= 17, Z= -285 | 
[2023-07-22 13:23:39] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= -88, Y= 14, Z= -290 | 
