[2023-08-08 14:15:56] [world] The Player <Funget114514> has picked 15 of OAK_LOG at X= -86, Y= 65, Z= -137 | 
[2023-08-09 09:59:30] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= -20, Y= 114, Z= -22 | 
[2023-08-09 09:59:36] [world_nether] The Player <Funget114514> has picked 16 of NETHERRACK at X= -22, Y= 113, Z= -22 | 
[2023-08-09 09:59:40] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= -23, Y= 112, Z= -22 | 
[2023-08-09 09:59:42] [world_nether] The Player <Funget114514> has picked 12 of NETHERRACK at X= -25, Y= 109, Z= -22 | 
[2023-08-09 09:59:45] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= -25, Y= 108, Z= -22 | 
[2023-08-09 09:59:45] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= -26, Y= 108, Z= -22 | 
[2023-08-09 09:59:46] [world_nether] The Player <Funget114514> has picked 4 of NETHERRACK at X= -26, Y= 107, Z= -22 | 
[2023-08-09 09:59:54] [world_nether] The Player <Funget114514> has picked 10 of NETHERRACK at X= -28, Y= 103, Z= -26 | 
[2023-08-09 09:59:55] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= -30, Y= 104, Z= -29 | 
[2023-08-09 09:59:55] [world_nether] The Player <Funget114514> has picked 24 of NETHERRACK at X= -30, Y= 102, Z= -29 | 
[2023-08-09 09:59:56] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= -31, Y= 101, Z= -31 | 
[2023-08-09 10:00:22] [world_nether] The Player <Funget114514> has picked 8 of NETHERRACK at X= -32, Y= 101, Z= -32 | 
[2023-08-09 10:00:25] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= -35, Y= 98, Z= -33 | 
[2023-08-09 10:00:25] [world_nether] The Player <Funget114514> has picked 11 of NETHERRACK at X= -35, Y= 98, Z= -33 | 
[2023-08-09 10:00:25] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= -36, Y= 98, Z= -33 | 
[2023-08-09 10:00:27] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= -35, Y= 97, Z= -33 | 
[2023-08-09 10:00:27] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= -35, Y= 97, Z= -33 | 
[2023-08-09 10:00:28] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= -36, Y= 98, Z= -32 | 
[2023-08-09 10:00:29] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= -35, Y= 97, Z= -32 | 
[2023-08-09 10:00:31] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= -36, Y= 98, Z= -34 | 
[2023-08-09 10:00:31] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= -36, Y= 98, Z= -34 | 
[2023-08-09 10:00:31] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= -36, Y= 97, Z= -34 | 
[2023-08-09 10:00:32] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= -37, Y= 97, Z= -34 | 
[2023-08-09 10:00:32] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= -39, Y= 98, Z= -35 | 
[2023-08-09 10:00:32] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= -39, Y= 97, Z= -35 | 
[2023-08-09 10:00:32] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= -40, Y= 97, Z= -35 | 
[2023-08-09 10:00:33] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= -40, Y= 98, Z= -36 | 
[2023-08-09 10:00:33] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= -41, Y= 98, Z= -36 | 
[2023-08-09 10:00:33] [world_nether] The Player <Funget114514> has picked 8 of NETHERRACK at X= -41, Y= 98, Z= -36 | 
[2023-08-09 10:00:33] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= -41, Y= 97, Z= -37 | 
[2023-08-09 10:02:33] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= 2, Y= 104, Z= -23 | 
[2023-08-09 10:02:33] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= 1, Y= 102, Z= -22 | 
[2023-08-09 10:02:34] [world_nether] The Player <Funget114514> has picked 3 of NETHERRACK at X= 1, Y= 101, Z= -22 | 
[2023-08-09 10:02:35] [world_nether] The Player <Funget114514> has picked 14 of NETHERRACK at X= -4, Y= 99, Z= -22 | 
[2023-08-09 10:02:36] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= -6, Y= 100, Z= -22 | 
[2023-08-09 10:02:36] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= -7, Y= 99, Z= -22 | 
[2023-08-09 10:02:37] [world_nether] The Player <Funget114514> has picked 7 of NETHERRACK at X= -9, Y= 98, Z= -22 | 
[2023-08-09 10:02:37] [world_nether] The Player <Funget114514> has picked 6 of NETHERRACK at X= -11, Y= 98, Z= -22 | 
[2023-08-09 10:02:38] [world_nether] The Player <Funget114514> has picked 6 of NETHERRACK at X= -16, Y= 99, Z= -22 | 
[2023-08-09 10:02:39] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= -18, Y= 98, Z= -22 | 
[2023-08-09 10:02:39] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= -18, Y= 98, Z= -22 | 
[2023-08-09 10:02:39] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= -15, Y= 98, Z= -22 | 
[2023-08-09 10:02:39] [world_nether] The Player <Funget114514> has picked 4 of NETHERRACK at X= -20, Y= 98, Z= -22 | 
[2023-08-09 10:02:40] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= -18, Y= 98, Z= -22 | 
[2023-08-09 10:02:41] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= -22, Y= 98, Z= -22 | 
[2023-08-09 10:02:41] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= -25, Y= 98, Z= -22 | 
[2023-08-09 10:02:41] [world_nether] The Player <Funget114514> has picked 11 of NETHERRACK at X= -26, Y= 98, Z= -22 | 
[2023-08-09 10:02:42] [world_nether] The Player <Funget114514> has picked 2 of NETHERRACK at X= -28, Y= 98, Z= -22 | 
[2023-08-09 10:02:43] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= -29, Y= 100, Z= -22 | 
[2023-08-09 10:02:44] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= -30, Y= 100, Z= -21 | 
[2023-08-09 10:02:44] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= -30, Y= 101, Z= -22 | 
[2023-08-09 10:02:44] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= -30, Y= 100, Z= -22 | 
[2023-08-09 10:02:45] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= -30, Y= 101, Z= -22 | 
[2023-08-09 10:02:46] [world_nether] The Player <Funget114514> has picked 2 of NETHER_GOLD_ORE at X= -31, Y= 100, Z= -21 | 
[2023-08-09 10:02:48] [world_nether] The Player <Funget114514> has picked 1 of NETHER_GOLD_ORE at X= -28, Y= 102, Z= -21 | 
[2023-08-09 10:02:48] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= -29, Y= 102, Z= -20 | 
[2023-08-09 10:03:23] [world] The Player <Funget114514> has picked 64 of NETHERRACK at X= -23, Y= 64, Z= -289 | 
