[2023-07-23 14:47:40] [world_nether] The Player <Enderlava> has picked 1 of OAK_BOAT at X= 167, Y= 128, Z= 122 | 
[2023-07-23 14:53:24] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -4, Y= 57, Z= -1 | 
[2023-07-23 14:53:33] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -5, Y= 56, Z= -4 | 
[2023-07-23 14:53:35] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -5, Y= 55, Z= -5 | 
[2023-07-23 14:53:35] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -5, Y= 55, Z= -5 | 
[2023-07-23 14:53:40] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -5, Y= 56, Z= -4 | 
[2023-07-23 14:53:40] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -4, Y= 55, Z= -3 | 
[2023-07-23 14:53:40] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -5, Y= 55, Z= -2 | 
[2023-07-23 14:53:43] [world_the_end] The Player <Enderlava> has picked 3 of END_STONE at X= -5, Y= 55, Z= -1 | 
[2023-07-23 14:53:49] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -5, Y= 55, Z= -1 | 
[2023-07-23 14:53:51] [world_the_end] The Player <Enderlava> has picked 25 of END_STONE at X= -5, Y= 55, Z= 1 | 
[2023-07-23 14:53:51] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -5, Y= 57, Z= 1 | 
[2023-07-23 14:53:51] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -4, Y= 57, Z= 0 | 
[2023-07-23 14:53:54] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -4, Y= 58, Z= 2 | 
[2023-07-23 14:53:55] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -3, Y= 58, Z= 2 | 
[2023-07-23 14:53:55] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -2, Y= 58, Z= 2 | 
[2023-07-23 14:53:56] [world_the_end] The Player <Enderlava> has picked 2 of END_STONE at X= -3, Y= 55, Z= 1 | 
[2023-07-23 14:53:59] [world_the_end] The Player <Enderlava> has picked 2 of END_STONE at X= -2, Y= 58, Z= 2 | 
[2023-07-23 14:54:01] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 1, Y= 58, Z= 2 | 
[2023-07-23 14:54:02] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 3, Y= 58, Z= 1 | 
[2023-07-23 14:54:04] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 2, Y= 59, Z= 0 | 
[2023-07-23 14:54:06] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 5, Y= 60, Z= 1 | 
[2023-07-23 14:54:07] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 5, Y= 60, Z= 1 | 
[2023-07-23 14:54:09] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 2, Y= 58, Z= 3 | 
[2023-07-23 14:54:53] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -11, Y= 62, Z= 2 | 
[2023-07-23 14:54:54] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -12, Y= 62, Z= 2 | 
[2023-07-23 14:54:54] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -12, Y= 62, Z= 3 | 
[2023-07-23 14:54:55] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -10, Y= 62, Z= 3 | 
[2023-07-23 14:54:56] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -12, Y= 62, Z= 4 | 
[2023-07-23 14:54:56] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -13, Y= 62, Z= 5 | 
[2023-07-23 14:54:57] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -12, Y= 62, Z= 5 | 
[2023-07-23 14:54:57] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -13, Y= 62, Z= 6 | 
[2023-07-23 14:54:58] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -13, Y= 62, Z= 8 | 
[2023-07-23 14:54:58] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -12, Y= 62, Z= 9 | 
[2023-07-23 14:54:59] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -12, Y= 62, Z= 9 | 
[2023-07-23 14:55:00] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -13, Y= 62, Z= 10 | 
[2023-07-23 14:55:58] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -5, Y= 65, Z= 9 | 
[2023-07-23 14:56:00] [world_the_end] The Player <Enderlava> has picked 2 of END_STONE at X= -4, Y= 63, Z= 10 | 
[2023-07-23 14:56:01] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -5, Y= 63, Z= 9 | 
[2023-07-23 14:56:04] [world_the_end] The Player <Enderlava> has picked 2 of END_STONE at X= -6, Y= 64, Z= 10 | 
[2023-07-23 14:56:04] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -6, Y= 65, Z= 9 | 
[2023-07-23 14:56:05] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -6, Y= 63, Z= 11 | 
[2023-07-23 14:56:08] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -7, Y= 62, Z= 3 | 
[2023-07-23 14:56:09] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -8, Y= 62, Z= 3 | 
[2023-07-23 14:56:09] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -7, Y= 62, Z= 4 | 
[2023-07-23 14:56:11] [world_the_end] The Player <Enderlava> has picked 3 of END_STONE at X= -10, Y= 62, Z= 5 | 
[2023-07-23 14:56:11] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -11, Y= 62, Z= 5 | 
[2023-07-23 14:56:14] [world_the_end] The Player <Enderlava> has picked 5 of END_STONE at X= -10, Y= 62, Z= 8 | 
[2023-07-23 14:56:15] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -11, Y= 62, Z= 10 | 
[2023-07-23 14:56:19] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -1, Y= 62, Z= 8 | 
[2023-07-23 14:56:20] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -2, Y= 62, Z= 7 | 
[2023-07-23 14:56:20] [world_the_end] The Player <Enderlava> has picked 2 of END_STONE at X= -2, Y= 62, Z= 6 | 
[2023-07-23 14:56:21] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -3, Y= 62, Z= 6 | 
[2023-07-23 14:56:22] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -5, Y= 62, Z= 6 | 
[2023-07-23 14:56:56] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 4, Y= 62, Z= -10 | 
[2023-07-23 14:57:01] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 7, Y= 62, Z= -7 | 
[2023-07-23 14:57:16] [world_the_end] The Player <Enderlava> has picked 5 of END_STONE at X= 0, Y= 55, Z= 1 | 
[2023-07-23 14:57:20] [world_the_end] The Player <Enderlava> has picked 1 of OBSERVER at X= 1, Y= 56, Z= -1 | 
[2023-07-23 14:57:22] [world_the_end] The Player <Enderlava> has picked 1 of OBSERVER at X= 3, Y= 56, Z= 0 | 
[2023-07-23 14:57:29] [world_the_end] The Player <Enderlava> has picked 1 of OBSERVER at X= 0, Y= 54, Z= 0 | 
[2023-07-23 14:57:36] [world_the_end] The Player <Enderlava> has picked 1 of OBSERVER at X= 0, Y= 55, Z= 0 | 
[2023-07-23 14:57:49] [world_the_end] The Player <Enderlava> has picked 28 of END_STONE at X= 0, Y= 52, Z= 1 | 
[2023-07-23 14:57:57] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -4, Y= 57, Z= 2 | 
[2023-07-23 14:57:57] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -5, Y= 56, Z= 1 | 
[2023-07-23 14:57:57] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -5, Y= 57, Z= 2 | 
[2023-07-23 14:57:59] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -5, Y= 55, Z= 2 | 
[2023-07-23 14:58:00] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -4, Y= 55, Z= 2 | 
[2023-07-23 14:58:00] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -4, Y= 55, Z= 2 | 
[2023-07-23 14:58:01] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -3, Y= 55, Z= 2 | 
[2023-07-23 14:58:01] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -4, Y= 57, Z= 2 | 
[2023-07-23 14:58:02] [world_the_end] The Player <Enderlava> has picked 2 of END_STONE at X= -3, Y= 55, Z= 2 | 
[2023-07-23 14:58:04] [world_the_end] The Player <Enderlava> has picked 4 of END_STONE at X= -2, Y= 55, Z= 1 | 
[2023-07-23 14:58:05] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -1, Y= 57, Z= 2 | 
[2023-07-23 14:58:06] [world_the_end] The Player <Enderlava> has picked 2 of END_STONE at X= 0, Y= 56, Z= 1 | 
[2023-07-23 14:58:06] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 0, Y= 55, Z= 2 | 
[2023-07-23 14:58:06] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 0, Y= 57, Z= 2 | 
[2023-07-23 14:58:07] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 0, Y= 56, Z= 2 | 
[2023-07-23 14:58:08] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 2, Y= 58, Z= 2 | 
[2023-07-23 14:58:09] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 2, Y= 57, Z= 2 | 
[2023-07-23 14:58:10] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 2, Y= 57, Z= 2 | 
[2023-07-23 14:58:16] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 3, Y= 55, Z= 0 | 
[2023-07-23 14:58:16] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 3, Y= 55, Z= -1 | 
[2023-07-23 14:58:17] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 1, Y= 56, Z= 2 | 
[2023-07-23 14:58:23] [world_the_end] The Player <Enderlava> has picked 2 of END_STONE at X= -5, Y= 57, Z= 3 | 
[2023-07-23 14:58:25] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -4, Y= 58, Z= 3 | 
[2023-07-23 14:58:26] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -3, Y= 57, Z= 4 | 
[2023-07-23 14:58:27] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -2, Y= 57, Z= 3 | 
[2023-07-23 14:58:31] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -5, Y= 56, Z= 3 | 
[2023-07-23 14:58:31] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -5, Y= 55, Z= 3 | 
[2023-07-23 14:58:32] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -5, Y= 56, Z= 3 | 
[2023-07-23 14:58:34] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -3, Y= 55, Z= 3 | 
[2023-07-23 14:58:34] [world_the_end] The Player <Enderlava> has picked 13 of END_STONE at X= -3, Y= 55, Z= 2 | 
[2023-07-23 14:58:34] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -2, Y= 55, Z= 3 | 
[2023-07-23 14:58:34] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -2, Y= 55, Z= 3 | 
[2023-07-23 14:58:35] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -2, Y= 55, Z= 3 | 
[2023-07-23 14:58:35] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -2, Y= 56, Z= 2 | 
[2023-07-23 14:58:35] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -1, Y= 56, Z= 3 | 
[2023-07-23 14:58:36] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 0, Y= 55, Z= 3 | 
[2023-07-23 14:58:36] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 0, Y= 56, Z= 3 | 
[2023-07-23 14:58:37] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 1, Y= 55, Z= 3 | 
[2023-07-23 14:58:37] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 1, Y= 55, Z= 2 | 
[2023-07-23 14:58:38] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 2, Y= 55, Z= 2 | 
[2023-07-23 14:58:39] [world_the_end] The Player <Enderlava> has picked 2 of END_STONE at X= 2, Y= 55, Z= 1 | 
[2023-07-23 14:58:42] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 3, Y= 58, Z= 2 | 
[2023-07-23 14:58:43] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 2, Y= 58, Z= 2 | 
[2023-07-23 14:58:44] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 3, Y= 58, Z= 4 | 
[2023-07-23 14:58:44] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 3, Y= 58, Z= 5 | 
[2023-07-23 14:58:44] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 4, Y= 58, Z= 4 | 
[2023-07-23 14:58:45] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 3, Y= 58, Z= 4 | 
[2023-07-23 14:59:06] [world_the_end] The Player <Enderlava> has picked 64 of END_STONE at X= 0, Y= 59, Z= 5 | 
[2023-07-23 14:59:54] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 3, Y= 58, Z= 4 | 
[2023-07-23 14:59:55] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 2, Y= 58, Z= 4 | 
[2023-07-23 14:59:55] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 1, Y= 58, Z= 4 | 
[2023-07-23 14:59:56] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 1, Y= 58, Z= 5 | 
[2023-07-23 14:59:57] [world_the_end] The Player <Enderlava> has picked 2 of END_STONE at X= 1, Y= 58, Z= 5 | 
[2023-07-23 14:59:58] [world_the_end] The Player <Enderlava> has picked 2 of END_STONE at X= -2, Y= 57, Z= 5 | 
[2023-07-23 14:59:59] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -4, Y= 57, Z= 4 | 
[2023-07-23 15:00:00] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -5, Y= 57, Z= 5 | 
[2023-07-23 15:00:00] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -5, Y= 58, Z= 5 | 
[2023-07-23 15:00:01] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -5, Y= 56, Z= 5 | 
[2023-07-23 15:00:01] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -5, Y= 56, Z= 5 | 
[2023-07-23 15:00:02] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -5, Y= 55, Z= 5 | 
[2023-07-23 15:00:02] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -5, Y= 55, Z= 4 | 
[2023-07-23 15:00:03] [world_the_end] The Player <Enderlava> has picked 3 of END_STONE at X= -4, Y= 55, Z= 4 | 
[2023-07-23 15:00:05] [world_the_end] The Player <Enderlava> has picked 25 of END_STONE at X= -3, Y= 55, Z= -3 | 
[2023-07-23 15:00:26] [world_the_end] The Player <Enderlava> has picked 5 of END_STONE at X= 0, Y= 55, Z= 4 | 
[2023-07-23 15:00:27] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 0, Y= 56, Z= 5 | 
[2023-07-23 15:00:31] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 4, Y= 55, Z= 0 | 
[2023-07-23 15:00:32] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 5, Y= 56, Z= 0 | 
[2023-07-23 15:00:33] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 4, Y= 55, Z= 0 | 
[2023-07-23 15:00:34] [world_the_end] The Player <Enderlava> has picked 2 of END_STONE at X= 6, Y= 55, Z= 0 | 
[2023-07-23 15:00:35] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 7, Y= 55, Z= 0 | 
[2023-07-23 15:00:35] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 6, Y= 55, Z= 0 | 
[2023-07-23 15:00:36] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 7, Y= 56, Z= 0 | 
[2023-07-23 15:00:37] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 7, Y= 57, Z= 0 | 
[2023-07-23 15:00:37] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 7, Y= 57, Z= 0 | 
[2023-07-23 15:00:38] [world_the_end] The Player <Enderlava> has picked 2 of END_STONE at X= 7, Y= 56, Z= 0 | 
[2023-07-23 15:00:39] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 7, Y= 57, Z= 1 | 
[2023-07-23 15:00:39] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 7, Y= 57, Z= 1 | 
[2023-07-23 15:00:41] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 7, Y= 57, Z= 0 | 
[2023-07-23 15:00:41] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 7, Y= 59, Z= 1 | 
[2023-07-23 15:00:42] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 7, Y= 59, Z= 1 | 
[2023-07-23 15:00:43] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 7, Y= 59, Z= 2 | 
[2023-07-23 15:00:50] [world_the_end] The Player <Enderlava> has picked 5 of END_STONE at X= 0, Y= 56, Z= 6 | 
[2023-07-23 15:00:52] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 0, Y= 58, Z= 7 | 
[2023-07-23 15:00:53] [world_the_end] The Player <Enderlava> has picked 2 of END_STONE at X= 0, Y= 56, Z= 7 | 
[2023-07-23 15:00:54] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 0, Y= 58, Z= 7 | 
[2023-07-23 15:00:54] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -1, Y= 58, Z= 7 | 
[2023-07-23 15:00:55] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -1, Y= 58, Z= 7 | 
[2023-07-23 15:00:55] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -1, Y= 58, Z= 7 | 
[2023-07-23 15:00:56] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -1, Y= 61, Z= 7 | 
[2023-07-23 15:00:57] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -2, Y= 60, Z= 7 | 
[2023-07-23 15:00:58] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -2, Y= 61, Z= 7 | 
[2023-07-23 15:01:01] [world_the_end] The Player <Enderlava> has picked 1 of SAND at X= -4, Y= 62, Z= 6 | 
[2023-07-23 15:01:03] [world_the_end] The Player <Enderlava> has picked 3 of END_STONE at X= -6, Y= 55, Z= 0 | 
[2023-07-23 15:01:04] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -7, Y= 56, Z= 0 | 
[2023-07-23 15:01:06] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -7, Y= 56, Z= 0 | 
[2023-07-23 15:01:07] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -8, Y= 57, Z= 0 | 
[2023-07-23 15:01:08] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -7, Y= 56, Z= 0 | 
[2023-07-23 15:01:08] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -7, Y= 57, Z= -1 | 
[2023-07-23 15:01:09] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -8, Y= 57, Z= -1 | 
[2023-07-23 15:01:09] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -7, Y= 59, Z= -1 | 
[2023-07-23 15:01:11] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -5, Y= 59, Z= -1 | 
[2023-07-23 15:01:14] [world_the_end] The Player <Enderlava> has picked 4 of END_STONE at X= -7, Y= 60, Z= 2 | 
[2023-07-23 15:01:19] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -3, Y= 61, Z= 6 | 
[2023-07-23 15:01:19] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -3, Y= 61, Z= 7 | 
[2023-07-23 15:01:19] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -2, Y= 61, Z= 7 | 
[2023-07-23 15:01:20] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -1, Y= 61, Z= 6 | 
[2023-07-23 15:01:20] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 0, Y= 61, Z= 7 | 
[2023-07-23 15:01:21] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 1, Y= 61, Z= 6 | 
[2023-07-23 15:01:21] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 2, Y= 61, Z= 7 | 
[2023-07-23 15:01:22] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 3, Y= 61, Z= 7 | 
[2023-07-23 15:01:22] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 1, Y= 61, Z= 6 | 
[2023-07-23 15:01:23] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 3, Y= 61, Z= 7 | 
[2023-07-23 15:01:23] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 3, Y= 61, Z= 6 | 
[2023-07-23 15:01:25] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 6, Y= 61, Z= 7 | 
[2023-07-23 15:01:25] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 6, Y= 61, Z= 6 | 
[2023-07-23 15:01:26] [world_the_end] The Player <Enderlava> has picked 3 of END_STONE at X= 6, Y= 61, Z= 7 | 
[2023-07-23 15:01:27] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 5, Y= 61, Z= 5 | 
[2023-07-23 15:01:28] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 6, Y= 61, Z= 4 | 
[2023-07-23 15:01:28] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 6, Y= 61, Z= 5 | 
[2023-07-23 15:03:06] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 6, Y= 61, Z= 3 | 
[2023-07-23 15:03:06] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 6, Y= 61, Z= 2 | 
[2023-07-23 15:03:10] [world_the_end] The Player <Enderlava> has picked 3 of END_STONE at X= 6, Y= 60, Z= -1 | 
[2023-07-23 15:03:10] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 6, Y= 60, Z= 0 | 
[2023-07-23 15:03:12] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 5, Y= 60, Z= 0 | 
[2023-07-23 15:03:14] [world_the_end] The Player <Enderlava> has picked 3 of END_STONE at X= 4, Y= 59, Z= 1 | 
[2023-07-23 15:03:18] [world_the_end] The Player <Enderlava> has picked 2 of END_STONE at X= 7, Y= 60, Z= 3 | 
[2023-07-23 15:03:19] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 7, Y= 60, Z= 6 | 
[2023-07-23 15:03:19] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 7, Y= 60, Z= 7 | 
[2023-07-23 15:03:20] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 5, Y= 60, Z= 7 | 
[2023-07-23 15:03:20] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 4, Y= 60, Z= 7 | 
[2023-07-23 15:03:21] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 3, Y= 60, Z= 7 | 
[2023-07-23 15:03:22] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 1, Y= 60, Z= 7 | 
[2023-07-23 15:03:22] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 0, Y= 60, Z= 6 | 
[2023-07-23 15:03:23] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 0, Y= 59, Z= 6 | 
[2023-07-23 15:03:24] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 1, Y= 59, Z= 7 | 
[2023-07-23 15:03:24] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 1, Y= 59, Z= 6 | 
[2023-07-23 15:03:26] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 2, Y= 59, Z= 7 | 
[2023-07-23 15:03:27] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 2, Y= 60, Z= 6 | 
[2023-07-23 15:03:28] [world_the_end] The Player <Enderlava> has picked 14 of END_STONE at X= 3, Y= 59, Z= 6 | 
[2023-07-23 15:03:28] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 2, Y= 59, Z= 7 | 
[2023-07-23 15:03:29] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 4, Y= 59, Z= 7 | 
