[2023-07-06 20:20:37] [world] The Player <wqe123420> has placed a sign at X= -841, Y= -59, Z= -737 with , , , 
[2023-07-06 20:28:11] [world] The Player <wqe123420> has placed a sign at X= -835, Y= -60, Z= -744 with , , , 
[2023-07-06 20:28:13] [world] The Player <wqe123420> has placed a sign at X= -835, Y= -60, Z= -743 with , , , 
[2023-07-06 20:28:14] [world] The Player <wqe123420> has placed a sign at X= -833, Y= -60, Z= -743 with , , , 
[2023-07-06 20:28:18] [world] The Player <wqe123420> has placed a sign at X= -835, Y= -60, Z= -742 with , , , 
[2023-07-06 20:28:20] [world] The Player <wqe123420> has placed a sign at X= -833, Y= -60, Z= -742 with , , , 
[2023-07-06 20:28:21] [world] The Player <wqe123420> has placed a sign at X= -833, Y= -60, Z= -741 with S, , , 
[2023-07-06 20:28:23] [world] The Player <wqe123420> has placed a sign at X= -835, Y= -60, Z= -741 with , , , 
[2023-07-06 20:28:25] [world] The Player <wqe123420> has placed a sign at X= -833, Y= -60, Z= -740 with , , , 
[2023-07-06 20:28:27] [world] The Player <wqe123420> has placed a sign at X= -835, Y= -60, Z= -740 with , , , 
[2023-07-06 20:28:29] [world] The Player <wqe123420> has placed a sign at X= -833, Y= -60, Z= -739 with DS, , , 
[2023-07-06 20:28:31] [world] The Player <wqe123420> has placed a sign at X= -835, Y= -60, Z= -739 with , , , 
[2023-07-06 20:28:34] [world] The Player <wqe123420> has placed a sign at X= -833, Y= -60, Z= -738 with , , , 
[2023-07-06 20:28:38] [world] The Player <wqe123420> has placed a sign at X= -834, Y= -60, Z= -737 with , , , 
[2023-07-06 20:28:39] [world] The Player <wqe123420> has placed a sign at X= -835, Y= -60, Z= -737 with , , , 
[2023-07-06 20:28:40] [world] The Player <wqe123420> has placed a sign at X= -836, Y= -60, Z= -737 with , , , 
[2023-07-06 20:28:42] [world] The Player <wqe123420> has placed a sign at X= -837, Y= -60, Z= -737 with , , , 
[2023-07-06 20:28:43] [world] The Player <wqe123420> has placed a sign at X= -838, Y= -60, Z= -737 with , , , 
[2023-07-06 20:28:44] [world] The Player <wqe123420> has placed a sign at X= -839, Y= -60, Z= -737 with , , , 
[2023-07-06 20:28:45] [world] The Player <wqe123420> has placed a sign at X= -840, Y= -60, Z= -737 with , , , 
[2023-07-06 20:28:46] [world] The Player <wqe123420> has placed a sign at X= -841, Y= -60, Z= -737 with , , , 
[2023-07-06 20:28:51] [world] The Player <wqe123420> has placed a sign at X= -836, Y= -60, Z= -739 with , , , 
[2023-07-06 20:28:52] [world] The Player <wqe123420> has placed a sign at X= -837, Y= -60, Z= -739 with , , , 
[2023-07-06 21:36:39] [world] The Player <wqe123420> has placed a sign at X= -833, Y= -59, Z= -745 with A, , , 
[2023-07-06 21:36:45] [world] The Player <wqe123420> has placed a sign at X= -835, Y= -60, Z= -745 with , , , 
[2023-07-06 21:36:48] [world] The Player <wqe123420> has placed a sign at X= -835, Y= -59, Z= -745 with , , , 
[2023-07-06 21:36:59] [world] The Player <wqe123420> has placed a sign at X= -834, Y= -59, Z= -746 with , , , 
[2023-07-06 21:37:22] [world] The Player <wqe123420> has placed a sign at X= -835, Y= -59, Z= -745 with D, , , 
[2023-07-06 21:37:24] [world] The Player <wqe123420> has placed a sign at X= -835, Y= -59, Z= -744 with , , , 
[2023-07-06 21:37:26] [world] The Player <wqe123420> has placed a sign at X= -835, Y= -59, Z= -743 with , , , 
[2023-07-06 21:37:27] [world] The Player <wqe123420> has placed a sign at X= -835, Y= -59, Z= -742 with , , , 
[2023-07-06 21:37:28] [world] The Player <wqe123420> has placed a sign at X= -835, Y= -59, Z= -741 with , , , 
[2023-07-06 21:37:31] [world] The Player <wqe123420> has placed a sign at X= -836, Y= -60, Z= -740 with , , , 
[2023-07-06 21:37:36] [world] The Player <wqe123420> has placed a sign at X= -835, Y= -59, Z= -740 with , , , 
[2023-07-06 21:38:23] [world] The Player <wqe123420> has placed a sign at X= -833, Y= -59, Z= -744 with , , , 
[2023-07-06 21:42:01] [world] The Player <wqe123420> has placed a sign at X= -835, Y= -60, Z= -745 with D, , , 
[2023-07-06 21:42:02] [world] The Player <wqe123420> has placed a sign at X= -835, Y= -60, Z= -744 with , , , 
[2023-07-06 21:42:03] [world] The Player <wqe123420> has placed a sign at X= -835, Y= -60, Z= -743 with , , , 
[2023-07-06 21:42:05] [world] The Player <wqe123420> has placed a sign at X= -835, Y= -60, Z= -742 with , , , 
[2023-07-06 21:42:06] [world] The Player <wqe123420> has placed a sign at X= -835, Y= -60, Z= -741 with , , , 
[2023-07-06 21:42:11] [world] The Player <wqe123420> has placed a sign at X= -833, Y= -59, Z= -743 with , , , 
[2023-07-06 21:42:31] [world] The Player <wqe123420> has placed a sign at X= -833, Y= -59, Z= -742 with , , , 
[2023-07-06 21:42:32] [world] The Player <wqe123420> has placed a sign at X= -833, Y= -59, Z= -741 with , , , 
[2023-07-06 21:42:35] [world] The Player <wqe123420> has placed a sign at X= -834, Y= -59, Z= -740 with , , , 
[2023-07-06 21:44:46] [world] The Player <wqe123420> has placed a sign at X= -835, Y= -59, Z= -741 with , , , 
[2023-07-06 21:44:47] [world] The Player <wqe123420> has placed a sign at X= -835, Y= -59, Z= -742 with , , , 
[2023-07-06 21:44:50] [world] The Player <wqe123420> has placed a sign at X= -835, Y= -59, Z= -743 with , , , 
[2023-07-06 21:44:51] [world] The Player <wqe123420> has placed a sign at X= -835, Y= -59, Z= -744 with , , , 
[2023-07-06 21:44:53] [world] The Player <wqe123420> has placed a sign at X= -835, Y= -59, Z= -745 with , , , 
[2023-07-06 21:47:38] [world] The Player <wqe123420> has placed a sign at X= -833, Y= -60, Z= -747 with , , , 
[2023-07-06 21:47:41] [world] The Player <wqe123420> has placed a sign at X= -833, Y= -59, Z= -747 with , , , 
[2023-07-06 21:48:11] [world] The Player <wqe123420> has placed a sign at X= -835, Y= -60, Z= -746 with , , , 
[2023-07-06 21:48:48] [world] The Player <wqe123420> has placed a sign at X= -834, Y= -60, Z= -747 with , , , 
[2023-07-06 21:49:02] [world] The Player <wqe123420> has placed a sign at X= -834, Y= -59, Z= -747 with , , , 
[2023-07-06 21:49:10] [world] The Player <wqe123420> has placed a sign at X= -834, Y= -59, Z= -747 with , , , 
[2023-07-06 21:49:15] [world] The Player <wqe123420> has placed a sign at X= -835, Y= -60, Z= -746 with , , , 
[2023-07-06 21:49:18] [world] The Player <wqe123420> has placed a sign at X= -835, Y= -60, Z= -746 with , , , 
[2023-07-06 21:49:21] [world] The Player <wqe123420> has placed a sign at X= -835, Y= -59, Z= -746 with , , , 
[2023-07-06 21:49:53] [world] The Player <wqe123420> has placed a sign at X= -833, Y= -59, Z= -740 with D, , , 
[2023-07-06 21:49:54] [world] The Player <wqe123420> has placed a sign at X= -833, Y= -59, Z= -739 with , , , 
[2023-07-06 21:49:55] [world] The Player <wqe123420> has placed a sign at X= -833, Y= -59, Z= -738 with , , , 
[2023-07-06 21:49:56] [world] The Player <wqe123420> has placed a sign at X= -833, Y= -59, Z= -737 with , , , 
[2023-07-06 21:49:57] [world] The Player <wqe123420> has placed a sign at X= -834, Y= -59, Z= -737 with , , , 
[2023-07-06 21:49:59] [world] The Player <wqe123420> has placed a sign at X= -835, Y= -59, Z= -737 with , , , 
[2023-07-06 21:50:01] [world] The Player <wqe123420> has placed a sign at X= -836, Y= -59, Z= -737 with , , , 
[2023-07-06 21:53:09] [world] The Player <wqe123420> has placed a sign at X= -835, Y= -60, Z= -740 with , , , 
[2023-07-06 21:53:13] [world] The Player <wqe123420> has placed a sign at X= -836, Y= -60, Z= -740 with , , , 
[2023-07-06 21:53:18] [world] The Player <wqe123420> has placed a sign at X= -835, Y= -59, Z= -740 with , , , 
[2023-07-06 21:53:19] [world] The Player <wqe123420> has placed a sign at X= -835, Y= -60, Z= -739 with , , , 
[2023-07-06 21:53:21] [world] The Player <wqe123420> has placed a sign at X= -835, Y= -59, Z= -739 with , , , 
[2023-07-06 21:53:24] [world] The Player <wqe123420> has placed a sign at X= -836, Y= -60, Z= -739 with s, , , 
[2023-07-06 21:53:25] [world] The Player <wqe123420> has placed a sign at X= -836, Y= -59, Z= -739 with , , , 
[2023-07-06 21:53:30] [world] The Player <wqe123420> has placed a sign at X= -843, Y= -60, Z= -737 with , , , 
[2023-07-06 21:53:32] [world] The Player <wqe123420> has placed a sign at X= -843, Y= -59, Z= -737 with D, , , 
[2023-07-06 21:53:33] [world] The Player <wqe123420> has placed a sign at X= -843, Y= -60, Z= -738 with , , , 
[2023-07-06 21:53:34] [world] The Player <wqe123420> has placed a sign at X= -843, Y= -59, Z= -738 with , , , 
[2023-07-06 21:53:36] [world] The Player <wqe123420> has placed a sign at X= -842, Y= -60, Z= -739 with , , , 
[2023-07-06 21:53:37] [world] The Player <wqe123420> has placed a sign at X= -842, Y= -59, Z= -739 with , , , 
[2023-07-06 21:53:39] [world] The Player <wqe123420> has placed a sign at X= -841, Y= -60, Z= -739 with , , , 
[2023-07-06 21:53:40] [world] The Player <wqe123420> has placed a sign at X= -841, Y= -59, Z= -739 with , , , 
[2023-07-06 21:53:48] [world] The Player <wqe123420> has placed a sign at X= -840, Y= -60, Z= -739 with , , , 
[2023-07-06 21:53:50] [world] The Player <wqe123420> has placed a sign at X= -840, Y= -59, Z= -739 with , , , 
[2023-07-06 21:53:53] [world] The Player <wqe123420> has placed a sign at X= -839, Y= -60, Z= -739 with , , , 
[2023-07-06 21:53:54] [world] The Player <wqe123420> has placed a sign at X= -839, Y= -59, Z= -739 with , , , 
[2023-07-06 21:53:56] [world] The Player <wqe123420> has placed a sign at X= -838, Y= -60, Z= -739 with , , , 
[2023-07-06 21:53:57] [world] The Player <wqe123420> has placed a sign at X= -838, Y= -59, Z= -739 with , , , 
[2023-07-06 21:53:59] [world] The Player <wqe123420> has placed a sign at X= -837, Y= -60, Z= -739 with , , , 
[2023-07-06 21:54:01] [world] The Player <wqe123420> has placed a sign at X= -837, Y= -59, Z= -739 with , , , 
[2023-07-06 21:54:14] [world] The Player <wqe123420> has placed a sign at X= -842, Y= -59, Z= -737 with , , , 
[2023-07-06 21:54:15] [world] The Player <wqe123420> has placed a sign at X= -841, Y= -59, Z= -737 with , , , 
[2023-07-06 21:54:16] [world] The Player <wqe123420> has placed a sign at X= -840, Y= -59, Z= -737 with , , , 
[2023-07-06 21:54:17] [world] The Player <wqe123420> has placed a sign at X= -839, Y= -59, Z= -737 with , , , 
[2023-07-06 21:54:18] [world] The Player <wqe123420> has placed a sign at X= -838, Y= -59, Z= -737 with , , , 
[2023-07-06 21:54:19] [world] The Player <wqe123420> has placed a sign at X= -837, Y= -59, Z= -737 with , , , 
[2023-07-06 21:55:32] [world] The Player <wqe123420> has placed a sign at X= -835, Y= -59, Z= -740 with , , , 
