[2023-07-10 09:20:57] [world] The Player <Enderlava> has broke COBBLESTONE at X= -840, Y= 93, Z= -736
[2023-07-10 09:33:19] [world] The Player <Enderlava> has broke STONE at X= -851, Y= 50, Z= -731
[2023-07-10 09:33:19] [world] The Player <Enderlava> has broke STONE at X= -851, Y= 49, Z= -731
[2023-07-10 09:33:19] [world] The Player <Enderlava> has broke STONE at X= -852, Y= 49, Z= -731
[2023-07-10 09:33:19] [world] The Player <Enderlava> has broke STONE at X= -852, Y= 50, Z= -731
[2023-07-10 09:33:19] [world] The Player <wqe123420> has broke GRASS_BLOCK at X= -228, Y= 79, Z= -108
[2023-07-10 09:33:19] [world] The Player <wqe123420> has broke GRASS_BLOCK at X= -230, Y= 78, Z= -108
[2023-07-10 09:33:19] [world] The Player <wqe123420> has broke GRASS_BLOCK at X= -231, Y= 78, Z= -108
[2023-07-10 09:33:20] [world] The Player <Enderlava> has broke STONE at X= -851, Y= 51, Z= -731
[2023-07-10 09:33:20] [world] The Player <Enderlava> has broke STONE at X= -851, Y= 50, Z= -732
[2023-07-10 09:33:20] [world] The Player <Enderlava> has broke STONE at X= -851, Y= 50, Z= -733
[2023-07-10 09:33:20] [world] The Player <Enderlava> has broke STONE at X= -851, Y= 51, Z= -732
[2023-07-10 09:33:20] [world] The Player <Enderlava> has broke STONE at X= -851, Y= 49, Z= -733
[2023-07-10 09:33:21] [world] The Player <Enderlava> has broke STONE at X= -853, Y= 50, Z= -731
[2023-07-10 09:33:21] [world] The Player <Enderlava> has broke STONE at X= -853, Y= 49, Z= -731
[2023-07-10 09:33:25] [world] The Player <Enderlava> has broke STONE at X= -853, Y= 50, Z= -732
[2023-07-10 09:33:25] [world] The Player <Enderlava> has broke STONE at X= -853, Y= 50, Z= -733
[2023-07-10 09:33:25] [world] The Player <Enderlava> has broke STONE at X= -853, Y= 49, Z= -733
[2023-07-10 09:33:25] [world] The Player <Enderlava> has broke STONE at X= -853, Y= 49, Z= -734
[2023-07-10 09:33:25] [world] The Player <Enderlava> has broke STONE at X= -853, Y= 49, Z= -732
[2023-07-10 09:33:25] [world] The Player <Enderlava> has broke STONE at X= -853, Y= 48, Z= -733
[2023-07-10 09:33:25] [world] The Player <Enderlava> has broke STONE at X= -853, Y= 48, Z= -734
[2023-07-10 09:33:26] [world] The Player <Enderlava> has broke STONE at X= -853, Y= 49, Z= -735
[2023-07-10 09:33:26] [world] The Player <Enderlava> has broke STONE at X= -853, Y= 48, Z= -735
[2023-07-10 09:33:26] [world] The Player <Enderlava> has broke STONE at X= -853, Y= 48, Z= -736
[2023-07-10 09:33:26] [world] The Player <Enderlava> has broke STONE at X= -853, Y= 49, Z= -736
[2023-07-10 09:33:26] [world] The Player <Enderlava> has broke STONE at X= -853, Y= 50, Z= -734
[2023-07-10 09:34:56] [world] The Player <Enderlava> has broke COBBLESTONE at X= -839, Y= 91, Z= -736
[2023-07-10 09:35:19] [world] The Player <Enderlava> has broke COBBLESTONE at X= -838, Y= 89, Z= -734
[2023-07-10 09:35:20] [world] The Player <Enderlava> has broke COBBLESTONE at X= -838, Y= 88, Z= -734
[2023-07-10 09:35:20] [world] The Player <Enderlava> has broke COBBLESTONE at X= -838, Y= 87, Z= -734
[2023-07-10 09:35:20] [world] The Player <Enderlava> has broke COBBLESTONE at X= -838, Y= 86, Z= -734
[2023-07-10 09:35:21] [world] The Player <Enderlava> has broke COBBLESTONE at X= -838, Y= 85, Z= -734
[2023-07-10 09:35:21] [world] The Player <Enderlava> has broke COBBLESTONE at X= -838, Y= 84, Z= -734
[2023-07-10 09:35:22] [world] The Player <Enderlava> has broke COBBLESTONE at X= -838, Y= 83, Z= -734
[2023-07-10 09:35:22] [world] The Player <Enderlava> has broke COBBLESTONE at X= -838, Y= 82, Z= -734
[2023-07-10 09:35:22] [world] The Player <Enderlava> has broke COBBLESTONE at X= -838, Y= 81, Z= -734
[2023-07-10 09:35:23] [world] The Player <Enderlava> has broke COBBLESTONE at X= -838, Y= 80, Z= -734
[2023-07-10 09:36:34] [world] The Player <wqe123420> has broke TUFF at X= -44, Y= -54, Z= -246
[2023-07-10 09:36:34] [world] The Player <wqe123420> has broke TUFF at X= -44, Y= -55, Z= -246
[2023-07-10 09:36:35] [world] The Player <wqe123420> has broke DEEPSLATE at X= -42, Y= -52, Z= -245
[2023-07-10 09:36:36] [world] The Player <wqe123420> has broke TUFF at X= -43, Y= -52, Z= -245
[2023-07-10 09:36:37] [world] The Player <wqe123420> has broke DEEPSLATE at X= -42, Y= -52, Z= -244
[2023-07-10 09:36:37] [world] The Player <wqe123420> has broke TUFF at X= -43, Y= -52, Z= -244
[2023-07-10 09:36:37] [world] The Player <wqe123420> has broke DEEPSLATE at X= -42, Y= -52, Z= -243
[2023-07-10 09:36:37] [world] The Player <wqe123420> has broke DEEPSLATE at X= -42, Y= -52, Z= -242
[2023-07-10 09:36:37] [world] The Player <wqe123420> has broke DEEPSLATE at X= -41, Y= -52, Z= -243
[2023-07-10 09:36:37] [world] The Player <wqe123420> has broke DEEPSLATE at X= -41, Y= -51, Z= -243
[2023-07-10 09:36:37] [world] The Player <wqe123420> has broke DEEPSLATE at X= -41, Y= -50, Z= -243
[2023-07-10 09:36:37] [world] The Player <wqe123420> has broke DEEPSLATE at X= -41, Y= -52, Z= -244
[2023-07-10 09:36:37] [world] The Player <wqe123420> has broke DEEPSLATE at X= -42, Y= -51, Z= -244
[2023-07-10 09:36:37] [world] The Player <wqe123420> has broke DEEPSLATE at X= -43, Y= -51, Z= -244
[2023-07-10 09:36:37] [world] The Player <wqe123420> has broke TUFF at X= -43, Y= -53, Z= -244
[2023-07-10 09:36:37] [world] The Player <wqe123420> has broke TUFF at X= -44, Y= -53, Z= -244
[2023-07-10 09:36:37] [world] The Player <wqe123420> has broke TUFF at X= -44, Y= -53, Z= -243
[2023-07-10 09:36:37] [world] The Player <wqe123420> has broke TUFF at X= -44, Y= -54, Z= -244
[2023-07-10 09:36:37] [world] The Player <wqe123420> has broke TUFF at X= -45, Y= -54, Z= -244
[2023-07-10 09:36:38] [world] The Player <wqe123420> has broke TUFF at X= -43, Y= -54, Z= -248
[2023-07-10 09:36:38] [world] The Player <wqe123420> has broke TUFF at X= -44, Y= -53, Z= -246
[2023-07-10 09:36:38] [world] The Player <wqe123420> has broke TUFF at X= -44, Y= -52, Z= -246
[2023-07-10 09:36:38] [world] The Player <wqe123420> has broke TUFF at X= -45, Y= -53, Z= -246
[2023-07-10 09:36:38] [world] The Player <wqe123420> has broke TUFF at X= -44, Y= -54, Z= -247
[2023-07-10 09:36:38] [world] The Player <wqe123420> has broke TUFF at X= -44, Y= -55, Z= -247
[2023-07-10 09:36:38] [world] The Player <wqe123420> has broke TUFF at X= -44, Y= -55, Z= -248
[2023-07-10 09:36:38] [world] The Player <wqe123420> has broke TUFF at X= -43, Y= -55, Z= -248
[2023-07-10 09:36:38] [world] The Player <wqe123420> has broke TUFF at X= -43, Y= -54, Z= -249
[2023-07-10 09:36:39] [world] The Player <wqe123420> has broke TUFF at X= -45, Y= -54, Z= -246
[2023-07-10 09:36:39] [world] The Player <wqe123420> has broke TUFF at X= -46, Y= -54, Z= -246
[2023-07-10 09:36:39] [world] The Player <wqe123420> has broke TUFF at X= -45, Y= -54, Z= -247
[2023-07-10 09:36:39] [world] The Player <wqe123420> has broke TUFF at X= -44, Y= -54, Z= -248
[2023-07-10 09:36:39] [world] The Player <wqe123420> has broke TUFF at X= -43, Y= -53, Z= -248
[2023-07-10 09:36:39] [world] The Player <wqe123420> has broke TUFF at X= -43, Y= -53, Z= -249
[2023-07-10 09:36:39] [world] The Player <wqe123420> has broke DEEPSLATE at X= -43, Y= -52, Z= -249
[2023-07-10 09:36:39] [world] The Player <wqe123420> has broke DEEPSLATE at X= -43, Y= -52, Z= -248
[2023-07-10 09:36:39] [world] The Player <wqe123420> has broke DEEPSLATE at X= -43, Y= -52, Z= -247
[2023-07-10 09:36:39] [world] The Player <wqe123420> has broke DEEPSLATE at X= -42, Y= -52, Z= -246
[2023-07-10 09:36:40] [world] The Player <wqe123420> has broke TUFF at X= -43, Y= -52, Z= -246
[2023-07-10 09:36:40] [world] The Player <wqe123420> has broke DEEPSLATE at X= -43, Y= -51, Z= -246
[2023-07-10 09:36:40] [world] The Player <wqe123420> has broke DEEPSLATE at X= -42, Y= -51, Z= -246
[2023-07-10 09:36:40] [world] The Player <wqe123420> has broke DEEPSLATE at X= -43, Y= -51, Z= -245
[2023-07-10 09:36:40] [world] The Player <wqe123420> has broke DEEPSLATE at X= -42, Y= -51, Z= -245
[2023-07-10 09:36:40] [world] The Player <wqe123420> has broke DEEPSLATE at X= -43, Y= -50, Z= -246
[2023-07-10 09:36:40] [world] The Player <wqe123420> has broke DEEPSLATE at X= -44, Y= -51, Z= -246
[2023-07-10 09:36:40] [world] The Player <wqe123420> has broke TUFF at X= -44, Y= -53, Z= -245
[2023-07-10 09:36:40] [world] The Player <wqe123420> has broke TUFF at X= -45, Y= -53, Z= -245
[2023-07-10 09:36:40] [world] The Player <wqe123420> has broke TUFF at X= -45, Y= -54, Z= -245
[2023-07-10 09:36:40] [world] The Player <wqe123420> has broke TUFF at X= -45, Y= -54, Z= -248
[2023-07-10 09:36:40] [world] The Player <wqe123420> has broke TUFF at X= -44, Y= -54, Z= -249
[2023-07-10 09:36:40] [world] The Player <wqe123420> has broke TUFF at X= -44, Y= -54, Z= -250
[2023-07-10 09:36:41] [world] The Player <wqe123420> has broke TUFF at X= -43, Y= -53, Z= -247
[2023-07-10 09:36:41] [world] The Player <wqe123420> has broke TUFF at X= -44, Y= -53, Z= -248
[2023-07-10 09:36:41] [world] The Player <wqe123420> has broke TUFF at X= -44, Y= -53, Z= -247
[2023-07-10 09:36:41] [world] The Player <wqe123420> has broke TUFF at X= -44, Y= -52, Z= -247
[2023-07-10 09:36:41] [world] The Player <wqe123420> has broke TUFF at X= -45, Y= -52, Z= -247
[2023-07-10 09:36:41] [world] The Player <wqe123420> has broke TUFF at X= -45, Y= -52, Z= -246
[2023-07-10 09:36:41] [world] The Player <wqe123420> has broke TUFF at X= -46, Y= -53, Z= -246
[2023-07-10 09:36:41] [world] The Player <wqe123420> has broke TUFF at X= -47, Y= -53, Z= -246
[2023-07-10 09:36:41] [world] The Player <wqe123420> has broke TUFF at X= -46, Y= -54, Z= -245
[2023-07-10 09:36:41] [world] The Player <wqe123420> has broke TUFF at X= -47, Y= -54, Z= -245
[2023-07-10 09:36:41] [world] The Player <wqe123420> has broke TUFF at X= -47, Y= -54, Z= -246
[2023-07-10 09:36:41] [world] The Player <wqe123420> has broke TUFF at X= -47, Y= -55, Z= -246
[2023-07-10 09:36:41] [world] The Player <wqe123420> has broke TUFF at X= -46, Y= -54, Z= -247
[2023-07-10 09:36:52] [world] The Player <wqe123420> has broke COBBLED_DEEPSLATE at X= -40, Y= -55, Z= -246
[2023-07-10 09:37:00] [world] The Player <wqe123420> has broke TUFF at X= -45, Y= -55, Z= -246
[2023-07-10 09:37:01] [world] The Player <wqe123420> has broke TUFF at X= -46, Y= -55, Z= -246
[2023-07-10 09:37:01] [world] The Player <wqe123420> has broke TUFF at X= -46, Y= -54, Z= -244
[2023-07-10 09:37:02] [world] The Player <wqe123420> has broke TUFF at X= -45, Y= -55, Z= -245
[2023-07-10 09:37:02] [world] The Player <wqe123420> has broke TUFF at X= -44, Y= -55, Z= -244
[2023-07-10 09:37:03] [world] The Player <wqe123420> has broke TUFF at X= -46, Y= -55, Z= -245
[2023-07-10 09:37:03] [world] The Player <wqe123420> has broke TUFF at X= -45, Y= -53, Z= -244
[2023-07-10 09:37:03] [world] The Player <wqe123420> has broke TUFF at X= -44, Y= -52, Z= -245
[2023-07-10 09:37:04] [world] The Player <wqe123420> has broke TUFF at X= -45, Y= -53, Z= -247
[2023-07-10 09:37:05] [world] The Player <wqe123420> has broke TUFF at X= -45, Y= -55, Z= -247
[2023-07-10 09:37:05] [world] The Player <wqe123420> has broke TUFF at X= -46, Y= -55, Z= -247
[2023-07-10 09:39:23] [world] The Player <wqe123420> has broke SLIME_BLOCK at X= -39, Y= -53, Z= -246
[2023-07-10 09:39:26] [world] The Player <wqe123420> has broke COBBLESTONE_SLAB at X= -38, Y= -53, Z= -246
[2023-07-10 09:39:42] [world] The Player <wqe123420> has broke IRON_BLOCK at X= -38, Y= -53, Z= -246
[2023-07-10 09:39:53] [world] The Player <wqe123420> has broke TUFF at X= -47, Y= -54, Z= -247
[2023-07-10 09:39:53] [world] The Player <wqe123420> has broke TUFF at X= -46, Y= -53, Z= -247
[2023-07-10 09:39:54] [world] The Player <wqe123420> has broke TUFF at X= -45, Y= -55, Z= -248
[2023-07-10 09:39:55] [world] The Player <wqe123420> has broke TUFF at X= -45, Y= -53, Z= -248
[2023-07-10 09:39:55] [world] The Player <wqe123420> has broke TUFF at X= -46, Y= -54, Z= -248
[2023-07-10 09:39:56] [world] The Player <wqe123420> has broke TUFF at X= -46, Y= -55, Z= -248
[2023-07-10 09:39:56] [world] The Player <wqe123420> has broke TUFF at X= -47, Y= -53, Z= -247
[2023-07-10 09:39:57] [world] The Player <wqe123420> has broke TUFF at X= -48, Y= -54, Z= -247
[2023-07-10 09:39:57] [world] The Player <wqe123420> has broke TUFF at X= -47, Y= -55, Z= -247
[2023-07-10 09:40:02] [world] The Player <wqe123420> has broke TUFF at X= -44, Y= -55, Z= -243
[2023-07-10 09:40:02] [world] The Player <wqe123420> has broke TUFF at X= -45, Y= -55, Z= -243
[2023-07-10 09:40:04] [world] The Player <wqe123420> has broke TUFF at X= -44, Y= -54, Z= -243
[2023-07-10 09:40:04] [world] The Player <wqe123420> has broke TUFF at X= -43, Y= -55, Z= -243
[2023-07-10 09:40:04] [world] The Player <wqe123420> has broke TUFF at X= -43, Y= -55, Z= -242
[2023-07-10 09:40:04] [world] The Player <wqe123420> has broke TUFF at X= -44, Y= -55, Z= -242
[2023-07-10 09:40:04] [world] The Player <wqe123420> has broke TUFF at X= -44, Y= -56, Z= -242
[2023-07-10 09:40:04] [world] The Player <wqe123420> has broke TUFF at X= -45, Y= -56, Z= -242
[2023-07-10 09:40:04] [world] The Player <wqe123420> has broke TUFF at X= -45, Y= -55, Z= -242
[2023-07-10 09:40:04] [world] The Player <wqe123420> has broke TUFF at X= -46, Y= -55, Z= -243
[2023-07-10 09:40:04] [world] The Player <wqe123420> has broke TUFF at X= -45, Y= -55, Z= -244
[2023-07-10 09:40:04] [world] The Player <wqe123420> has broke TUFF at X= -46, Y= -55, Z= -244
[2023-07-10 09:40:04] [world] The Player <wqe123420> has broke TUFF at X= -47, Y= -54, Z= -244
[2023-07-10 09:40:04] [world] The Player <wqe123420> has broke TUFF at X= -46, Y= -53, Z= -244
[2023-07-10 09:40:04] [world] The Player <wqe123420> has broke TUFF at X= -46, Y= -52, Z= -244
[2023-07-10 09:40:05] [world] The Player <wqe123420> has broke TUFF at X= -45, Y= -52, Z= -244
[2023-07-10 09:40:05] [world] The Player <wqe123420> has broke TUFF at X= -45, Y= -53, Z= -243
[2023-07-10 09:40:05] [world] The Player <wqe123420> has broke TUFF at X= -46, Y= -53, Z= -243
[2023-07-10 09:40:05] [world] The Player <wqe123420> has broke TUFF at X= -46, Y= -53, Z= -242
[2023-07-10 09:40:05] [world] The Player <wqe123420> has broke TUFF at X= -47, Y= -53, Z= -242
[2023-07-10 09:40:05] [world] The Player <wqe123420> has broke TUFF at X= -45, Y= -54, Z= -243
[2023-07-10 09:40:05] [world] The Player <wqe123420> has broke TUFF at X= -46, Y= -54, Z= -243
[2023-07-10 09:40:05] [world] The Player <wqe123420> has broke TUFF at X= -46, Y= -54, Z= -242
[2023-07-10 09:40:05] [world] The Player <wqe123420> has broke TUFF at X= -47, Y= -54, Z= -242
[2023-07-10 09:40:05] [world] The Player <wqe123420> has broke TUFF at X= -46, Y= -55, Z= -242
[2023-07-10 09:40:05] [world] The Player <wqe123420> has broke TUFF at X= -47, Y= -54, Z= -243
[2023-07-10 09:40:05] [world] The Player <wqe123420> has broke TUFF at X= -48, Y= -54, Z= -244
[2023-07-10 09:40:05] [world] The Player <wqe123420> has broke TUFF at X= -47, Y= -55, Z= -244
[2023-07-10 09:40:05] [world] The Player <wqe123420> has broke TUFF at X= -48, Y= -55, Z= -244
[2023-07-10 09:40:06] [world] The Player <wqe123420> has broke TUFF at X= -47, Y= -55, Z= -245
[2023-07-10 09:40:06] [world] The Player <wqe123420> has broke TUFF at X= -48, Y= -55, Z= -245
[2023-07-10 09:40:06] [world] The Player <wqe123420> has broke DEEPSLATE at X= -49, Y= -55, Z= -245
[2023-07-10 09:40:06] [world] The Player <wqe123420> has broke TUFF at X= -48, Y= -54, Z= -245
[2023-07-10 09:40:06] [world] The Player <wqe123420> has broke TUFF at X= -46, Y= -53, Z= -245
[2023-07-10 09:40:06] [world] The Player <wqe123420> has broke DEEPSLATE at X= -48, Y= -53, Z= -246
[2023-07-10 09:40:06] [world] The Player <wqe123420> has broke DEEPSLATE at X= -47, Y= -52, Z= -246
[2023-07-10 09:40:06] [world] The Player <wqe123420> has broke TUFF at X= -46, Y= -52, Z= -246
[2023-07-10 09:40:06] [world] The Player <wqe123420> has broke TUFF at X= -46, Y= -52, Z= -245
[2023-07-10 09:40:06] [world] The Player <wqe123420> has broke TUFF at X= -47, Y= -53, Z= -245
[2023-07-10 09:40:06] [world] The Player <wqe123420> has broke DEEPSLATE at X= -47, Y= -52, Z= -245
[2023-07-10 09:40:06] [world] The Player <wqe123420> has broke DEEPSLATE_IRON_ORE at X= -48, Y= -53, Z= -245
[2023-07-10 09:40:07] [world] The Player <wqe123420> has broke DEEPSLATE at X= -49, Y= -54, Z= -245
[2023-07-10 09:40:34] [world] The Player <wqe123420> has broke ANCIENT_DEBRIS at X= -46, Y= -55, Z= -246
[2023-07-10 09:40:35] [world] The Player <wqe123420> has broke ANCIENT_DEBRIS at X= -47, Y= -55, Z= -246
[2023-07-10 09:40:36] [world] The Player <wqe123420> has broke TUFF at X= -47, Y= -56, Z= -246
[2023-07-10 09:40:38] [world] The Player <wqe123420> has broke ANCIENT_DEBRIS at X= -45, Y= -55, Z= -246
[2023-07-10 09:40:38] [world] The Player <wqe123420> has broke COBBLED_DEEPSLATE at X= -44, Y= -55, Z= -246
[2023-07-10 09:40:38] [world] The Player <wqe123420> has broke COBBLED_DEEPSLATE at X= -43, Y= -55, Z= -246
[2023-07-10 09:40:39] [world] The Player <wqe123420> has broke COBBLED_DEEPSLATE at X= -42, Y= -55, Z= -246
[2023-07-10 09:40:39] [world] The Player <wqe123420> has broke PISTON at X= -41, Y= -55, Z= -246
[2023-07-10 09:40:54] [world] The Player <Enderlava> has broke TUFF at X= -48, Y= -54, Z= -246
[2023-07-10 09:40:57] [world] The Player <wqe123420> has broke OBSERVER at X= -40, Y= -55, Z= -246
[2023-07-10 09:40:57] [world] The Player <wqe123420> has broke COBBLESTONE_WALL at X= -39, Y= -55, Z= -246
[2023-07-10 09:40:57] [world] The Player <wqe123420> has broke TNT at X= -39, Y= -54, Z= -246
[2023-07-10 09:40:58] [world] The Player <wqe123420> has broke SLIME_BLOCK at X= -38, Y= -54, Z= -246
[2023-07-10 09:40:58] [world] The Player <wqe123420> has broke SLIME_BLOCK at X= -37, Y= -53, Z= -246
[2023-07-10 09:40:58] [world] The Player <wqe123420> has broke SLIME_BLOCK at X= -40, Y= -53, Z= -246
[2023-07-10 09:40:58] [world] The Player <wqe123420> has broke COBBLESTONE_SLAB at X= -39, Y= -53, Z= -246
[2023-07-10 09:40:59] [world] The Player <wqe123420> has broke COBBLESTONE_SLAB at X= -38, Y= -55, Z= -246
[2023-07-10 09:40:59] [world] The Player <wqe123420> has broke COBBLED_DEEPSLATE at X= -37, Y= -54, Z= -246
