[2023-07-18 17:33:48] [world] The Player <Funget114514> has broke SMOOTH_STONE at X= -17, Y= 69, Z= -251
[2023-07-18 17:49:48] [world] The Player <Funget114514> has broke OAK_LOG at X= 8, Y= 81, Z= -214
[2023-07-18 17:52:55] [world] The Player <Funget114514> has broke RED_SHULKER_BOX at X= -26, Y= 63, Z= -288
[2023-07-18 17:53:12] [world] The Player <Funget114514> has broke RED_SHULKER_BOX at X= -27, Y= 63, Z= -288
[2023-07-18 17:54:04] [world] The Player <Funget114514> has broke YELLOW_SHULKER_BOX at X= -26, Y= 63, Z= -288
[2023-07-18 17:59:10] [world] The Player <Funget114514> has broke VINE at X= -13, Y= 64, Z= -288
[2023-07-18 17:59:11] [world] The Player <Funget114514> has broke VINE at X= -13, Y= 65, Z= -288
[2023-07-18 17:59:13] [world] The Player <Funget114514> has broke VINE at X= -13, Y= 66, Z= -288
[2023-07-18 17:59:15] [world] The Player <Funget114514> has broke VINE at X= -13, Y= 64, Z= -284
[2023-07-18 17:59:17] [world] The Player <Funget114514> has broke VINE at X= -13, Y= 66, Z= -284
[2023-07-18 17:59:18] [world] The Player <Funget114514> has broke VINE at X= -13, Y= 68, Z= -284
[2023-07-18 18:14:52] [world] The Player <Funget114514> has broke OAK_LOG at X= 10, Y= 78, Z= -213
[2023-07-18 18:14:54] [world] The Player <Funget114514> has broke OAK_LOG at X= 10, Y= 77, Z= -213
[2023-07-18 18:15:05] [world] The Player <Funget114514> has broke OAK_LOG at X= 10, Y= 79, Z= -213
[2023-07-18 18:15:06] [world] The Player <Funget114514> has broke OAK_LOG at X= 10, Y= 80, Z= -213
[2023-07-18 18:15:06] [world] The Player <Funget114514> has broke OAK_LOG at X= 10, Y= 81, Z= -213
[2023-07-18 18:15:08] [world] The Player <Funget114514> has broke OAK_LOG at X= 7, Y= 78, Z= -215
[2023-07-18 18:15:08] [world] The Player <Funget114514> has broke OAK_LOG at X= 7, Y= 77, Z= -215
[2023-07-18 18:15:09] [world] The Player <Funget114514> has broke OAK_LOG at X= 7, Y= 79, Z= -215
[2023-07-18 18:15:09] [world] The Player <Funget114514> has broke OAK_LOG at X= 7, Y= 80, Z= -215
[2023-07-18 18:15:10] [world] The Player <Funget114514> has broke OAK_LOG at X= 7, Y= 81, Z= -215
[2023-07-18 18:15:10] [world] The Player <Funget114514> has broke OAK_LOG at X= 7, Y= 82, Z= -215
[2023-07-18 18:16:23] [world] The Player <Funget114514> has broke CRAFTING_TABLE at X= 3, Y= 114, Z= 12
[2023-07-18 18:17:36] [world] The Player <Funget114514> has broke YELLOW_SHULKER_BOX at X= 12, Y= 114, Z= 16
[2023-07-18 18:18:07] [world] The Player <Funget114514> has broke YELLOW_SHULKER_BOX at X= 12, Y= 114, Z= 15
[2023-07-18 18:18:58] [world] The Player <Funget114514> has broke YELLOW_SHULKER_BOX at X= 12, Y= 114, Z= 18
[2023-07-18 18:21:16] [world] The Player <Funget114514> has broke RED_SHULKER_BOX at X= -28, Y= 63, Z= -288
[2023-07-18 18:21:55] [world] The Player <Funget114514> has broke BLACK_SHULKER_BOX at X= -25, Y= 63, Z= -286
[2023-07-18 18:22:33] [world] The Player <Funget114514> has broke NETHERRACK at X= -28, Y= 62, Z= -287
[2023-07-18 18:22:34] [world] The Player <Funget114514> has broke BLUE_SHULKER_BOX at X= -28, Y= 63, Z= -288
[2023-07-18 18:26:12] [world] The Player <Funget114514> has broke GRASS at X= -24, Y= 70, Z= -256
[2023-07-18 18:27:50] [world] The Player <Enderlava> has broke COBBLESTONE at X= -13, Y= 73, Z= -240
[2023-07-18 18:36:22] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= -15, Y= 114, Z= -245
[2023-07-18 18:36:31] [world] The Player <Enderlava> has broke OBSERVER at X= -15, Y= 114, Z= -245
[2023-07-18 18:38:03] [world] The Player <Enderlava> has broke NETHERRACK at X= -15, Y= 114, Z= -244
[2023-07-18 18:38:47] [world] The Player <Enderlava> has broke LEVER at X= -13, Y= 108, Z= -245
[2023-07-18 18:38:53] [world] The Player <Enderlava> has broke LEVER at X= -13, Y= 108, Z= -245
[2023-07-18 18:40:54] [world] The Player <Funget114514> has broke SCAFFOLDING at X= -6, Y= 107, Z= -245
[2023-07-18 18:41:27] [world] The Player <Funget114514> has broke SCAFFOLDING at X= -6, Y= 104, Z= -245
[2023-07-18 18:42:44] [world] The Player <Enderlava> has broke SCAFFOLDING at X= -10, Y= 108, Z= -245
[2023-07-18 18:43:04] [world] The Player <Enderlava> has broke SCAFFOLDING at X= -11, Y= 114, Z= -245
[2023-07-18 18:43:23] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= -15, Y= 114, Z= -245
[2023-07-18 18:43:28] [world] The Player <Enderlava> has broke OBSERVER at X= -16, Y= 114, Z= -245
[2023-07-18 18:43:31] [world] The Player <Enderlava> has broke TNT at X= -17, Y= 114, Z= -245
[2023-07-18 18:44:09] [world] The Player <Funget114514> has broke SCAFFOLDING at X= -12, Y= 108, Z= -245
[2023-07-18 18:44:23] [world] The Player <Funget114514> has broke SCAFFOLDING at X= -11, Y= 114, Z= -246
[2023-07-18 18:44:53] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= -15, Y= 114, Z= -245
[2023-07-18 18:45:03] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= -15, Y= 114, Z= -244
[2023-07-18 18:47:34] [world] The Player <Enderlava> has broke SMOOTH_STONE_SLAB at X= -13, Y= 107, Z= -246
[2023-07-18 18:51:39] [world] The Player <Enderlava> has broke COBBLESTONE at X= 6, Y= 67, Z= -279
[2023-07-18 18:51:40] [world] The Player <Enderlava> has broke COBBLESTONE at X= 6, Y= 66, Z= -279
[2023-07-18 18:51:40] [world] The Player <Enderlava> has broke COBBLESTONE at X= 6, Y= 65, Z= -279
[2023-07-18 18:51:41] [world] The Player <Enderlava> has broke COBBLESTONE at X= 6, Y= 68, Z= -279
[2023-07-18 18:51:41] [world] The Player <Enderlava> has broke COBBLESTONE at X= 6, Y= 69, Z= -279
[2023-07-18 18:51:42] [world] The Player <Enderlava> has broke COBBLESTONE at X= 6, Y= 70, Z= -279
[2023-07-18 18:51:42] [world] The Player <Enderlava> has broke COBBLESTONE at X= 6, Y= 71, Z= -279
[2023-07-18 18:51:43] [world] The Player <Enderlava> has broke COBBLESTONE at X= 6, Y= 72, Z= -279
[2023-07-18 19:02:04] [world] The Player <Enderlava> has broke TORCH at X= 6, Y= 69, Z= -239
[2023-07-18 19:39:47] [world] The Player <Enderlava> has broke TORCH at X= -7, Y= 69, Z= -246
[2023-07-18 19:40:09] [world] The Player <Enderlava> has broke OAK_TRAPDOOR at X= -6, Y= 70, Z= -244
[2023-07-18 19:40:42] [world] The Player <Enderlava> has broke TORCH at X= -7, Y= 69, Z= -250
[2023-07-18 19:41:47] [world] The Player <Enderlava> has broke STONE at X= -13, Y= 68, Z= -245
[2023-07-18 19:41:47] [world] The Player <Enderlava> has broke STONE at X= -14, Y= 68, Z= -245
[2023-07-18 19:41:47] [world] The Player <Enderlava> has broke STONE at X= -14, Y= 67, Z= -245
[2023-07-18 19:41:48] [world] The Player <Enderlava> has broke STONE at X= -13, Y= 67, Z= -245
[2023-07-18 19:41:51] [world] The Player <Enderlava> has broke STONE at X= -14, Y= 66, Z= -245
[2023-07-18 19:41:52] [world] The Player <Enderlava> has broke STONE at X= -13, Y= 66, Z= -245
[2023-07-18 19:41:52] [world] The Player <Enderlava> has broke STONE at X= -13, Y= 65, Z= -245
[2023-07-18 19:41:54] [world] The Player <Enderlava> has broke STONE at X= -14, Y= 65, Z= -245
[2023-07-18 19:41:55] [world] The Player <Enderlava> has broke STONE at X= -12, Y= 65, Z= -245
[2023-07-18 19:41:55] [world] The Player <Enderlava> has broke STONE at X= -11, Y= 65, Z= -245
[2023-07-18 19:41:55] [world] The Player <Enderlava> has broke STONE at X= -12, Y= 66, Z= -245
[2023-07-18 19:41:55] [world] The Player <Enderlava> has broke STONE at X= -10, Y= 65, Z= -245
[2023-07-18 19:41:56] [world] The Player <Enderlava> has broke STONE at X= -11, Y= 66, Z= -245
[2023-07-18 19:41:56] [world] The Player <Enderlava> has broke STONE at X= -9, Y= 65, Z= -245
[2023-07-18 19:41:56] [world] The Player <Enderlava> has broke STONE at X= -10, Y= 66, Z= -245
[2023-07-18 19:41:56] [world] The Player <Enderlava> has broke STONE at X= -9, Y= 66, Z= -245
[2023-07-18 19:41:56] [world] The Player <Enderlava> has broke STONE at X= -8, Y= 65, Z= -245
[2023-07-18 19:41:57] [world] The Player <Enderlava> has broke STONE at X= -8, Y= 66, Z= -245
[2023-07-18 19:41:57] [world] The Player <Enderlava> has broke STONE at X= -7, Y= 65, Z= -245
[2023-07-18 19:41:57] [world] The Player <Enderlava> has broke STONE at X= -7, Y= 66, Z= -245
[2023-07-18 19:42:16] [world] The Player <Enderlava> has broke STONE at X= -8, Y= 67, Z= -245
[2023-07-18 19:42:16] [world] The Player <Enderlava> has broke STONE at X= -8, Y= 68, Z= -245
[2023-07-18 19:42:57] [world] The Player <Funget114514> has broke STONE at X= -9, Y= 67, Z= -245
[2023-07-18 19:42:57] [world] The Player <Funget114514> has broke STONE at X= -10, Y= 67, Z= -245
[2023-07-18 19:42:57] [world] The Player <Funget114514> has broke STONE at X= -10, Y= 68, Z= -245
[2023-07-18 19:43:15] [world] The Player <Funget114514> has broke SMOOTH_STONE at X= -7, Y= 66, Z= -245
[2023-07-18 19:43:23] [world] The Player <Funget114514> has broke STONE at X= -7, Y= 66, Z= -246
[2023-07-18 19:43:24] [world] The Player <Funget114514> has broke SCAFFOLDING at X= -7, Y= 66, Z= -245
[2023-07-18 19:43:24] [world] The Player <Funget114514> has broke STONE at X= -7, Y= 67, Z= -245
[2023-07-18 19:43:24] [world] The Player <Funget114514> has broke STONE at X= -6, Y= 67, Z= -245
[2023-07-18 19:48:35] [world_nether] The Player <Enderlava> has broke ANVIL at X= -20, Y= 75, Z= -43
[2023-07-18 19:58:20] [world] The Player <Enderlava> has broke TALL_SEAGRASS at X= 47, Y= 50, Z= -277
[2023-07-18 19:58:22] [world] The Player <Funget114514> has broke TALL_SEAGRASS at X= 45, Y= 51, Z= -277
[2023-07-18 19:58:27] [world] The Player <Enderlava> has broke SEAGRASS at X= 50, Y= 49, Z= -277
[2023-07-18 19:58:29] [world] The Player <Funget114514> has broke SEAGRASS at X= 48, Y= 49, Z= -273
[2023-07-18 19:58:43] [world] The Player <Enderlava> has broke SEAGRASS at X= 51, Y= 62, Z= -281
[2023-07-18 19:59:58] [world] The Player <Funget114514> has broke DANDELION at X= 53, Y= 63, Z= -286
[2023-07-18 20:00:14] [world] The Player <Funget114514> has broke OAK_LOG at X= 48, Y= 63, Z= -293
[2023-07-18 20:00:16] [world] The Player <Funget114514> has broke GRASS at X= 49, Y= 63, Z= -294
[2023-07-18 20:00:52] [world] The Player <Enderlava> has broke TALL_SEAGRASS at X= 55, Y= 61, Z= -294
[2023-07-18 20:01:04] [world] The Player <Funget114514> has broke OAK_PLANKS at X= 47, Y= 62, Z= -283
[2023-07-18 20:03:00] [world] The Player <Funget114514> has broke SUGAR_CANE at X= 65, Y= 63, Z= -286
[2023-07-18 20:03:06] [world] The Player <Funget114514> has broke SUGAR_CANE at X= 69, Y= 63, Z= -286
[2023-07-18 20:03:11] [world] The Player <Funget114514> has broke SUGAR_CANE at X= 70, Y= 64, Z= -287
[2023-07-18 20:03:11] [world] The Player <Funget114514> has broke SUGAR_CANE at X= 70, Y= 63, Z= -287
[2023-07-18 20:03:13] [world] The Player <Funget114514> has broke GRASS at X= 73, Y= 63, Z= -289
[2023-07-18 20:03:17] [world] The Player <Funget114514> has broke OAK_FENCE at X= 75, Y= 63, Z= -290
[2023-07-18 20:03:36] [world] The Player <Funget114514> has broke OAK_PLANKS at X= 73, Y= 62, Z= -298
[2023-07-18 20:03:37] [world] The Player <Funget114514> has broke OAK_PLANKS at X= 73, Y= 62, Z= -301
[2023-07-18 20:04:08] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 56, Y= 63, Z= -292
[2023-07-18 20:08:07] [world] The Player <Enderlava> has broke STONE at X= -8, Y= 64, Z= -245
[2023-07-18 20:08:07] [world] The Player <Enderlava> has broke STONE at X= -8, Y= 63, Z= -245
[2023-07-18 20:08:07] [world] The Player <Enderlava> has broke STONE at X= -8, Y= 63, Z= -246
[2023-07-18 20:08:48] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= -8, Y= 72, Z= -245
[2023-07-18 20:10:17] [world] The Player <Enderlava> has broke OAK_WALL_SIGN at X= -9, Y= 67, Z= -245
[2023-07-18 20:11:49] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= -8, Y= 72, Z= -244
[2023-07-18 20:14:09] [world] The Player <Enderlava> has broke COBBLESTONE at X= -9, Y= 71, Z= -242
[2023-07-18 20:14:34] [world] The Player <Enderlava> has broke OAK_WALL_SIGN at X= -9, Y= 71, Z= -244
[2023-07-18 20:15:01] [world] The Player <Enderlava> has broke COBBLESTONE at X= -9, Y= 70, Z= -243
[2023-07-18 20:15:02] [world] The Player <Enderlava> has broke COBBLESTONE at X= -9, Y= 69, Z= -243
[2023-07-18 20:15:40] [world] The Player <Enderlava> has broke OAK_SIGN at X= -8, Y= 72, Z= -242
[2023-07-18 20:16:07] [world] The Player <Enderlava> has broke REDSTONE_WIRE at X= -3, Y= 69, Z= -249
[2023-07-18 20:19:30] [world] The Player <Enderlava> has broke REDSTONE_WIRE at X= -6, Y= 69, Z= -250
[2023-07-18 20:25:16] [world] The Player <Enderlava> has broke SCAFFOLDING at X= -12, Y= 108, Z= -245
[2023-07-18 20:26:44] [world] The Player <Enderlava> has broke OAK_TRAPDOOR at X= -14, Y= 107, Z= -246
[2023-07-18 20:26:58] [world] The Player <Enderlava> has broke OAK_TRAPDOOR at X= -15, Y= 107, Z= -246
[2023-07-18 20:29:24] [world] The Player <Enderlava> has broke OAK_LOG at X= -13, Y= 74, Z= -245
[2023-07-18 20:31:18] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= -13, Y= 71, Z= -245
[2023-07-18 20:31:19] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= -13, Y= 72, Z= -244
[2023-07-18 20:31:20] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= -13, Y= 71, Z= -244
[2023-07-18 20:31:20] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= -13, Y= 70, Z= -244
[2023-07-18 20:31:21] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= -13, Y= 69, Z= -244
[2023-07-18 20:46:36] [world] The Player <Enderlava> has broke OAK_LOG at X= -13, Y= 74, Z= -245
[2023-07-18 20:46:44] [world] The Player <Enderlava> has broke OAK_LOG at X= -13, Y= 74, Z= -245
[2023-07-18 20:46:53] [world] The Player <Enderlava> has broke STRIPPED_OAK_LOG at X= -13, Y= 74, Z= -245
[2023-07-18 20:47:02] [world] The Player <Enderlava> has broke OAK_LOG at X= -13, Y= 74, Z= -245
[2023-07-18 20:47:07] [world] The Player <Enderlava> has broke OAK_LOG at X= -13, Y= 74, Z= -245
[2023-07-18 20:47:16] [world] The Player <Enderlava> has broke OAK_LOG at X= -13, Y= 74, Z= -245
[2023-07-18 20:47:27] [world] The Player <Enderlava> has broke OAK_LOG at X= -13, Y= 74, Z= -245
[2023-07-18 20:47:34] [world] The Player <Enderlava> has broke OAK_LOG at X= -13, Y= 74, Z= -245
[2023-07-18 20:47:39] [world] The Player <Enderlava> has broke OAK_LOG at X= -13, Y= 74, Z= -245
[2023-07-18 20:47:43] [world] The Player <Enderlava> has broke OAK_LOG at X= -13, Y= 74, Z= -245
[2023-07-18 20:49:33] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= -13, Y= 72, Z= -245
[2023-07-18 20:49:38] [world] The Player <Enderlava> has broke DIRT at X= -13, Y= 73, Z= -245
[2023-07-18 20:50:29] [world] The Player <Enderlava> has broke GRASS_BLOCK at X= -5, Y= 70, Z= -235
[2023-07-18 20:51:12] [world] The Player <Enderlava> has broke OAK_LOG at X= -12, Y= 71, Z= -246
[2023-07-18 20:51:13] [world] The Player <Enderlava> has broke OAK_LOG at X= -12, Y= 71, Z= -245
[2023-07-18 20:51:13] [world] The Player <Enderlava> has broke OAK_LOG at X= -13, Y= 71, Z= -245
[2023-07-18 20:51:14] [world] The Player <Enderlava> has broke OAK_LOG at X= -13, Y= 72, Z= -245
[2023-07-18 20:51:16] [world] The Player <Enderlava> has broke OAK_LOG at X= -12, Y= 71, Z= -247
[2023-07-18 20:51:16] [world] The Player <Enderlava> has broke OAK_LOG at X= -12, Y= 70, Z= -247
[2023-07-18 20:51:17] [world] The Player <Enderlava> has broke OAK_LOG at X= -12, Y= 69, Z= -247
[2023-07-18 20:58:25] [world] The Player <Enderlava> has broke DIRT at X= -13, Y= 73, Z= -245
[2023-07-18 20:58:29] [world] The Player <Enderlava> has broke OAK_LOG at X= -13, Y= 74, Z= -245
[2023-07-18 20:58:38] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= -13, Y= 72, Z= -245
[2023-07-18 20:58:52] [world] The Player <Enderlava> has broke OAK_LOG at X= -12, Y= 73, Z= -245
[2023-07-18 20:58:52] [world] The Player <Enderlava> has broke OAK_LOG at X= -12, Y= 72, Z= -245
[2023-07-18 20:58:53] [world] The Player <Enderlava> has broke OAK_LOG at X= -12, Y= 71, Z= -245
[2023-07-18 20:58:53] [world] The Player <Enderlava> has broke OAK_LOG at X= -12, Y= 70, Z= -245
[2023-07-18 20:58:53] [world] The Player <Enderlava> has broke OAK_LOG at X= -12, Y= 69, Z= -245
