[2023-06-27 13:16:50] [world] The Player <Enderlava> has broke GRASS at X= -68, Y= 71, Z= -196
[2023-06-27 13:27:48] [world] The Player <Funget114514> has broke SUGAR_CANE at X= -9, Y= 63, Z= -292
[2023-06-27 13:27:48] [world] The Player <Funget114514> has broke SUGAR_CANE at X= -8, Y= 63, Z= -292
[2023-06-27 13:27:49] [world] The Player <Funget114514> has broke SUGAR_CANE at X= -7, Y= 64, Z= -292
[2023-06-27 13:27:49] [world] The Player <Funget114514> has broke SUGAR_CANE at X= -6, Y= 64, Z= -292
[2023-06-27 13:27:50] [world] The Player <Funget114514> has broke SUGAR_CANE at X= -3, Y= 64, Z= -292
[2023-06-27 13:27:50] [world] The Player <Funget114514> has broke SUGAR_CANE at X= 0, Y= 64, Z= -292
[2023-06-27 13:27:50] [world] The Player <Funget114514> has broke SUGAR_CANE at X= -5, Y= 64, Z= -292
[2023-06-27 13:27:52] [world] The Player <Funget114514> has broke SUGAR_CANE at X= 2, Y= 64, Z= -292
[2023-06-27 13:27:52] [world] The Player <Funget114514> has broke SUGAR_CANE at X= 3, Y= 64, Z= -292
[2023-06-27 13:27:52] [world] The Player <Funget114514> has broke SUGAR_CANE at X= 2, Y= 63, Z= -292
[2023-06-27 13:27:52] [world] The Player <Funget114514> has broke SUGAR_CANE at X= 3, Y= 63, Z= -292
[2023-06-27 13:27:54] [world] The Player <Funget114514> has broke SUGAR_CANE at X= 4, Y= 64, Z= -293
[2023-06-27 13:27:54] [world] The Player <Funget114514> has broke SUGAR_CANE at X= 4, Y= 65, Z= -294
[2023-06-27 13:27:56] [world] The Player <Funget114514> has broke SUGAR_CANE at X= 4, Y= 64, Z= -294
[2023-06-27 13:27:56] [world] The Player <Funget114514> has broke SUGAR_CANE at X= 4, Y= 64, Z= -295
[2023-06-27 13:27:56] [world] The Player <Funget114514> has broke SUGAR_CANE at X= 4, Y= 64, Z= -296
[2023-06-27 13:27:56] [world] The Player <Funget114514> has broke SUGAR_CANE at X= 4, Y= 64, Z= -297
[2023-06-27 13:27:56] [world] The Player <Funget114514> has broke SUGAR_CANE at X= 4, Y= 64, Z= -298
[2023-06-27 13:27:57] [world] The Player <Funget114514> has broke SUGAR_CANE at X= 4, Y= 64, Z= -299
[2023-06-27 13:27:57] [world] The Player <Funget114514> has broke SUGAR_CANE at X= 4, Y= 64, Z= -300
[2023-06-27 13:27:58] [world] The Player <Funget114514> has broke SUGAR_CANE at X= 4, Y= 64, Z= -301
[2023-06-27 13:27:58] [world] The Player <Funget114514> has broke SUGAR_CANE at X= 4, Y= 64, Z= -302
[2023-06-27 13:27:58] [world] The Player <Funget114514> has broke SUGAR_CANE at X= 4, Y= 64, Z= -303
[2023-06-27 13:27:59] [world] The Player <Funget114514> has broke SUGAR_CANE at X= 5, Y= 64, Z= -304
[2023-06-27 13:28:00] [world] The Player <Funget114514> has broke SUGAR_CANE at X= 6, Y= 64, Z= -304
[2023-06-27 13:28:00] [world] The Player <Funget114514> has broke SUGAR_CANE at X= 7, Y= 64, Z= -304
[2023-06-27 13:28:00] [world] The Player <Funget114514> has broke SUGAR_CANE at X= 8, Y= 64, Z= -304
[2023-06-27 13:28:01] [world] The Player <Funget114514> has broke SUGAR_CANE at X= 11, Y= 64, Z= -304
[2023-06-27 13:28:01] [world] The Player <Funget114514> has broke SUGAR_CANE at X= 12, Y= 64, Z= -304
[2023-06-27 13:28:02] [world] The Player <Funget114514> has broke SUGAR_CANE at X= 13, Y= 64, Z= -303
[2023-06-27 13:28:02] [world] The Player <Funget114514> has broke SUGAR_CANE at X= 13, Y= 64, Z= -302
[2023-06-27 13:28:03] [world] The Player <Funget114514> has broke SUGAR_CANE at X= 13, Y= 64, Z= -301
[2023-06-27 13:28:03] [world] The Player <Funget114514> has broke SUGAR_CANE at X= 13, Y= 64, Z= -300
[2023-06-27 13:28:03] [world] The Player <Funget114514> has broke SUGAR_CANE at X= 13, Y= 64, Z= -299
[2023-06-27 13:28:03] [world] The Player <Funget114514> has broke SUGAR_CANE at X= 13, Y= 64, Z= -298
[2023-06-27 13:28:04] [world] The Player <Funget114514> has broke SUGAR_CANE at X= 13, Y= 64, Z= -297
[2023-06-27 13:28:06] [world] The Player <Funget114514> has broke SUGAR_CANE at X= 14, Y= 64, Z= -296
[2023-06-27 13:28:06] [world] The Player <Funget114514> has broke SUGAR_CANE at X= 15, Y= 64, Z= -295
[2023-06-27 13:28:06] [world] The Player <Funget114514> has broke SUGAR_CANE at X= 16, Y= 64, Z= -295
[2023-06-27 13:28:08] [world] The Player <Funget114514> has broke SUGAR_CANE at X= 18, Y= 64, Z= -298
[2023-06-27 13:28:08] [world] The Player <Funget114514> has broke SUGAR_CANE at X= 17, Y= 64, Z= -297
[2023-06-27 13:28:08] [world] The Player <Funget114514> has broke SUGAR_CANE at X= 18, Y= 64, Z= -299
[2023-06-27 13:28:08] [world] The Player <Funget114514> has broke SUGAR_CANE at X= 17, Y= 64, Z= -296
[2023-06-27 13:28:09] [world] The Player <Funget114514> has broke SUGAR_CANE at X= 19, Y= 64, Z= -301
[2023-06-27 13:28:15] [world] The Player <Funget114514> has broke SAND at X= 11, Y= 62, Z= -289
[2023-06-27 13:28:36] [world] The Player <Funget114514> has broke STONE at X= -18, Y= 62, Z= -287
[2023-06-27 13:28:42] [world] The Player <Funget114514> has broke SANDSTONE at X= -16, Y= 64, Z= -277
[2023-06-27 13:28:42] [world] The Player <Funget114514> has broke SANDSTONE at X= -14, Y= 63, Z= -277
[2023-06-27 13:28:46] [world] The Player <Funget114514> has broke SAND at X= -11, Y= 67, Z= -274
[2023-06-27 13:28:58] [world] The Player <Funget114514> has broke SAND at X= -13, Y= 67, Z= -274
[2023-06-27 13:37:20] [world_the_end] The Player <Xw114> has broke PURPUR_BLOCK at X= -1229, Y= 109, Z= -1824
[2023-06-27 13:37:22] [world_the_end] The Player <Xw114> has broke PURPUR_BLOCK at X= -1229, Y= 109, Z= -1825
[2023-06-27 13:37:48] [world_the_end] The Player <Xw114> has broke PURPUR_BLOCK at X= -1229, Y= 108, Z= -1822
[2023-06-27 13:37:49] [world_the_end] The Player <Xw114> has broke PURPUR_STAIRS at X= -1229, Y= 108, Z= -1821
[2023-06-27 13:37:49] [world_the_end] The Player <Xw114> has broke PURPUR_BLOCK at X= -1228, Y= 108, Z= -1821
[2023-06-27 13:37:50] [world_the_end] The Player <Xw114> has broke PURPUR_STAIRS at X= -1227, Y= 108, Z= -1821
[2023-06-27 13:37:50] [world_the_end] The Player <Xw114> has broke PURPUR_STAIRS at X= -1227, Y= 108, Z= -1820
[2023-06-27 13:37:51] [world_the_end] The Player <Xw114> has broke PURPUR_BLOCK at X= -1226, Y= 107, Z= -1820
[2023-06-27 13:37:51] [world_the_end] The Player <Xw114> has broke PURPUR_STAIRS at X= -1229, Y= 108, Z= -1820
[2023-06-27 13:37:52] [world_the_end] The Player <Xw114> has broke PURPUR_BLOCK at X= -1228, Y= 108, Z= -1820
[2023-06-27 13:39:37] [world_the_end] The Player <Xw114> has broke SHULKER_BOX at X= -1218, Y= 103, Z= -1823
[2023-06-27 13:39:39] [world_the_end] The Player <Xw114> has broke NETHERRACK at X= -1217, Y= 103, Z= -1823
[2023-06-27 13:40:26] [world_the_end] The Player <Xw114> has broke PURPUR_SLAB at X= -1263, Y= 116, Z= -1857
[2023-06-27 13:40:39] [world_the_end] The Player <Xw114> has broke PURPUR_SLAB at X= -1261, Y= 116, Z= -1855
[2023-06-27 13:40:41] [world_the_end] The Player <Xw114> has broke PURPUR_SLAB at X= -1260, Y= 115, Z= -1856
[2023-06-27 13:41:15] [world_the_end] The Player <Xw114> has broke PURPUR_SLAB at X= -1261, Y= 125, Z= -1857
[2023-06-27 13:41:17] [world_the_end] The Player <Xw114> has broke PURPUR_BLOCK at X= -1260, Y= 125, Z= -1857
[2023-06-27 13:41:17] [world_the_end] The Player <Xw114> has broke PURPUR_SLAB at X= -1261, Y= 122, Z= -1857
[2023-06-27 13:41:18] [world_the_end] The Player <Xw114> has broke PURPUR_SLAB at X= -1261, Y= 118, Z= -1857
[2023-06-27 13:41:18] [world_the_end] The Player <Xw114> has broke NETHERRACK at X= -1261, Y= 115, Z= -1857
[2023-06-27 13:41:18] [world_the_end] The Player <Xw114> has broke PURPUR_SLAB at X= -1261, Y= 114, Z= -1857
[2023-06-27 13:41:19] [world_the_end] The Player <Xw114> has broke PURPUR_SLAB at X= -1261, Y= 110, Z= -1857
[2023-06-27 13:41:20] [world_the_end] The Player <Xw114> has broke PURPUR_SLAB at X= -1261, Y= 106, Z= -1857
[2023-06-27 13:42:02] [world_the_end] The Player <Xw114> has broke NETHERRACK at X= -1264, Y= 104, Z= -1853
[2023-06-27 13:42:22] [world_the_end] The Player <Xw114> has broke NETHERRACK at X= -1264, Y= 103, Z= -1853
[2023-06-27 13:42:23] [world_the_end] The Player <Xw114> has broke NETHERRACK at X= -1263, Y= 103, Z= -1853
[2023-06-27 13:42:34] [world_the_end] The Player <Xw114> has broke PURPUR_BLOCK at X= -1265, Y= 104, Z= -1854
[2023-06-27 13:42:35] [world_the_end] The Player <Xw114> has broke PURPUR_BLOCK at X= -1265, Y= 103, Z= -1854
[2023-06-27 13:42:36] [world_the_end] The Player <Xw114> has broke PURPUR_BLOCK at X= -1265, Y= 104, Z= -1856
[2023-06-27 13:42:37] [world_the_end] The Player <Xw114> has broke PURPUR_BLOCK at X= -1265, Y= 103, Z= -1856
[2023-06-27 13:45:39] [world] The Player <Xw114> has broke SHULKER_BOX at X= -22, Y= 63, Z= -282
[2023-06-27 13:48:22] [world_the_end] The Player <Xw114> has broke NETHERRACK at X= -1287, Y= 113, Z= -1819
[2023-06-27 13:57:53] [world_the_end] The Player <Xw114> has broke NETHERRACK at X= -3561, Y= 91, Z= -4393
[2023-06-27 13:58:25] [world_the_end] The Player <Xw114> has broke SHULKER_BOX at X= -3561, Y= 91, Z= -4394
[2023-06-27 13:58:50] [world_the_end] The Player <Xw114> has broke END_STONE_BRICKS at X= -3471, Y= 71, Z= -4402
[2023-06-27 13:58:50] [world_the_end] The Player <Xw114> has broke END_STONE_BRICKS at X= -3471, Y= 70, Z= -4402
[2023-06-27 14:08:30] [world_the_end] The Player <Xw114> has broke MAGENTA_STAINED_GLASS at X= -3484, Y= 99, Z= -4429
[2023-06-27 14:08:30] [world_the_end] The Player <Xw114> has broke MAGENTA_STAINED_GLASS at X= -3484, Y= 100, Z= -4429
[2023-06-27 14:22:25] [world] The Player <Funget114514> has broke POPPY at X= -15, Y= 63, Z= -281
[2023-06-27 14:33:57] [world] The Player <Funget114514> has broke SUGAR_CANE at X= -15, Y= 63, Z= -295
