[2023-07-19 09:19:43] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Funget114514 at X= -16, Y= 63, Z= -285
[2023-07-19 11:34:45] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 6
[2023-07-19 11:34:46] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 6
[2023-07-19 11:34:46] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-19 11:34:46] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-19 11:34:46] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 8
[2023-07-19 11:34:46] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 1, Z= 6
[2023-07-19 11:34:46] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 1, Z= 6
[2023-07-19 11:34:46] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 1, Z= 6
[2023-07-19 11:34:46] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 1, Z= 7
[2023-07-19 11:34:46] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 8
[2023-07-19 11:34:46] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 1, Z= 6
[2023-07-19 11:34:46] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-19 11:34:46] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 1, Z= 6
[2023-07-19 11:34:46] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 8
[2023-07-19 11:34:46] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 1, Z= 7
[2023-07-19 11:34:46] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 1, Z= 7
[2023-07-19 11:34:46] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 1, Z= 6
[2023-07-19 11:34:46] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 1, Z= 7
[2023-07-19 11:34:46] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-19 11:34:46] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 6
[2023-07-19 11:34:46] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 1, Z= 6
[2023-07-19 11:34:46] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 1, Z= 6
[2023-07-19 11:34:46] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 6
[2023-07-19 11:34:46] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 1, Z= 6
[2023-07-19 11:34:46] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 1, Z= 8
[2023-07-19 11:34:46] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 1, Z= 7
[2023-07-19 11:34:46] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 1, Z= 8
[2023-07-19 11:34:46] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 6
[2023-07-19 11:34:46] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-19 11:34:46] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-19 11:34:46] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 1, Z= 7
[2023-07-19 11:34:46] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 1, Z= 7
[2023-07-19 11:34:46] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-19 11:34:46] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-19 11:34:46] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 6
[2023-07-19 11:34:46] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-19 11:34:46] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 8
[2023-07-19 11:34:47] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-19 11:34:47] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 0, Z= 6
[2023-07-19 11:34:47] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §26级§f精英§5末影人 at X= 332, Y= 1, Z= 8
[2023-07-19 11:34:47] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 8
[2023-07-19 11:34:47] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §26级§f精英§5末影人 at X= 332, Y= 1, Z= 6
[2023-07-19 11:34:48] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §27级§f精英§5末影人 at X= 331, Y= 1, Z= 7
[2023-07-19 11:34:48] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §26级§f精英§5末影人 at X= 331, Y= 1, Z= 6
[2023-07-19 11:34:51] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-19 11:34:51] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 6
[2023-07-19 11:34:51] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-19 11:34:52] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 1, Z= 8
[2023-07-19 11:34:52] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-19 11:34:52] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 1, Z= 8
[2023-07-19 11:34:52] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 8
[2023-07-19 11:34:52] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 1, Z= 8
[2023-07-19 11:34:52] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-19 11:34:53] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 6
[2023-07-19 11:34:53] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 1, Z= 7
[2023-07-19 11:34:53] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 1, Z= 8
[2023-07-19 11:34:53] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 6
[2023-07-19 11:34:53] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 8
[2023-07-19 11:34:53] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 6
[2023-07-19 11:34:53] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-19 11:34:53] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-19 11:34:53] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 2, Z= 7
[2023-07-19 11:34:53] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 6
[2023-07-19 11:34:53] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 6
[2023-07-19 11:34:53] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-19 11:34:54] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-19 11:34:54] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 1, Z= 7
[2023-07-19 11:34:54] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-19 11:34:54] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 6
[2023-07-19 11:34:54] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 6
[2023-07-19 11:34:54] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §210级§f精英§5末影人 at X= 331, Y= 1, Z= 7
[2023-07-19 11:34:54] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 2, Z= 6
[2023-07-19 11:34:54] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-19 11:34:54] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 6
[2023-07-19 11:34:54] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 6
[2023-07-19 11:34:54] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-19 11:34:54] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-19 11:34:55] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-19 11:34:55] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 1, Z= 6
[2023-07-19 11:34:55] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 8
[2023-07-19 11:34:55] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 6
[2023-07-19 11:34:55] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 8
[2023-07-19 11:34:55] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-19 11:34:55] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 1, Z= 7
[2023-07-19 11:34:55] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 6
[2023-07-19 11:34:55] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-19 11:34:55] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 6
[2023-07-19 11:34:56] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-19 11:34:56] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-19 11:34:56] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 1, Z= 8
[2023-07-19 11:34:56] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 0, Z= 8
[2023-07-19 11:34:56] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 6
[2023-07-19 11:34:56] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-19 11:34:56] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 2, Z= 7
[2023-07-19 11:34:56] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-19 11:34:56] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 6
[2023-07-19 11:34:56] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 6
[2023-07-19 11:34:56] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-19 11:34:56] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 8
[2023-07-19 11:34:56] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 2, Z= 7
[2023-07-19 11:34:57] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-19 11:34:57] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 6
[2023-07-19 11:34:57] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-19 11:34:57] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-19 11:35:00] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-19 11:35:01] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 1, Z= 7
[2023-07-19 11:36:47] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 0, Z= 7
[2023-07-19 11:36:47] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 1, Z= 8
[2023-07-19 11:36:47] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 8
[2023-07-19 11:36:47] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 1, Z= 7
[2023-07-19 11:36:47] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 8
[2023-07-19 11:36:47] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 8
[2023-07-19 11:36:47] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 8
[2023-07-19 11:36:47] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 8
[2023-07-19 11:36:48] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 8
[2023-07-19 11:36:48] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 1, Z= 8
[2023-07-19 11:36:48] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 8
[2023-07-19 11:36:48] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 8
[2023-07-19 11:36:48] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 8
[2023-07-19 11:36:48] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-19 11:36:48] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-19 11:36:48] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
