[2023-07-10 09:51:30] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Skeleton at X= 36, Y= -5, Z= -214
[2023-07-10 10:42:26] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Skeleton at X= -34, Y= -55, Z= -191
[2023-07-10 10:45:55] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Zombie at X= -28, Y= -58, Z= -229
[2023-07-10 10:46:03] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain 男术士 at X= -24, Y= -55, Z= -250
[2023-07-10 10:46:45] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain 男术士 at X= -22, Y= -55, Z= -250
[2023-07-10 10:46:57] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain 男术士 at X= -23, Y= -55, Z= -241
[2023-07-10 10:47:12] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain 男术士 at X= -47, Y= -55, Z= -245
[2023-07-10 10:47:13] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain 男术士 at X= -47, Y= -55, Z= -247
[2023-07-10 10:47:18] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain 男术士 at X= -43, Y= -54, Z= -249
[2023-07-10 10:47:22] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain 男术士 at X= -37, Y= -55, Z= -248
[2023-07-10 10:47:26] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain 男术士 at X= -28, Y= -56, Z= -240
[2023-07-10 10:47:29] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain 男术士 at X= -30, Y= -56, Z= -241
[2023-07-10 11:21:18] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Zombie at X= -80, Y= 72, Z= -228
[2023-07-10 11:49:55] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Zombie Villager at X= -78, Y= 72, Z= -225
[2023-07-10 13:01:49] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Creeper at X= -33, Y= -55, Z= -131
[2023-07-10 13:06:06] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Skeleton at X= -31, Y= -58, Z= -63
[2023-07-10 13:06:27] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Skeleton at X= -28, Y= -55, Z= -63
[2023-07-10 13:08:49] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Zombie at X= -32, Y= -58, Z= -104
[2023-07-10 13:10:54] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Zombie at X= 1, Y= 70, Z= -273
[2023-07-10 13:11:21] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Zombie at X= 13, Y= 62, Z= -269
[2023-07-10 13:11:47] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Zombie at X= 12, Y= 61, Z= -271
[2023-07-10 13:36:39] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Slime at X= -853, Y= -59, Z= -749
[2023-07-10 13:36:40] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Slime at X= -857, Y= -60, Z= -756
[2023-07-10 13:38:56] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Spider at X= -636, Y= -41, Z= -660
[2023-07-10 13:39:03] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Skeleton at X= -624, Y= -43, Z= -671
[2023-07-10 13:39:51] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Skeleton at X= -688, Y= -41, Z= -679
[2023-07-10 13:42:26] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Creeper at X= -681, Y= -25, Z= -683
[2023-07-10 13:46:32] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Slime at X= -844, Y= -60, Z= -738
[2023-07-10 13:47:18] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Zombie at X= -845, Y= -60, Z= -737
[2023-07-10 13:47:23] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain §2Lvl §27 §fElite §2Slime at X= -843, Y= -60, Z= -737
[2023-07-10 13:47:29] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Skeleton at X= -841, Y= -60, Z= -739
[2023-07-10 14:12:16] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §4「§c5§4」§f §b寒冰恼鬼 at X= 26, Y= 147, Z= -31
[2023-07-10 14:12:44] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain §4「§c5§4」§f §e雷霆恼鬼 at X= 21, Y= 133, Z= -56
[2023-07-10 14:13:34] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §4「§c5§4」§f §c烈焰恼鬼 at X= 35, Y= 146, Z= -64
[2023-07-10 14:15:43] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain wqe123420 at X= -10, Y= 135, Z= -77
[2023-07-10 14:34:32] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Spider at X= 1054, Y= 64, Z= -2936
[2023-07-10 14:34:38] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Zombie at X= 1070, Y= 64, Z= -2945
[2023-07-10 14:34:44] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Zombie at X= 1076, Y= 64, Z= -2951
[2023-07-10 14:34:52] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Spider at X= 1091, Y= 64, Z= -2969
[2023-07-10 14:35:16] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Zombie at X= 1094, Y= 64, Z= -2990
[2023-07-10 14:35:20] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Pig at X= 1088, Y= 67, Z= -3011
[2023-07-10 14:35:24] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Pig at X= 1091, Y= 67, Z= -3010
[2023-07-10 14:35:26] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Pig at X= 1093, Y= 68, Z= -3017
[2023-07-10 14:35:32] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Zombie at X= 1069, Y= 69, Z= -3027
[2023-07-10 14:35:50] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Chicken at X= 1019, Y= 66, Z= -3073
[2023-07-10 14:35:52] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Chicken at X= 1015, Y= 63, Z= -3071
[2023-07-10 14:35:59] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Chicken at X= 1013, Y= 66, Z= -3057
[2023-07-10 15:44:38] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -15, Y= 1, Z= -279
[2023-07-10 15:44:39] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -15, Y= 1, Z= -279
[2023-07-10 15:44:39] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -16, Y= 1, Z= -279
[2023-07-10 15:44:39] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -15, Y= 1, Z= -279
[2023-07-10 15:44:39] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -16, Y= 1, Z= -279
[2023-07-10 15:44:39] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -15, Y= 1, Z= -279
[2023-07-10 15:44:39] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -16, Y= 1, Z= -278
[2023-07-10 15:44:39] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -16, Y= 1, Z= -279
[2023-07-10 15:44:40] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -16, Y= 1, Z= -279
[2023-07-10 15:44:40] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -17, Y= 1, Z= -278
[2023-07-10 15:44:40] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -15, Y= 1, Z= -278
[2023-07-10 15:44:40] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -15, Y= 1, Z= -279
[2023-07-10 15:44:40] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -15, Y= 1, Z= -278
[2023-07-10 15:44:40] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -15, Y= 1, Z= -279
[2023-07-10 15:44:40] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -16, Y= 1, Z= -279
[2023-07-10 15:44:40] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -16, Y= 1, Z= -279
[2023-07-10 15:44:40] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -15, Y= 1, Z= -279
[2023-07-10 15:44:40] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -16, Y= 1, Z= -279
[2023-07-10 15:44:40] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -17, Y= 1, Z= -279
[2023-07-10 15:44:40] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -15, Y= 1, Z= -279
[2023-07-10 15:44:40] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -16, Y= 1, Z= -278
[2023-07-10 15:44:40] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -16, Y= 1, Z= -279
[2023-07-10 15:44:40] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -16, Y= 1, Z= -279
[2023-07-10 15:44:40] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -16, Y= 1, Z= -279
[2023-07-10 15:44:40] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -16, Y= 1, Z= -278
[2023-07-10 15:44:41] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -15, Y= 1, Z= -279
[2023-07-10 15:44:41] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -15, Y= 1, Z= -279
[2023-07-10 15:44:41] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -16, Y= 1, Z= -278
[2023-07-10 15:44:41] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -15, Y= 1, Z= -279
[2023-07-10 15:44:41] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -15, Y= 1, Z= -279
[2023-07-10 15:44:41] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -16, Y= 1, Z= -279
[2023-07-10 15:44:41] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -16, Y= 1, Z= -279
[2023-07-10 15:44:41] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -15, Y= 1, Z= -279
[2023-07-10 15:44:41] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -16, Y= 1, Z= -279
[2023-07-10 15:44:41] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -17, Y= 1, Z= -279
[2023-07-10 15:44:41] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -17, Y= 1, Z= -279
[2023-07-10 15:44:41] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -17, Y= 1, Z= -279
[2023-07-10 15:44:41] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -15, Y= 1, Z= -278
[2023-07-10 15:44:41] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -16, Y= 1, Z= -278
[2023-07-10 15:44:41] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain §26级§f精英§5末影人 at X= -15, Y= 1, Z= -278
[2023-07-10 15:44:41] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -16, Y= 1, Z= -279
[2023-07-10 15:44:41] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -16, Y= 1, Z= -279
[2023-07-10 15:44:41] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -16, Y= 1, Z= -278
[2023-07-10 15:44:42] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -16, Y= 1, Z= -277
[2023-07-10 15:44:42] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -16, Y= 1, Z= -279
[2023-07-10 15:44:42] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -17, Y= 1, Z= -278
[2023-07-10 15:44:42] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -17, Y= 1, Z= -279
[2023-07-10 15:44:42] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -16, Y= 1, Z= -278
[2023-07-10 15:44:42] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -16, Y= 1, Z= -279
[2023-07-10 15:44:45] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -15, Y= 1, Z= -279
[2023-07-10 15:44:46] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -17, Y= 1, Z= -278
[2023-07-10 15:44:46] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -16, Y= 1, Z= -277
[2023-07-10 15:44:46] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -16, Y= 1, Z= -278
[2023-07-10 15:44:47] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -17, Y= 1, Z= -277
[2023-07-10 15:44:48] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -15, Y= 1, Z= -279
[2023-07-10 15:44:50] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -16, Y= 1, Z= -279
[2023-07-10 15:44:50] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -16, Y= 1, Z= -279
[2023-07-10 15:44:50] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -17, Y= 1, Z= -279
[2023-07-10 15:45:06] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -17, Y= 1, Z= -279
[2023-07-10 15:45:06] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -15, Y= 1, Z= -279
[2023-07-10 15:45:06] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -15, Y= 1, Z= -279
[2023-07-10 15:45:06] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -15, Y= 1, Z= -279
[2023-07-10 15:45:07] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -17, Y= 1, Z= -279
[2023-07-10 15:45:07] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -16, Y= 1, Z= -277
[2023-07-10 15:45:08] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -17, Y= 1, Z= -279
[2023-07-10 15:45:08] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -17, Y= 1, Z= -279
[2023-07-10 15:45:08] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -17, Y= 1, Z= -279
[2023-07-10 15:45:08] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -17, Y= 1, Z= -279
[2023-07-10 15:45:08] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -17, Y= 1, Z= -279
[2023-07-10 15:45:08] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -17, Y= 1, Z= -279
[2023-07-10 15:45:08] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -17, Y= 1, Z= -279
[2023-07-10 15:45:08] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -17, Y= 1, Z= -279
[2023-07-10 15:45:08] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -17, Y= 1, Z= -279
[2023-07-10 15:45:08] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -17, Y= 1, Z= -279
[2023-07-10 15:45:08] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -17, Y= 1, Z= -279
[2023-07-10 15:45:08] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -17, Y= 1, Z= -279
[2023-07-10 15:45:08] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -15, Y= 1, Z= -279
[2023-07-10 15:45:08] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -16, Y= 1, Z= -279
[2023-07-10 15:45:08] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -16, Y= 1, Z= -279
[2023-07-10 15:45:08] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -16, Y= 1, Z= -279
[2023-07-10 15:45:08] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -16, Y= 1, Z= -279
[2023-07-10 15:45:08] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -16, Y= 1, Z= -279
[2023-07-10 15:45:08] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -16, Y= 1, Z= -278
[2023-07-10 15:45:09] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -16, Y= 1, Z= -279
[2023-07-10 15:45:09] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -15, Y= 1, Z= -278
[2023-07-10 15:45:09] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -16, Y= 1, Z= -279
[2023-07-10 15:45:09] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -16, Y= 1, Z= -279
[2023-07-10 15:45:09] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -15, Y= 1, Z= -278
[2023-07-10 15:45:09] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -15, Y= 1, Z= -279
[2023-07-10 15:45:09] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -15, Y= 1, Z= -279
[2023-07-10 15:45:10] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -15, Y= 1, Z= -279
[2023-07-10 15:45:10] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -17, Y= 1, Z= -279
[2023-07-10 15:45:11] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -17, Y= 1, Z= -278
[2023-07-10 15:45:11] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -17, Y= 1, Z= -279
[2023-07-10 15:45:11] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -16, Y= 1, Z= -279
[2023-07-10 15:45:11] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -16, Y= 1, Z= -279
[2023-07-10 15:45:12] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -15, Y= 1, Z= -278
[2023-07-10 15:45:12] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -16, Y= 1, Z= -278
[2023-07-10 15:45:12] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -17, Y= 1, Z= -279
[2023-07-10 15:45:12] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -17, Y= 1, Z= -279
[2023-07-10 15:45:12] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -17, Y= 1, Z= -279
[2023-07-10 15:45:13] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -15, Y= 1, Z= -279
[2023-07-10 15:45:13] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -16, Y= 1, Z= -279
[2023-07-10 15:45:13] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain §29级§f精英§5末影人 at X= -16, Y= 1, Z= -279
[2023-07-10 15:45:14] [world_the_end] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Enderman at X= -15, Y= 1, Z= -279
